REP
35
55
10
25
70
95
70
55
35
10
5
25
10
35
5
25
10
10
5
5
55
10
25
35
60
55
5
100
95
10
40
85
5
5
25
5
100
55
5
90
5
25
70
20
10
55
20
40
5
95
95
90
75
40
10
20
25
60
100
10
85
20
85
90
70
55
5
10
75
20
70
95
85
25
5
20
85
70
100
10
70
5
10
60
5
100
95
90
20
90
20
35
5
10
20
20
25
35
100
70
60
20
75
75
90
35
10
10
10
10
70
35
5
55
60
10
75
10
70
85
25
20
55
20
20
35
35
5
40
20
5
55
90
5
55
100
40
10
5
55
10
10
10
20
5
20
100
100
20
75
5
95
75
35
85
35
95
20
35
55
20
95
5
10
25
35
40
85
5
60
5
35
35
25
5
10
10
5
5
5
35
55
20
35
55
20
100
20
10
40
100
20
55
35
35
20
95
40
10
100
35
5
35
5
10
25
10
60
95
10
40
5
5
40
35
100
25
85
35
25
25
35
10
10
5
40
5
70
10
5
20
40
40
5
5
70
75
20
95
10
25
10
35
5
55
40
5
55
5
25
60
70
5
10
25
5
55
55
35
5
10
5
35
35
35
35
70
40
20
35
40
5
5
20
35
85
55
20
5
55
55
20
55
75
20
60
5
20
85
35
60
25
5
85
60
35
5
40
5
60
10
60
10
60
60
5
55
5
70
60
55
5
20
20
10
70
85
20
85
60
70
70
10
5
100
55
85
75
35
40
10
35
85
5
20
100
40
5
20
35
55
40
20
90
5
10
5
25
35
70
40
10
55
70
70
85
55
55
20
75
60
55
5
40
70
100
60
70
20
5
20
100
35
20
100
20
5
35
55
5
55
85
55
35
100
20
35
60
55
60
95
35
85
85
20
70
100
5
10
5
55
100
85
60
55
60
95
55

55

55


25
10
85
35
70
55

85

85
35

55
55

35
35



55


20
35


70
5
25
70
70
5
25
35
20
10
60


60

70

25
55
60

25

60
25

5
25
10


5
35
5
60

55
70


55
55
20
35
85
60
55
85
85
35
60
25
20
85


35
25
90





55
35
35
90
55
85
85

5
35

10

55
25
70
60

25
25
25
60

25

5

60
85

35
55
90
70

60

85

35
25



60
40
90
20
70
10
60
35
85
10
20
70
70
35
60
85
55
40
60
55
35
20
40
20
55
10
85
70
20
70
85
20
25
25
40
75
95
55
100
60
40
40
40
70
25
70
35
40
70
55
75
10
20
75
95
55
5
90
90
40
35
60
55
55
10
20
20
70
55
55
20
55
35
35
85
5
60
20
40
60
35
55
95
55
5
25
70
10
85
90
10
5
5
5
35
35
10
75
95
35
40
55
20
55
20
5
20
55
85
20
40
20
60
40
55
55
60
10
