DSP
5
80
30
60
45
100
95
50
45
45
45
65
50
60
50
75
5
30
60
5
65
65
45
5
95
85
30
85
85
60
30
85
5
5
85
5
100
60
60
65
5
60
60
60
45
60
30
75
5
100
65
85
45
95
45
60
75
50
95
30
75
5
75
60
95
85
5
45
80
80
85
100
95
60
30
5
60
50
100
30
95
30
75
60
5
100
85
45
45
95
30
5
30
60
45
60
45
30
100
95
90
50
95
90
85
60
30
30
30
30
85
5
5
75
75
75
65
30
100
5
75
60
85
50
45
75
60
45
60
45
30
50
60
5
80
60
100
30
30
30
60
65
30
60
30
5
95
100
85
60
5
50
90
5
95
60
85
30
5
5
45
100
5
5
85
45
60
90
5
60
30
75
30
60
5
30
80
5
50
5
85
60
45
60
75
75
95
75
60
30
90
50
30
5
85
45
95
65
5
100
75
5
50
30
100
80
5
50
85
60
75
5
5
75
60
30
65
65
60
5
65
45
30
75
75
30
85
50
30
30
45
60
65
60
45
90
45
85
100
85
90
30
50
5
85
65
5
65
30
5
50
85
30
60
65
5
60
30
95
50
45
50
30
65
45
95
75
75
60
95
30
30
60
45
60
100
45
75
60
95
75
30
75
90
60
30
30
5
95
60
5
5
5
95
60
60
30
60
50
85
30
75
75
65
5
5
80
60
30
95
85
60
30
30
5
80
85
50
60
95
30
60
5
60
95
100
100
30
30
30
30
60
5
5
100
95
60
5
5
50
45
5
60
100
5
50
5
45
85
60
75
75
90
60
100
90
30
60
60
60
60
45
75
100
95
100
45
30
5
95
5
100
5
45
100
5
5
80
90
45
30
5
60
80
95
75
80
65
45
90
65
30
95
5
5
95
85
45
5
5
85
100
100
95
85
95
75
100

45

95


45
30
95
30
80
50

95

85
5

60
85

45
80



50


30
45


30
30
30
45
50
45
85
60
30
5
95


60

45

50
95
60

85

60
45

45
60
50


5
45
50
45

75
75


80
75
5
5
80
85
50
95
95
60
95
95
5
45


60
75
80





80
80
60
100
50
60
60

45
45

5

75
30
50
95

45
50
50
45

5

50

85
45

80
95
80
60

80

95

95
30



80
50
65
5
85
45
75
80
60
65
85
45
80
75
75
60
85
30
80
80
80
50
75
45
65
30
95
45
30
75
75
50
45
60
5
90
50
95
60
30
45
60
75
60
60
90
5
50
65
75
95
50
45
60
60
85
5
60
90
85
75
90
60
60
75
85
60
85
80
75
85
5
65
60
65
30
30
5
60
75
65
85
95
45
60
30
80
45
60
85
50
65
30
45
95
60
45
100
30
50
90
85
30
75
50
85
75
60
75
30
60
50
95
60
95
85
75
75
