WDR
40.0
80.0
15.0
15.0
15.0
75.0
80.0
45.0
70.0
25.0
25.0
55.0
25.0
70.0
10.0
15.0
15.0
95.0
40.0
5.0
40.0
70.0
55.0
75.0
80.0
95.0
5.0
85.0
40.0
15.0
70.0
75.0
70.0
5.0
55.0
5.0
90.0
95.0
15.0
55.0
70.0
45.0
80.0
5.0
80.0
55.0
25.0
90.0
5.0
75.0
90.0
80.0
55.0
70.0
10.0
25.0
45.0
15.0
85.0
70.0
45.0
55.0
95.0
60.0
75.0
80.0
5.0
15.0
70.0
55.0
45.0
80.0
70.0
80.0
70.0
5.0
25.0
25.0
95.0
5.0
70.0
15.0
25.0
25.0
15.0
70.0
70.0
40.0
55.0
55.0
45.0
5.0
70.0
25.0
90.0
85.0
75.0
55.0
95.0
55.0
80.0
25.0
25.0
45.0
70.0
95.0
15.0
60.0
10.0
10.0
70.0
95.0
15.0
55.0
40.0
55.0
95.0
15.0
70.0
90.0
25.0
70.0
85.0
45.0
45.0
40.0
45.0
45.0
55.0
25.0
15.0
85.0
80.0
30.0
55.0
95.0
45.0
10.0
95.0
25.0
55.0
40.0
60.0
60.0
5.0
5.0
95.0
80.0
85.0
90.0
5.0
40.0
30.0
15.0
55.0
5.0
80.0
70.0
90.0
25.0
80.0
90.0
5.0
40.0
80.0
55.0
40.0
25.0
45.0
40.0
15.0
55.0
70.0
70.0
5.0
25.0
40.0
10.0
15.0
60.0
25.0
70.0
70.0
70.0
55.0
45.0
25.0
45.0
70.0
70.0
90.0
60.0
30.0
30.0
70.0
15.0
60.0
85.0
10.0
70.0
75.0
40.0
15.0
60.0
90.0
40.0
15.0
95.0
80.0
60.0
25.0
5.0
70.0
15.0
80.0
70.0
55.0
55.0
55.0
75.0
25.0
10.0
70.0
40.0
80.0
15.0
5.0
30.0
55.0
80.0
85.0
5.0
40.0
70.0
10.0
70.0
80.0
25.0
70.0
95.0
10.0
55.0
70.0
95.0
90.0
30.0
45.0
55.0
5.0
90.0
55.0
25.0
40.0
40.0
25.0
70.0
80.0
45.0
95.0
55.0
85.0
80.0
80.0
70.0
30.0
95.0
80.0
40.0
95.0
70.0
90.0
40.0
5.0
55.0
95.0
70.0
85.0
25.0
25.0
70.0
75.0
10.0
75.0
45.0
45.0
85.0
15.0
45.0
70.0
30.0
25.0
70.0
75.0
40.0
55.0
70.0
5.0
25.0
45.0
55.0
15.0
30.0
70.0
90.0
85.0
40.0
70.0
25.0
90.0
70.0
95.0
5.0
55.0
45.0
15.0
95.0
55.0
40.0
95.0
70.0
90.0
25.0
25.0
70.0
75.0
70.0
55.0
95.0
10.0
40.0
85.0
15.0
95.0
40.0
70.0
85.0
70.0
5.0
40.0
85.0
15.0
90.0
70.0
70.0
5.0
55.0
60.0
40.0
60.0
40.0
90.0
25.0
70.0
75.0
5.0
75.0
95.0
85.0
25.0
30.0
45.0
55.0
30.0
80.0
70.0
70.0
60.0
95.0
60.0
5.0
40.0
90.0
95.0
10.0
95.0
15.0
25.0
75.0
25.0
40.0
55.0
15.0
25.0
70.0
70.0
70.0
15.0
70.0
90.0
40.0
40.0
15.0
40.0
95.0
60.0
55.0
70.0
15.0
5.0
15.0
55.0
90.0
25.0
80.0
25.0
95.0
25.0
70.0
""
70.0
""
75.0
""
""
45.0
45.0
40.0
15.0
25.0
80.0
""
95.0
""
70.0
45.0
""
95.0
90.0
""
45.0
70.0
""
""
""
40.0
""
""
40.0
15.0
""
""
55.0
75.0
15.0
45.0
45.0
25.0
15.0
80.0
95.0
40.0
55.0
""
""
70.0
""
55.0
""
80.0
95.0
90.0
""
80.0
""
45.0
15.0
""
15.0
25.0
25.0
""
""
45.0
15.0
75.0
40.0
""
45.0
95.0
""
""
45.0
90.0
40.0
55.0
55.0
70.0
25.0
55.0
45.0
5.0
70.0
80.0
45.0
15.0
""
""
25.0
45.0
75.0
""
""
""
""
""
95.0
45.0
25.0
95.0
95.0
40.0
70.0
""
25.0
25.0
""
70.0
""
10.0
45.0
40.0
55.0
""
55.0
15.0
15.0
55.0
""
45.0
""
55.0
""
70.0
75.0
""
75.0
75.0
80.0
95.0
""
95.0
""
70.0
""
40.0
25.0
""
""
""
55.0
70.0
90.0
5.0
45.0
15.0
70.0
80.0
90.0
55.0
70.0
25.0
70.0
55.0
90.0
25.0
55.0
25.0
40.0
55.0
40.0
15.0
70.0
70.0
40.0
45.0
25.0
80.0
10.0
60.0
75.0
55.0
80.0
55.0
70.0
70.0
40.0
80.0
85.0
55.0
80.0
40.0
40.0
15.0
90.0
70.0
80.0
15.0
70.0
70.0
80.0
15.0
25.0
80.0
75.0
70.0
15.0
55.0
55.0
95.0
85.0
80.0
30.0
5.0
60.0
55.0
60.0
70.0
70.0
95.0
70.0
90.0
40.0
85.0
55.0
75.0
90.0
55.0
90.0
55.0
95.0
80.0
70.0
45.0
5.0
80.0
80.0
60.0
40.0
55.0
70.0
95.0
15.0
5.0
75.0
75.0
25.0
90.0
75.0
15.0
80.0
40.0
55.0
60.0
90.0
70.0
80.0
15.0
80.0
80.0
60.0
70.0
80.0
95.0
70.0
80.0
90.0
5.0
