IDL
55.0
45.0
75.0
25.0
70.0
70.0
75.0
75.0
95.0
20.0
20.0
45.0
20.0
60.0
20.0
60.0
95.0
80.0
20.0
95.0
45.0
85.0
70.0
95.0
75.0
95.0
5.0
80.0
35.0
75.0
60.0
80.0
95.0
5.0
55.0
55.0
95.0
85.0
10.0
45.0
10.0
45.0
70.0
55.0
80.0
95.0
20.0
70.0
5.0
75.0
95.0
80.0
80.0
45.0
85.0
30.0
55.0
45.0
85.0
70.0
80.0
45.0
20.0
95.0
70.0
55.0
5.0
10.0
45.0
80.0
80.0
80.0
70.0
75.0
80.0
95.0
55.0
95.0
95.0
70.0
60.0
45.0
30.0
45.0
5.0
95.0
70.0
80.0
35.0
55.0
85.0
95.0
5.0
10.0
80.0
95.0
95.0
95.0
95.0
45.0
85.0
95.0
60.0
85.0
85.0
95.0
20.0
70.0
10.0
10.0
60.0
95.0
95.0
55.0
60.0
30.0
95.0
45.0
70.0
95.0
60.0
45.0
80.0
70.0
95.0
80.0
45.0
95.0
95.0
70.0
95.0
95.0
30.0
95.0
80.0
95.0
55.0
10.0
95.0
45.0
95.0
45.0
95.0
45.0
30.0
95.0
95.0
85.0
95.0
95.0
30.0
95.0
80.0
75.0
80.0
95.0
45.0
30.0
95.0
80.0
80.0
80.0
5.0
70.0
95.0
45.0
85.0
70.0
95.0
75.0
95.0
95.0
70.0
95.0
10.0
30.0
85.0
45.0
95.0
80.0
80.0
75.0
60.0
55.0
70.0
70.0
95.0
80.0
80.0
75.0
20.0
85.0
95.0
45.0
60.0
70.0
70.0
80.0
85.0
95.0
55.0
95.0
70.0
95.0
60.0
55.0
25.0
95.0
95.0
95.0
55.0
10.0
95.0
80.0
85.0
95.0
45.0
80.0
80.0
75.0
25.0
85.0
95.0
55.0
55.0
10.0
45.0
30.0
45.0
45.0
95.0
20.0
55.0
95.0
90.0
70.0
95.0
55.0
85.0
85.0
30.0
95.0
60.0
45.0
30.0
30.0
70.0
80.0
95.0
95.0
95.0
95.0
70.0
70.0
85.0
95.0
20.0
55.0
5.0
70.0
75.0
75.0
95.0
60.0
70.0
95.0
95.0
20.0
25.0
95.0
45.0
95.0
95.0
95.0
60.0
95.0
60.0
85.0
95.0
80.0
95.0
10.0
80.0
80.0
45.0
95.0
95.0
20.0
60.0
45.0
45.0
95.0
75.0
55.0
75.0
95.0
10.0
75.0
80.0
55.0
95.0
45.0
45.0
95.0
30.0
45.0
80.0
70.0
55.0
85.0
75.0
70.0
95.0
70.0
95.0
95.0
45.0
80.0
70.0
55.0
35.0
60.0
85.0
95.0
85.0
95.0
95.0
25.0
35.0
95.0
95.0
70.0
95.0
70.0
95.0
85.0
45.0
95.0
45.0
95.0
95.0
45.0
95.0
80.0
80.0
80.0
95.0
95.0
45.0
70.0
30.0
95.0
95.0
75.0
80.0
75.0
45.0
80.0
85.0
85.0
10.0
95.0
5.0
55.0
75.0
95.0
75.0
55.0
95.0
30.0
85.0
95.0
95.0
30.0
95.0
95.0
55.0
35.0
45.0
85.0
70.0
70.0
95.0
85.0
80.0
45.0
75.0
70.0
45.0
85.0
80.0
95.0
70.0
70.0
95.0
25.0
70.0
60.0
95.0
70.0
45.0
95.0
85.0
80.0
45.0
95.0
70.0
75.0
""
25.0
""
70.0
""
""
55.0
70.0
45.0
95.0
45.0
75.0
""
95.0
""
75.0
70.0
""
95.0
95.0
""
45.0
55.0
""
""
""
45.0
""
""
95.0
75.0
""
""
75.0
80.0
30.0
95.0
25.0
80.0
20.0
70.0
45.0
45.0
55.0
""
""
70.0
""
75.0
""
95.0
95.0
95.0
""
80.0
""
45.0
80.0
""
55.0
80.0
95.0
""
""
95.0
75.0
45.0
80.0
""
45.0
75.0
""
""
80.0
70.0
95.0
75.0
55.0
55.0
55.0
70.0
55.0
55.0
30.0
95.0
70.0
70.0
""
""
75.0
95.0
80.0
""
""
""
""
""
95.0
45.0
80.0
70.0
75.0
80.0
30.0
""
75.0
45.0
""
80.0
""
95.0
5.0
55.0
70.0
""
55.0
25.0
80.0
75.0
""
75.0
""
75.0
""
45.0
55.0
""
55.0
95.0
95.0
45.0
""
95.0
""
95.0
""
45.0
95.0
""
""
""
70.0
60.0
55.0
95.0
70.0
20.0
70.0
70.0
25.0
70.0
95.0
30.0
95.0
45.0
25.0
80.0
70.0
70.0
70.0
75.0
60.0
30.0
85.0
85.0
80.0
75.0
30.0
95.0
95.0
45.0
25.0
85.0
60.0
80.0
95.0
35.0
80.0
35.0
70.0
60.0
55.0
80.0
55.0
60.0
75.0
35.0
75.0
55.0
70.0
80.0
80.0
95.0
60.0
75.0
95.0
95.0
30.0
70.0
80.0
10.0
75.0
55.0
70.0
95.0
70.0
95.0
10.0
95.0
35.0
80.0
55.0
35.0
95.0
95.0
60.0
80.0
80.0
95.0
80.0
45.0
95.0
75.0
25.0
55.0
95.0
95.0
95.0
80.0
95.0
55.0
95.0
95.0
95.0
55.0
80.0
95.0
95.0
80.0
60.0
70.0
45.0
60.0
80.0
35.0
95.0
95.0
95.0
5.0
80.0
25.0
95.0
5.0
75.0
10.0
45.0
20.0
80.0
80.0
