DN
45
45
45
10
30
85
85
85
75
20
45
70
30
30
55
45
10
15
10
70
30
85
55
75
10
85
5
20
45
55
20
95
55
5
5
30
95
45
10
20
20
30
70
45
20
90
20
95
5
95
100
100
75
30
95
20
5
55
10
85
70
45
95
70
70
70
5
5
75
100
70
55
75
85
20
5
85
85
100
5
95
20
70
15
5
100
95
85
70
85
45
85
85
5
85
85
85
70
100
70
90
45
85
70
90
100
10
70
5
5
75
90
70
55
85
15
100
55
70
100
70
10
30
100
90
30
45
100
85
10
15
75
30
55
70
20
70
10
55
55
75
45
30
10
5
45
90
95
85
85
75
85
45
55
95
20
95
5
95
75
100
85
10
20
100
45
85
20
85
75
85
70
85
55
10
20
10
70
10
85
90
30
20
70
15
45
100
85
45
75
55
20
70
85
55
45
95
20
30
30
30
70
70
30
5
5
20
20
75
45
85
70
85
100
90
30
75
95
45
10
20
70
95
45
10
5
5
70
55
5
85
5
5
85
10
75
55
20
95
70
20
70
85
20
10
20
20
85
10
85
70
100
30
70
100
70
15
45
85
10
55
75
70
70
45
85
100
20
85
100
45
15
85
70
10
100
45
45
100
85
45
85
75
85
20
95
95
5
85
20
10
75
55
95
70
85
10
45
55
85
85
45
45
30
100
15
55
85
55
90
55
10
10
85
30
85
75
75
95
70
20
55
5
85
100
95
100
70
20
85
85
45
85
55
85
100
75
30
45
55
45
75
20
30
55
70
100
75
70
70
5
55
100
70
100
90
55
90
85
45
55
70
5
5
70
100
70
85
95
20
75
100
95
10
100
55
75
10
90
30
70
85
45
95
85
45
5
70
20
85
95
100
85
100
95
70
95
70
85
20
55
95
95
55
55
20
70
20

45

85


45
70
70
100
10
10

45

55
85

70
70

55
15



55


15
55


85
70
15
20
55
95
15
85
45
45
85


85

70

55
15
45

70

90
55

20
85
45


85
85
45
85

95
15


70
55
85
10
45
55
5
20
70
85
90
90
55
20


55
55
90





85
45
45
85
55
85
20

85
15

70

90
70
85
55

45
15
45
70

85

95

55
15

55
90
100
70

70

55

90
20



55
70
85
100
45
15
10
75
10
70
70
5
90
45
95
100
85
55
85
70
90
15
20
10
20
20
45
90
20
20
100
5
45
10
100
70
70
30
70
85
20
85
85
100
75
85
20
70
45
70
85
85
45
70
70
45
85
70
85
15
45
20
70
30
20
45
85
100
30
10
85
55
95
75
85
70
20
95
10
75
70
45
75
90
85
20
95
70
75
55
45
100
55
70
20
45
45
95
75
70
55
30
85
70
45
5
75
45
70
90
10
15
55
20
45
70
45
55
