HUM
20
60
70
10
80
90
75
70
95
15
25
40
10
70
10
60
20
10
50
90
20
50
25
5
60
100
70
20
50
65
10
85
70
10
70
60
95
95
80
5
85
20
70
60
90
80
70
65
5
85
80
90
75
60
65
30
60
50
5
35
10
70
85
60
80
40
5
5
20
70
85
60
60
75
60
65
60
100
100
50
30
25
60
35
5
85
30
90
25
85
85
75
15
5
15
100
70
70
100
35
95
60
80
100
85
100
20
70
5
5
70
60
85
65
90
10
100
70
70
100
90
10
10
60
80
60
80
100
90
5
65
70
20
50
65
5
60
20
40
30
70
20
100
25
5
90
70
95
20
95
70
85
65
25
85
50
70
30
80
70
70
70
10
30
75
20
65
40
95
70
60
65
60
70
15
60
5
60
85
90
30
85
60
30
20
75
80
75
10
65
70
75
60
90
35
75
85
30
90
70
35
95
60
90
15
35
20
15
70
20
90
60
5
100
85
30
60
60
30
80
85
90
85
60
5
5
5
35
65
40
100
25
70
15
60
80
90
50
85
35
75
75
85
70
15
20
5
40
80
95
70
95
15
60
85
95
60
60
5
35
85
50
25
35
20
85
70
20
80
85
10
20
100
90
35
100
65
20
50
70
20
30
70
80
60
60
60
10
70
95
5
80
60
70
65
100
5
60
70
60
70
30
35
60
65
15
75
10
20
90
85
85
35
5
10
95
60
60
10
65
20
15
5
85
95
80
80
10
85
65
90
65
100
50
40
85
35
50
80
50
100
85
65
85
5
90
95
75
40
60
10
25
40
30
90
70
5
80
20
65
20
85
5
10
60
95
70
90
100
85
100
100
80
10
100
80
90
20
65
40
85
85
15
85
70
75
20
95
5
80
70
60
70
10
70
30
90
40
70
10
50
100
95
20
25
35
20
20

20

10


70
35
10
100
10
5

5

60
20

35
75

60
50



35


10
10


60
50
10
10
35
70
35
60
50
50
35


25

60

60
10
10

50

90
75

10
75
70


25
20
35
85

10
5


50
35
50
10
25
10
5
60
25
35
50
60
25
100


10
20
75





85
60
10
25
50
50
20

60
25

5

90
25
35
25

10
10
50
20

85

50

10
5

60
35
85
60

70

35

10
35



35
50
15
100
35
20
30
70
15
20
85
10
60
40
90
15
15
60
20
65
5
10
10
65
40
5
60
85
5
65
95
30
10
20
15
100
85
5
40
95
35
70
20
85
35
65
25
65
15
40
65
10
35
20
15
60
85
35
85
5
25
20
70
100
35
10
10
90
30
40
30
60
85
90
60
70
95
100
10
85
80
95
100
70
85
90
70
10
65
50
5
70
40
80
5
70
30
95
80
60
85
60
40
15
30
10
85
20
80
85
10
10
85
10
15
70
40
60
