SOM
60
60
5
45
95
95
90
40
5
25
40
75
65
60
30
30
30
75
5
5
75
95
100
5
75
95
5
95
85
5
5
85
5
5
100
30
100
30
25
25
40
45
60
5
65
100
100
90
5
100
85
95
75
75
5
30
75
45
100
5
5
5
75
25
85
85
5
45
65
40
40
95
85
40
5
5
60
75
100
25
100
25
65
60
5
95
75
60
60
90
45
60
60
45
95
5
85
60
100
75
65
5
85
75
75
85
25
5
25
30
85
5
5
60
85
25
95
25
100
60
45
60
85
5
5
60
60
5
5
85
85
65
45
85
85
85
60
25
60
45
40
90
100
5
45
5
65
100
75
85
5
25
65
25
95
5
95
95
45
60
5
95
5
5
95
25
60
95
45
25
5
25
25
60
25
40
90
5
100
5
40
40
100
40
95
75
90
25
5
25
75
25
5
5
60
25
100
5
5
95
75
5
75
5
100
25
45
90
90
60
60
5
60
85
25
30
40
85
25
5
40
30
5
30
5
40
40
45
25
5
5
85
5
5
5
85
5
30
100
95
45
25
45
5
100
75
75
5
40
40
75
60
5
60
30
25
65
25
60
45
5
5
40
75
25
5
85
40
25
100
30
5
5
45
100
100
30
25
5
85
30
25
75
90
25
95
5
5
95
75
5
40
5
75
25
100
25
75
60
45
5
45
45
60
5
5
25
25
75
100
40
5
30
5
5
65
75
40
60
90
25
75
5
5
100
95
100
25
25
85
85
60
100
5
65
90
75
5
5
60
75
60
75
90
5
40
5
5
85
60
25
5
60
40
25
95
60
40
45
40
25
30
5
40
75
95
60
5
40
60
65
100
45
30
100
5
25
25
75
40
45
5
25
75
95
75
45
75
45
75
85
60
90
5
100
85
90
5
25
25
75
100
100
45
75
45
75
85

85

95


95
5
75
5
25
5

85

95
45

60
75

40
5



45


5
5


5
5
40
5
60
40
45
45
5
95
75


25

40

40
95
5

45

60
5

5
60
5


5
25
5
5

85
75


5
75
5
75
45
75
40
75
60
5
95
75
60
40


5
75
75





95
75
5
45
5
95
95

5
5

5

5
5
45
75

45
45
5
5

75

5

75
85

45
60
75
5

85

95

75
95



95
85
90
25
5
60
100
100
45
40
60
75
75
60
95
75
100
45
75
90
75
40
65
40
75
25
75
95
85
85
100
30
65
75
5
60
45
45
65
75
100
40
85
95
25
65
85
45
40
25
95
25
75
65
45
85
5
95
60
65
75
75
75
40
75
40
90
95
40
60
75
95
75
25
75
5
25
25
100
100
95
75
5
95
40
60
85
40
75
90
30
5
25
5
25
65
40
90
60
30
60
75
75
100
100
100
25
40
40
75
100
60
40
60
90
25
100
100
