SEV
6.0
16.0
""
41.0
""
""
""
58.0
61.0
""
""
""
""
40.0
""
""
21.0
22.0
""
""
25.0
""
""
""
""
""
""
17.0
""
""
70.0
16.0
12.0
""
11.0
""
23.0
35.0
""
""
39.0
""
37.0
""
""
94.0
""
""
10.0
14.0
12.0
85.0
52.0
""
1.0
2.0
""
10.0
15.0
0.0
52.0
""
11.0
11.0
""
11.0
""
60.0
""
""
""
19.0
16.0
""
31.0
""
""
80.0
""
""
17.0
""
""
""
""
""
""
36.0
""
""
""
""
61.0
""
12.0
""
12.0
44.0
""
15.0
""
44.0
14.0
""
""
10.0
20.0
40.0
""
82.0
""
""
3.0
24.0
9.0
""
13.0
""
24.0
96.0
33.0
""
11.0
57.0
41.0
""
29.0
""
39.0
""
75.0
30.0
""
17.0
16.0
13.0
""
""
""
""
""
""
18.0
""
""
""
15.0
23.0
""
11.0
""
46.0
""
70.0
""
""
11.0
""
97.0
""
""
""
""
10.0
""
""
""
13.0
75.0
""
""
""
30.0
30.0
""
""
10.0
""
""
""
""
""
""
""
""
""
""
24.0
47.0
""
20.0
20.0
""
""
""
68.0
19.0
59.0
""
""
""
29.0
96.0
""
""
""
""
""
""
""
""
""
""
16.0
""
64.0
""
""
""
""
""
45.0
""
""
""
""
""
""
""
""
43.0
10.0
14.0
13.0
""
""
85.0
""
""
11.0
""
37.0
""
""
""
62.0
""
20.0
""
52.0
90.0
""
""
""
""
""
""
36.0
""
""
""
""
71.0
95.0
34.0
13.0
12.0
""
""
""
78.0
""
""
29.0
10.0
16.0
93.0
54.0
13.0
""
92.0
""
""
16.0
""
38.0
""
""
""
40.0
54.0
""
""
15.0
11.0
14.0
""
""
""
11.0
38.0
""
92.0
""
95.0
""
10.0
""
73.0
20.0
77.0
""
46.0
63.0
7.0
29.0
10.0
38.0
""
""
13.0
""
""
""
25.0
17.0
""
10.0
""
32.0
32.0
""
10.0
""
""
11.0
""
""
""
49.0
63.0
""
""
12.0
14.0
""
""
""
""
""
""
87.0
""
""
""
""
78.0
62.0
""
15.0
""
43.0
""
""
17.0
""
13.0
72.0
10.0
""
""
90.0
4.0
15.0
29.0
13.0
""
""
19.0
""
11.0
""
69.0
""
""
10.0
""
""
85.0
""
""
61.0
""
25.0
""
15.0
19.0
""
22.0
""
91.0
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
13.0
65.0
11.0
11.0
34.0
12.0
14.0
63.0
14.0
11.0
11.0
11.0
11.0
40.0
12.0
87.0
13.0
74.0
10.0
16.0
73.0
10.0
13.0
79.0
74.0
33.0
13.0
71.0
82.0
15.0
75.0
83.0
40.0
11.0
73.0
11.0
12.0
15.0
11.0
11.0
68.0
62.0
11.0
99.0
75.0
16.0
72.0
43.0
79.0
79.0
59.0
37.0
64.0
24.0
12.0
65.0
53.0
71.0
13.0
85.0
56.0
11.0
21.0
89.0
80.0
92.0
81.0
73.0
11.0
15.0
98.0
11.0
49.0
83.0
52.0
69.0
35.0
62.0
99.0
70.0
97.0
97.0
13.0
94.0
41.0
93.0
83.0
43.0
10.0
84.0
17.0
74.0
14.0
55.0
12.0
10.0
87.0
19.0
69.0
67.0
67.0
11.0
37.0
91.0
11.0
89.0
13.0
80.0
85.0
99.0
10.0
67.0
74.0
13.0
14.0
12.0
88.0
99.0
