CON
5
100
5
95
95
100
100
5
5
5
5
90
85
5
5
5
5
5
5
5
100
5
5
5
85
100
5
100
100
90
5
100
95
5
5
5
100
5
5
95
5
5
5
5
80
100
5
5
100
100
90
100
100
5
100
90
100
100
5
5
5
5
5
5
100
100
5
80
100
5
80
100
100
80
5
5
100
5
100
80
100
5
5
100
5
100
100
5
5
100
5
5
5
80
85
5
5
5
100
100
90
90
100
100
100
5
5
5
90
80
100
5
5
90
100
5
95
5
100
5
95
5
5
90
5
5
100
5
5
85
5
5
5
5
5
5
85
80
5
5
5
90
90
5
5
5
100
100
80
5
5
100
90
90
100
5
5
5
5
80
95
80
5
5
95
5
90
100
5
5
5
5
5
5
5
5
5
5
5
5
80
5
5
5
5
95
95
5
5
90
5
5
5
5
90
5
100
5
5
95
95
5
80
5
95
90
5
5
5
5
5
5
5
95
5
80
85
90
5
5
85
5
5
5
5
80
80
90
5
5
5
100
5
5
5
90
5
5
100
5
5
5
80
5
5
95
5
5
5
5
5
100
5
5
95
5
5
90
5
5
5
5
5
100
90
95
95
85
5
100
80
5
5
5
5
5
5
5
5
100
5
90
95
100
5
5
5
5
100
5
5
5
5
100
5
5
95
95
5
100
5
100
100
90
90
5
5
5
80
100
5
5
5
5
5
90
100
5
95
100
5
100
5
5
100
90
100
5
5
5
5
90
5
5
80
100
80
5
5
5
5
5
5
100
5
5
5
80
95
100
5
5
5
95
90
100
80
5
5
100
100
5
5
5
100
100
5
5
5
5
5
100
5
95
100
5
5
5
100
5
80
95
5
95
100
100
100
5
5
100
100
5
100
5
5
100
100
5
5
5
100
100
100
5
100
5
100
5

95

100


90
5
90
5
95
5

5

100
5

5
5

5
5



80


5
90


5
5
5
5
95
5
5
5
5
5
100


5

5

95
5
5

5

5
5

5
80
5


5
5
5
5

95
5


5
5
5
5
90
100
80
5
100
5
90
5
5
5


5
80
90





5
5
5
5
5
100
80

5
5

5

80
5
5
100

5
90
5
5

5

5

5
5

5
5
5
5

5

100

100
5



100
5
5
5
5
85
90
5
5
5
5
100
5
80
5
5
80
5
5
80
5
5
80
5
5
5
5
5
5
90
5
5
5
5
5
5
5
90
5
80
80
5
5
5
90
95
80
5
80
5
5
5
80
5
5
5
5
90
90
5
80
90
100
5
5
5
5
5
5
5
5
95
5
5
5
5
80
5
5
100
5
80
5
80
80
5
5
5
80
100
5
5
5
5
5
85
5
90
5
85
5
80
5
5
5
5
5
5
5
5
5
5
5
5
90
5
5
5
