SPL
30.0
85.0
85.0
5.0
5.0
70.0
55.0
55.0
100.0
5.0
30.0
50.0
30.0
50.0
5.0
15.0
5.0
5.0
5.0
85.0
35.0
70.0
70.0
50.0
100.0
75.0
5.0
85.0
50.0
5.0
50.0
70.0
10.0
5.0
70.0
5.0
85.0
85.0
5.0
30.0
35.0
10.0
70.0
15.0
85.0
35.0
10.0
30.0
5.0
70.0
85.0
75.0
55.0
50.0
10.0
10.0
70.0
70.0
90.0
10.0
35.0
70.0
90.0
85.0
70.0
70.0
5.0
5.0
10.0
75.0
70.0
85.0
70.0
5.0
10.0
5.0
50.0
35.0
100.0
5.0
75.0
15.0
10.0
30.0
5.0
90.0
35.0
85.0
10.0
50.0
30.0
10.0
100.0
5.0
100.0
90.0
50.0
50.0
100.0
30.0
85.0
85.0
70.0
70.0
55.0
100.0
10.0
85.0
5.0
5.0
55.0
85.0
50.0
35.0
35.0
55.0
90.0
50.0
55.0
100.0
50.0
30.0
85.0
100.0
70.0
50.0
35.0
90.0
100.0
100.0
70.0
70.0
50.0
10.0
70.0
100.0
85.0
10.0
85.0
85.0
15.0
5.0
70.0
15.0
5.0
30.0
100.0
90.0
70.0
50.0
5.0
75.0
30.0
50.0
70.0
70.0
85.0
90.0
85.0
85.0
35.0
90.0
5.0
5.0
100.0
30.0
30.0
70.0
5.0
50.0
30.0
75.0
30.0
30.0
5.0
30.0
70.0
30.0
30.0
35.0
85.0
35.0
30.0
70.0
100.0
70.0
55.0
50.0
10.0
5.0
70.0
85.0
50.0
50.0
30.0
70.0
50.0
50.0
15.0
100.0
10.0
85.0
15.0
50.0
55.0
5.0
10.0
10.0
90.0
50.0
5.0
5.0
100.0
30.0
35.0
15.0
35.0
70.0
15.0
35.0
15.0
50.0
30.0
10.0
5.0
5.0
50.0
35.0
50.0
5.0
85.0
5.0
85.0
100.0
30.0
70.0
50.0
15.0
70.0
85.0
50.0
50.0
50.0
35.0
100.0
10.0
30.0
50.0
85.0
35.0
75.0
85.0
5.0
10.0
30.0
30.0
35.0
70.0
35.0
55.0
90.0
55.0
70.0
55.0
55.0
15.0
70.0
30.0
30.0
100.0
50.0
10.0
100.0
30.0
90.0
100.0
100.0
50.0
70.0
85.0
50.0
50.0
70.0
55.0
10.0
75.0
35.0
5.0
70.0
10.0
10.0
30.0
5.0
90.0
30.0
70.0
5.0
50.0
50.0
35.0
10.0
5.0
15.0
90.0
10.0
10.0
50.0
10.0
70.0
70.0
75.0
10.0
70.0
85.0
5.0
85.0
70.0
30.0
100.0
75.0
70.0
35.0
30.0
70.0
75.0
90.0
100.0
85.0
10.0
85.0
70.0
30.0
5.0
70.0
55.0
85.0
50.0
5.0
10.0
70.0
50.0
70.0
50.0
85.0
70.0
10.0
85.0
35.0
50.0
50.0
10.0
35.0
55.0
85.0
100.0
85.0
55.0
55.0
5.0
50.0
70.0
50.0
50.0
50.0
15.0
100.0
30.0
100.0
50.0
10.0
55.0
70.0
100.0
50.0
100.0
50.0
5.0
30.0
50.0
15.0
55.0
15.0
85.0
55.0
90.0
30.0
30.0
100.0
55.0
100.0
50.0
50.0
70.0
70.0
70.0
70.0
100.0
35.0
5.0
35.0
10.0
100.0
85.0
50.0
75.0
50.0
50.0
85.0
""
35.0
""
35.0
""
""
35.0
75.0
10.0
85.0
50.0
30.0
""
75.0
""
35.0
50.0
""
100.0
50.0
""
50.0
75.0
""
""
""
50.0
""
""
10.0
10.0
""
""
50.0
5.0
5.0
30.0
10.0
35.0
5.0
75.0
30.0
5.0
35.0
""
""
75.0
""
85.0
""
30.0
70.0
35.0
""
100.0
""
70.0
35.0
""
50.0
50.0
5.0
""
""
50.0
50.0
70.0
30.0
""
30.0
70.0
""
""
30.0
35.0
50.0
10.0
5.0
75.0
5.0
70.0
50.0
35.0
75.0
85.0
35.0
85.0
""
""
10.0
35.0
85.0
""
""
""
""
""
70.0
50.0
10.0
85.0
75.0
50.0
50.0
""
5.0
50.0
""
50.0
""
35.0
100.0
30.0
5.0
""
10.0
5.0
50.0
10.0
""
5.0
""
5.0
""
10.0
30.0
""
30.0
75.0
5.0
50.0
""
85.0
""
70.0
""
30.0
35.0
""
""
""
100.0
35.0
90.0
5.0
55.0
5.0
85.0
90.0
55.0
35.0
100.0
30.0
55.0
30.0
55.0
70.0
100.0
55.0
85.0
70.0
55.0
5.0
70.0
30.0
30.0
10.0
15.0
50.0
5.0
35.0
85.0
30.0
70.0
50.0
30.0
35.0
35.0
70.0
100.0
30.0
5.0
30.0
50.0
100.0
30.0
15.0
100.0
35.0
35.0
50.0
85.0
75.0
5.0
55.0
100.0
30.0
70.0
35.0
50.0
50.0
35.0
35.0
50.0
50.0
50.0
30.0
70.0
75.0
5.0
30.0
85.0
100.0
85.0
75.0
70.0
50.0
50.0
5.0
90.0
30.0
90.0
5.0
85.0
55.0
35.0
50.0
50.0
10.0
55.0
75.0
75.0
75.0
5.0
50.0
85.0
85.0
30.0
90.0
30.0
10.0
35.0
30.0
50.0
70.0
50.0
5.0
70.0
50.0
75.0
5.0
30.0
50.0
30.0
30.0
70.0
55.0
70.0
90.0
