DSC
20.0
95.0
40.0
45.0
100.0
100.0
85.0
45.0
20.0
20.0
55.0
85.0
55.0
20.0
5.0
55.0
20.0
5.0
40.0
5.0
75.0
75.0
40.0
75.0
55.0
100.0
5.0
85.0
85.0
20.0
20.0
95.0
5.0
5.0
55.0
5.0
100.0
5.0
40.0
90.0
5.0
65.0
40.0
20.0
80.0
75.0
20.0
55.0
5.0
95.0
90.0
90.0
55.0
45.0
80.0
40.0
55.0
85.0
85.0
5.0
20.0
45.0
85.0
5.0
95.0
85.0
5.0
40.0
85.0
55.0
75.0
100.0
95.0
25.0
20.0
5.0
95.0
55.0
100.0
40.0
75.0
20.0
40.0
40.0
5.0
100.0
85.0
55.0
55.0
90.0
45.0
55.0
55.0
55.0
90.0
5.0
85.0
45.0
100.0
85.0
100.0
65.0
80.0
100.0
100.0
95.0
20.0
20.0
20.0
25.0
95.0
55.0
5.0
75.0
85.0
20.0
90.0
20.0
85.0
65.0
55.0
40.0
80.0
5.0
40.0
75.0
40.0
45.0
25.0
40.0
45.0
5.0
20.0
40.0
40.0
40.0
85.0
25.0
20.0
40.0
55.0
85.0
95.0
5.0
5.0
5.0
65.0
100.0
95.0
55.0
5.0
55.0
20.0
65.0
95.0
55.0
80.0
55.0
85.0
75.0
40.0
100.0
5.0
5.0
90.0
55.0
65.0
95.0
5.0
45.0
20.0
75.0
20.0
5.0
5.0
20.0
5.0
20.0
20.0
5.0
75.0
55.0
25.0
5.0
45.0
40.0
55.0
5.0
5.0
25.0
40.0
25.0
45.0
20.0
65.0
40.0
85.0
40.0
55.0
100.0
85.0
45.0
20.0
20.0
40.0
75.0
20.0
55.0
5.0
75.0
40.0
5.0
55.0
80.0
75.0
85.0
40.0
65.0
65.0
5.0
65.0
40.0
55.0
5.0
55.0
40.0
80.0
55.0
25.0
5.0
20.0
40.0
65.0
55.0
20.0
85.0
80.0
40.0
95.0
40.0
55.0
5.0
85.0
55.0
20.0
65.0
5.0
55.0
5.0
40.0
40.0
100.0
25.0
40.0
40.0
40.0
5.0
20.0
5.0
40.0
5.0
40.0
55.0
80.0
45.0
95.0
100.0
55.0
40.0
100.0
65.0
5.0
5.0
55.0
45.0
55.0
25.0
40.0
65.0
80.0
40.0
80.0
75.0
75.0
40.0
55.0
20.0
5.0
95.0
80.0
5.0
45.0
45.0
75.0
55.0
95.0
5.0
65.0
45.0
65.0
20.0
55.0
90.0
55.0
55.0
5.0
75.0
55.0
55.0
95.0
20.0
5.0
40.0
20.0
5.0
55.0
80.0
20.0
55.0
85.0
40.0
55.0
5.0
55.0
100.0
95.0
40.0
40.0
40.0
55.0
25.0
75.0
55.0
40.0
95.0
100.0
40.0
5.0
5.0
20.0
5.0
65.0
65.0
100.0
5.0
40.0
5.0
75.0
75.0
95.0
55.0
85.0
65.0
75.0
100.0
95.0
55.0
55.0
75.0
95.0
55.0
5.0
5.0
40.0
95.0
100.0
40.0
20.0
5.0
95.0
40.0
100.0
80.0
40.0
100.0
5.0
55.0
40.0
80.0
55.0
95.0
80.0
40.0
85.0
95.0
85.0
85.0
100.0
55.0
75.0
75.0
40.0
55.0
5.0
55.0
90.0
100.0
5.0
20.0
55.0
85.0
100.0
100.0
40.0
55.0
45.0
55.0
75.0
""
55.0
""
5.0
""
""
45.0
5.0
40.0
5.0
55.0
40.0
""
5.0
""
80.0
40.0
""
45.0
55.0
""
40.0
55.0
""
""
""
55.0
""
""
5.0
45.0
""
""
5.0
5.0
45.0
5.0
40.0
20.0
40.0
55.0
55.0
40.0
45.0
""
""
40.0
""
20.0
""
55.0
40.0
55.0
""
55.0
""
45.0
20.0
""
40.0
45.0
5.0
""
""
5.0
20.0
20.0
80.0
""
45.0
40.0
""
""
5.0
40.0
5.0
5.0
55.0
5.0
5.0
80.0
55.0
5.0
75.0
55.0
5.0
5.0
""
""
5.0
45.0
80.0
""
""
""
""
""
45.0
20.0
5.0
75.0
20.0
55.0
45.0
""
40.0
5.0
""
20.0
""
5.0
5.0
75.0
75.0
""
20.0
45.0
5.0
20.0
""
45.0
""
5.0
""
80.0
40.0
""
55.0
20.0
80.0
75.0
""
40.0
""
75.0
""
45.0
5.0
""
""
""
100.0
25.0
25.0
40.0
5.0
40.0
100.0
55.0
25.0
100.0
40.0
25.0
95.0
75.0
40.0
45.0
55.0
5.0
95.0
85.0
75.0
5.0
45.0
5.0
55.0
20.0
85.0
20.0
5.0
75.0
45.0
25.0
55.0
25.0
5.0
45.0
25.0
55.0
5.0
100.0
20.0
20.0
80.0
95.0
75.0
75.0
40.0
5.0
65.0
40.0
80.0
20.0
20.0
40.0
20.0
95.0
5.0
55.0
80.0
20.0
25.0
95.0
95.0
45.0
55.0
55.0
20.0
95.0
40.0
5.0
40.0
80.0
65.0
40.0
20.0
5.0
5.0
5.0
65.0
80.0
20.0
80.0
40.0
55.0
40.0
80.0
40.0
40.0
85.0
85.0
85.0
45.0
20.0
5.0
55.0
95.0
5.0
100.0
40.0
40.0
55.0
85.0
5.0
5.0
85.0
100.0
75.0
20.0
20.0
5.0
75.0
40.0
55.0
20.0
75.0
20.0
55.0
25.0
