INT
30
35
100
15
20
90
90
50
90
15
70
80
60
15
10
55
20
15
35
85
50
80
45
65
15
95
100
80
10
45
30
90
75
15
10
25
100
85
50
25
90
30
55
30
60
100
45
90
5
100
95
95
65
25
90
55
55
50
15
30
95
95
100
95
85
100
10
5
65
100
60
95
65
55
55
95
25
60
100
50
75
35
35
35
10
85
30
100
85
90
25
90
100
5
80
60
85
95
100
35
95
35
75
100
30
100
20
65
5
5
90
100
95
55
100
15
90
90
100
100
60
30
35
35
95
25
65
100
80
25
5
55
75
65
90
85
90
10
90
75
100
60
100
5
15
75
85
100
95
100
90
65
75
100
95
60
100
10
100
100
100
85
5
45
100
65
80
60
100
80
85
60
55
60
15
30
10
20
10
100
95
50
30
60
35
10
20
55
10
100
25
55
50
5
75
55
55
10
55
100
70
90
90
90
5
25
50
70
50
45
90
90
95
90
70
95
75
70
95
35
20
45
95
20
5
5
5
25
20
15
100
10
45
100
25
95
95
20
75
25
15
80
100
50
15
50
55
85
60
90
55
45
25
35
100
90
35
60
15
50
75
100
55
65
45
95
100
15
85
100
60
45
100
95
5
95
50
95
95
80
15
75
60
95
55
85
85
25
80
80
5
35
95
60
55
100
5
80
50
50
100
55
55
100
90
35
75
60
55
95
90
15
25
75
25
100
75
80
100
70
5
35
5
80
100
85
100
90
35
70
85
45
95
60
90
90
35
5
30
50
100
90
25
95
100
80
100
80
80
80
45
45
90
65
100
85
65
70
85
10
65
100
5
5
50
100
90
70
60
5
75
100
100
10
100
60
30
20
90
60
25
100
65
90
95
55
35
95
55
80
70
90
75
100
45
65
75
95
100
90
60
100
100
25
90
70
70
5

25

90


60
80
50
70
10
60

5

60
90

70
15

90
50



60


80
35


70
25
25
80
70
95
80
70
90
50
50


95

80

80
80
80

60

70
90

50
80
35


60
90
35
90

60
35


70
80
100
35
50
90
95
60
35
60
10
70
50
60


50
50
70





50
60
90
70
70
95
50

80
60

100

50
35
70
80

60
15
60
90

95

100

35
5

70
70
35
95

70

10

80
70



70
55
95
100
50
5
75
100
35
65
5
10
80
45
100
75
80
85
70
80
60
30
60
60
35
45
65
90
65
65
70
15
90
45
75
35
80
80
90
30
15
95
55
70
95
65
90
55
85
55
80
100
35
65
100
35
100
60
50
35
25
50
65
50
50
25
55
100
75
5
90
70
90
100
100
55
25
65
55
60
45
25
70
90
100
90
65
75
45
70
30
90
90
85
5
60
20
100
90
50
95
95
80
65
95
10
20
95
100
60
25
5
70
45
25
35
35
60
