RESILI
41.0
33.0
50.0
29.0
45.0
39.0
39.0
46.0
42.0
47.0
50.0
43.0
41.0
40.0
35.0
41.0
35.0
45.0
49.0
58.0
38.0
45.0
54.0
46.0
46.0
53.0
47.0
46.0
34.0
46.0
34.0
42.0
44.0
57.0
31.0
38.0
41.0
42.0
34.0
34.0
49.0
42.0
44.0
51.0
46.0
54.0
46.0
37.0
56.0
48.0
45.0
37.0
41.0
35.0
54.0
56.0
41.0
40.0
38.0
56.0
37.0
46.0
38.0
44.0
33.0
53.0
41.0
45.0
53.0
57.0
47.0
42.0
44.0
49.0
46.0
57.0
47.0
53.0
39.0
41.0
33.0
42.0
49.0
51.0
41.0
30.0
44.0
49.0
46.0
41.0
41.0
49.0
54.0
30.0
40.0
53.0
42.0
49.0
47.0
44.0
45.0
57.0
41.0
35.0
39.0
52.0
44.0
45.0
27.0
38.0
49.0
54.0
50.0
41.0
44.0
34.0
50.0
41.0
44.0
48.0
44.0
47.0
35.0
45.0
61.0
50.0
41.0
61.0
44.0
41.0
40.0
50.0
30.0
52.0
45.0
31.0
43.0
38.0
50.0
46.0
35.0
41.0
52.0
38.0
47.0
47.0
29.0
44.0
51.0
53.0
45.0
48.0
53.0
53.0
47.0
54.0
37.0
37.0
46.0
49.0
43.0
35.0
45.0
50.0
43.0
46.0
50.0
53.0
46.0
43.0
44.0
48.0
45.0
48.0
38.0
39.0
42.0
53.0
40.0
58.0
43.0
38.0
45.0
48.0
33.0
35.0
46.0
48.0
48.0
41.0
41.0
48.0
49.0
46.0
35.0
42.0
56.0
34.0
46.0
45.0
45.0
52.0
46.0
41.0
43.0
30.0
46.0
42.0
47.0
43.0
46.0
49.0
51.0
42.0
44.0
50.0
41.0
39.0
55.0
44.0
41.0
53.0
46.0
43.0
35.0
43.0
33.0
35.0
53.0
38.0
56.0
40.0
29.0
57.0
50.0
45.0
50.0
45.0
42.0
38.0
39.0
48.0
47.0
58.0
41.0
40.0
46.0
52.0
35.0
48.0
46.0
51.0
57.0
46.0
56.0
45.0
45.0
45.0
23.0
46.0
49.0
53.0
40.0
31.0
44.0
56.0
48.0
43.0
41.0
53.0
42.0
41.0
51.0
48.0
37.0
57.0
42.0
38.0
57.0
43.0
35.0
37.0
35.0
37.0
49.0
49.0
45.0
41.0
39.0
42.0
41.0
54.0
44.0
45.0
49.0
57.0
41.0
41.0
43.0
53.0
57.0
37.0
41.0
45.0
40.0
45.0
45.0
47.0
41.0
41.0
49.0
53.0
35.0
49.0
48.0
48.0
46.0
42.0
38.0
42.0
41.0
43.0
38.0
52.0
48.0
46.0
52.0
34.0
49.0
49.0
54.0
38.0
57.0
43.0
39.0
45.0
38.0
49.0
41.0
46.0
53.0
53.0
44.0
45.0
50.0
45.0
48.0
50.0
42.0
50.0
41.0
49.0
48.0
45.0
54.0
39.0
41.0
45.0
41.0
49.0
35.0
44.0
46.0
35.0
42.0
57.0
41.0
45.0
56.0
49.0
54.0
52.0
50.0
34.0
49.0
50.0
43.0
41.0
53.0
42.0
48.0
38.0
40.0
46.0
41.0
44.0
46.0
38.0
42.0
50.0
45.0
48.0
46.0
56.0
33.0
44.0
53.0
49.0
56.0
53.0
38.0
45.0
45.0
49.0
42.0
42.0
40.0
45.0
37.0
41.0
45.0
42.0
55.0
43.0
38.0
41.0
40.0
56.0
46.0
46.0
46.0
42.0
39.0
42.0
54.0
49.0
49.0
38.0
51.0
38.0
35.0
37.0
49.0
43.0
42.0
39.0
37.0
53.0
53.0
33.0
47.0
49.0
49.0
41.0
42.0
44.0
49.0
44.0
49.0
49.0
46.0
45.0
34.0
45.0
48.0
42.0
45.0
41.0
45.0
46.0
37.0
53.0
38.0
45.0
50.0
45.0
42.0
45.0
45.0
53.0
50.0
39.0
40.0
50.0
45.0
54.0
49.0
52.0
40.0
42.0
37.0
34.0
38.0
57.0
48.0
38.0
50.0
41.0
53.0
37.0
45.0
44.0
45.0
41.0
50.0
45.0
37.0
52.0
35.0
50.0
46.0
46.0
50.0
37.0
43.0
40.0
38.0
44.0
34.0
45.0
37.0
37.0
39.0
48.0
53.0
42.0
44.0
49.0
46.0
42.0
40.0
44.0
46.0
48.0
37.0
41.0
44.0
47.0
37.0
47.0
48.0
46.0
40.0
48.0
41.0
37.0
49.0
45.0
52.0
37.0
40.0
47.0
54.0
41.0
45.0
44.0
34.0
49.0
49.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
