NEG_EMOT
61.0
51.0
37.0
44.0
33.0
61.0
61.0
44.0
51.0
47.0
40.0
40.0
58.0
65.0
58.0
44.0
54.0
51.0
37.0
33.0
51.0
47.0
51.0
54.0
68.0
58.0
40.0
65.0
51.0
37.0
65.0
58.0
40.0
33.0
72.0
47.0
54.0
47.0
51.0
51.0
47.0
40.0
47.0
51.0
33.0
40.0
68.0
51.0
44.0
40.0
51.0
54.0
51.0
54.0
44.0
33.0
61.0
72.0
72.0
33.0
44.0
54.0
61.0
47.0
54.0
54.0
33.0
47.0
44.0
33.0
44.0
61.0
58.0
44.0
47.0
33.0
61.0
37.0
47.0
40.0
54.0
47.0
51.0
44.0
37.0
54.0
61.0
51.0
54.0
54.0
47.0
37.0
65.0
61.0
61.0
47.0
54.0
47.0
68.0
68.0
47.0
61.0
44.0
54.0
54.0
44.0
37.0
51.0
44.0
61.0
51.0
37.0
37.0
58.0
51.0
61.0
44.0
47.0
68.0
51.0
51.0
68.0
61.0
40.0
47.0
65.0
44.0
33.0
51.0
54.0
61.0
65.0
51.0
58.0
68.0
51.0
51.0
54.0
51.0
51.0
54.0
37.0
54.0
61.0
47.0
47.0
75.0
68.0
37.0
47.0
33.0
37.0
51.0
47.0
72.0
44.0
54.0
65.0
51.0
37.0
37.0
51.0
37.0
51.0
44.0
44.0
47.0
54.0
51.0
47.0
47.0
54.0
44.0
61.0
44.0
51.0
65.0
33.0
54.0
44.0
44.0
58.0
54.0
51.0
61.0
51.0
44.0
54.0
44.0
37.0
58.0
58.0
47.0
47.0
61.0
40.0
54.0
44.0
47.0
65.0
44.0
40.0
33.0
37.0
54.0
58.0
40.0
61.0
54.0
37.0
44.0
37.0
40.0
51.0
44.0
61.0
44.0
54.0
58.0
40.0
54.0
51.0
44.0
58.0
75.0
54.0
82.0
61.0
40.0
47.0
37.0
58.0
65.0
33.0
54.0
54.0
65.0
47.0
51.0
65.0
68.0
58.0
44.0
37.0
68.0
51.0
51.0
47.0
54.0
65.0
54.0
47.0
54.0
47.0
51.0
47.0
65.0
54.0
79.0
51.0
47.0
37.0
65.0
58.0
37.0
37.0
61.0
54.0
51.0
75.0
68.0
47.0
44.0
54.0
68.0
44.0
54.0
44.0
33.0
51.0
68.0
37.0
44.0
65.0
37.0
44.0
47.0
47.0
51.0
40.0
54.0
47.0
37.0
68.0
37.0
33.0
47.0
51.0
47.0
47.0
33.0
54.0
51.0
44.0
51.0
33.0
44.0
33.0
51.0
54.0
65.0
33.0
72.0
47.0
40.0
47.0
51.0
51.0
51.0
61.0
68.0
40.0
54.0
33.0
68.0
47.0
58.0
51.0
44.0
58.0
54.0
47.0
33.0
51.0
54.0
51.0
54.0
33.0
44.0
47.0
58.0
44.0
61.0
40.0
44.0
47.0
58.0
47.0
44.0
44.0
65.0
44.0
51.0
51.0
61.0
61.0
58.0
51.0
44.0
40.0
37.0
51.0
68.0
72.0
54.0
58.0
58.0
65.0
54.0
44.0
51.0
54.0
37.0
58.0
75.0
58.0
61.0
54.0
47.0
44.0
54.0
47.0
51.0
44.0
61.0
47.0
58.0
51.0
58.0
40.0
47.0
33.0
37.0
44.0
61.0
40.0
54.0
44.0
33.0
33.0
37.0
54.0
65.0
58.0
68.0
65.0
65.0
68.0
51.0
79.0
61.0
58.0
44.0
68.0
65.0
54.0
51.0
44.0
54.0
58.0
40.0
68.0
61.0
54.0
47.0
47.0
68.0
65.0
58.0
47.0
72.0
72.0
51.0
51.0
44.0
47.0
65.0
44.0
61.0
51.0
47.0
44.0
54.0
58.0
58.0
65.0
47.0
61.0
61.0
47.0
54.0
58.0
75.0
61.0
47.0
51.0
47.0
61.0
58.0
61.0
72.0
51.0
68.0
51.0
51.0
51.0
47.0
51.0
44.0
54.0
58.0
40.0
51.0
44.0
58.0
40.0
47.0
72.0
58.0
54.0
58.0
44.0
44.0
37.0
65.0
54.0
54.0
47.0
58.0
58.0
47.0
54.0
68.0
61.0
54.0
58.0
51.0
61.0
68.0
61.0
44.0
44.0
40.0
54.0
58.0
58.0
61.0
61.0
65.0
47.0
54.0
65.0
65.0
72.0
44.0
54.0
47.0
37.0
61.0
51.0
54.0
61.0
47.0
58.0
58.0
44.0
51.0
51.0
51.0
54.0
54.0
51.0
51.0
61.0
58.0
58.0
51.0
54.0
51.0
47.0
54.0
54.0
47.0
44.0
54.0
61.0
72.0
58.0
51.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
