PRO
5
75
5
65
85
100
100
50
50
5
60
85
60
60
5
45
5
5
5
5
90
45
45
5
95
100
5
100
100
45
45
80
5
5
45
5
100
5
5
100
5
50
50
50
60
85
75
65
5
100
90
100
60
95
95
45
80
95
100
5
5
5
95
95
100
90
5
65
80
5
90
100
95
60
5
5
75
5
100
45
85
45
45
95
5
100
100
5
60
100
5
5
5
45
100
5
45
5
100
60
75
5
80
95
75
5
5
5
5
45
95
5
5
80
80
100
75
50
100
90
60
60
75
5
5
95
60
5
45
50
5
45
60
5
50
95
75
5
5
50
45
45
100
60
5
5
95
100
75
45
5
5
60
75
100
5
100
45
60
5
5
100
5
45
60
75
80
5
5
60
5
60
45
45
5
5
65
5
85
5
45
60
85
60
100
85
95
5
5
45
100
45
5
60
75
5
90
50
5
85
80
5
60
5
5
100
5
5
75
45
45
5
5
95
5
65
90
75
50
5
75
45
5
90
80
85
100
65
45
45
5
60
100
5
5
85
80
45
100
80
95
5
45
5
80
80
5
5
5
5
75
85
5
45
45
5
45
5
5
50
60
5
85
60
50
75
65
60
5
100
45
60
5
45
65
100
75
5
5
60
60
45
90
85
65
5
5
5
100
60
60
5
5
100
45
5
5
75
50
85
5
85
50
85
75
5
90
100
60
100
60
5
50
50
5
60
100
45
75
95
45
65
5
5
100
85
95
85
45
5
5
85
75
5
95
100
60
5
5
45
5
60
5
100
5
65
5
75
95
90
65
60
80
75
5
100
45
45
65
75
45
5
75
65
95
75
45
100
5
75
45
100
5
60
100
5
45
75
60
50
60
90
65
60
100
85
85
75
50
90
95
5
95
5
60
85
100
5
45
5
75
100
100
60
85
90
100
60

60

85


90
60
85
5
90
60

65

95
5

65
90

45
90



60


5
60


60
60
75
5
65
5
5
75
95
5
85


45

45

60
65
60

75

75
5

5
45
5


5
60
45
60

85
90


85
60
5
65
60
85
5
95
95
65
100
65
60
65


45
75
85





60
100
45
100
65
85
85

5
45

5

75
65
90
85

45
65
5
45

5

45

75
65

60
95
65
5

45

65

85
45



45
75
100
45
5
60
100
60
95
85
90
95
50
50
100
60
85
5
95
80
5
60
65
5
45
5
75
50
45
90
90
45
75
50
5
85
60
100
95
85
5
45
75
75
60
65
50
60
60
60
80
85
50
60
65
60
5
60
85
45
75
75
90
60
45
60
95
65
60
100
75
100
60
85
50
45
5
5
75
45
50
60
75
80
5
45
60
5
65
80
100
90
5
5
50
85
60
100
5
65
65
75
45
45
5
75
80
50
65
60
5
100
60
100
90
60
80
5
