ANT
30
55
65
5
10
65
30
55
80
5
5
30
15
20
5
5
5
5
5
50
30
80
40
40
40
95
5
85
75
20
15
65
30
5
10
30
75
55
5
20
40
20
50
30
55
65
5
20
5
50
65
65
75
30
65
15
85
10
20
5
40
20
75
50
75
40
5
15
30
65
65
40
55
50
5
30
80
95
95
5
50
20
30
30
5
80
20
15
30
40
5
10
85
30
40
80
55
75
95
15
65
50
55
50
15
95
5
55
5
5
40
80
95
40
30
10
85
75
65
85
30
5
40
30
75
65
50
65
75
65
20
80
50
20
40
50
65
5
80
65
55
5
50
5
5
5
55
75
50
85
15
95
5
80
65
30
75
40
75
85
65
85
5
5
80
30
5
95
5
55
20
80
20
15
5
15
40
20
20
20
80
20
50
40
30
50
75
40
10
20
55
50
75
30
30
50
55
30
30
95
15
95
30
75
5
5
10
65
65
30
65
30
95
30
20
20
20
10
5
15
50
10
15
20
5
5
20
30
30
10
85
5
20
95
55
50
55
40
75
65
20
40
50
5
20
10
30
50
15
65
50
65
50
15
55
30
40
30
5
50
55
80
30
50
55
95
85
30
40
95
20
5
95
40
50
95
85
30
5
65
5
40
65
30
15
80
40
20
75
30
5
20
15
75
10
95
15
65
30
40
65
15
5
75
20
20
40
5
10
30
65
30
40
75
5
95
50
10
95
55
50
20
5
95
75
85
95
20
50
80
55
65
30
5
65
85
40
30
5
30
65
55
30
80
30
55
80
55
30
40
5
5
95
55
95
80
30
50
50
80
10
40
10
5
40
95
30
95
30
5
65
30
95
15
95
40
5
5
55
5
85
5
65
50
80
40
75
95
15
75
20
80
55
30
55
55
80
10
40
5
20
85
75


















































































































































5
55
55
80
50
15
55
80
5
95
55
10
75
30
55
95
75
85
5
50
30
5
10
80
55
5
15
80
5
30
15
30
50
30
85
50
55
5
30
50
65
40
10
50
65
10
15
40
65
50
65
55
15
65
65
50
95
40
50
5
15
15
40
5
75
55
65
65
10
20
30
50
80
80
85
95
65
80
65
30
75
50
95
50
65
15
95
55
15
80
75
95
65
80
5
30
75
15
65
15
65
5
80
65
95
55
40
50
50
15
65
5
55
65
15
80
75
30
