EMOT_SELF_C
49.0
58.0
32.0
32.0
45.0
70.0
62.0
45.0
45.0
36.0
32.0
36.0
45.0
58.0
45.0
36.0
41.0
45.0
32.0
32.0
41.0
53.0
32.0
36.0
62.0
66.0
41.0
45.0
49.0
41.0
49.0
58.0
32.0
32.0
58.0
32.0
66.0
36.0
41.0
53.0
36.0
41.0
41.0
36.0
32.0
41.0
58.0
41.0
45.0
41.0
41.0
53.0
41.0
49.0
32.0
32.0
58.0
58.0
66.0
32.0
41.0
45.0
58.0
49.0
66.0
32.0
32.0
36.0
45.0
32.0
45.0
53.0
66.0
41.0
36.0
32.0
66.0
36.0
32.0
41.0
53.0
49.0
45.0
36.0
36.0
53.0
66.0
36.0
45.0
49.0
36.0
36.0
41.0
58.0
53.0
41.0
36.0
32.0
92.0
58.0
53.0
49.0
49.0
66.0
53.0
32.0
32.0
36.0
41.0
66.0
41.0
32.0
32.0
45.0
41.0
62.0
45.0
36.0
79.0
41.0
45.0
49.0
45.0
32.0
45.0
58.0
32.0
32.0
49.0
41.0
49.0
41.0
41.0
41.0
49.0
49.0
49.0
41.0
36.0
41.0
53.0
32.0
58.0
62.0
45.0
32.0
66.0
62.0
36.0
45.0
32.0
32.0
45.0
32.0
83.0
58.0
41.0
53.0
41.0
32.0
32.0
53.0
32.0
36.0
41.0
32.0
36.0
32.0
36.0
36.0
36.0
36.0
32.0
45.0
41.0
41.0
53.0
32.0
58.0
36.0
41.0
53.0
45.0
32.0
45.0
53.0
36.0
41.0
32.0
36.0
45.0
41.0
41.0
41.0
53.0
36.0
58.0
36.0
41.0
58.0
32.0
32.0
32.0
32.0
58.0
58.0
36.0
45.0
41.0
36.0
36.0
45.0
41.0
66.0
41.0
49.0
45.0
53.0
45.0
32.0
58.0
41.0
49.0
49.0
75.0
36.0
79.0
49.0
32.0
41.0
32.0
83.0
66.0
32.0
36.0
58.0
49.0
36.0
49.0
62.0
58.0
41.0
45.0
32.0
58.0
41.0
36.0
36.0
49.0
45.0
45.0
49.0
45.0
41.0
58.0
41.0
45.0
36.0
66.0
41.0
36.0
36.0
49.0
58.0
32.0
32.0
49.0
45.0
45.0
96.0
49.0
41.0
32.0
41.0
58.0
32.0
41.0
36.0
32.0
49.0
66.0
32.0
45.0
66.0
36.0
41.0
32.0
36.0
53.0
32.0
53.0
41.0
36.0
45.0
36.0
32.0
32.0
49.0
41.0
45.0
32.0
49.0
41.0
45.0
41.0
32.0
36.0
32.0
41.0
79.0
41.0
32.0
71.0
41.0
32.0
41.0
41.0
32.0
62.0
49.0
62.0
36.0
41.0
32.0
83.0
36.0
58.0
45.0
41.0
49.0
41.0
41.0
32.0
36.0
53.0
45.0
45.0
32.0
32.0
32.0
36.0
45.0
45.0
32.0
41.0
45.0
53.0
45.0
36.0
45.0
49.0
36.0
53.0
49.0
71.0
70.0
45.0
32.0
53.0
66.0
32.0
45.0
62.0
62.0
49.0
70.0
36.0
45.0
36.0
32.0
36.0
45.0
32.0
58.0
96.0
45.0
41.0
53.0
41.0
32.0
45.0
41.0
41.0
45.0
75.0
36.0
83.0
45.0
45.0
32.0
58.0
32.0
32.0
32.0
62.0
32.0
32.0
32.0
32.0
41.0
32.0
66.0
79.0
45.0
58.0
49.0
53.0
53.0
36.0
58.0
49.0
45.0
36.0
45.0
53.0
45.0
45.0
41.0
41.0
45.0
32.0
62.0
45.0
49.0
32.0
41.0
58.0
75.0
41.0
32.0
71.0
53.0
36.0
36.0
32.0
45.0
49.0
41.0
45.0
41.0
36.0
32.0
49.0
45.0
45.0
66.0
36.0
49.0
58.0
45.0
36.0
41.0
66.0
36.0
41.0
41.0
36.0
58.0
53.0
41.0
71.0
32.0
66.0
41.0
32.0
41.0
36.0
36.0
36.0
32.0
45.0
36.0
32.0
36.0
49.0
32.0
41.0
45.0
49.0
49.0
58.0
36.0
53.0
32.0
53.0
36.0
41.0
36.0
53.0
53.0
32.0
32.0
58.0
41.0
36.0
58.0
49.0
53.0
62.0
41.0
36.0
36.0
32.0
49.0
45.0
58.0
45.0
45.0
53.0
41.0
49.0
49.0
58.0
53.0
36.0
41.0
32.0
32.0
62.0
45.0
49.0
36.0
36.0
45.0
53.0
36.0
45.0
36.0
45.0
58.0
36.0
36.0
41.0
79.0
45.0
49.0
49.0
58.0
36.0
41.0
45.0
41.0
32.0
36.0
36.0
45.0
58.0
49.0
36.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
