variable_name,loss_train,loss_test,loss_validate,train_corr,test_corr,validate_corr 
SUICIDE,nan,nan,nan,nan,nan,nan
IQ,nan,nan,nan,nan,nan,nan
AMBIG,nan,nan,nan,nan,nan,nan
EGODYST,nan,nan,nan,nan,nan,nan
AUTISM,nan,nan,nan,nan,nan,nan
IDENTITY,38.40931221325415,38.45486195882162,39.27334389319787,0.6973590401638607,0.5817319195391285,0.7652780570835075
SELFDIR,nan,nan,nan,nan,nan,nan
EMPATHY,31.540263336853176,31.593350055170994,31.497154822716347,0.7387031883276435,0.739636545439294,0.8510873360390314
INTIMACY,nan,nan,nan,nan,nan,nan
ACUTE,nan,nan,nan,nan,nan,nan
CHRONIC,9.960435592036662,10.286692422096317,9.763910172660395,0.6737279865262653,0.7286986356757069,0.5740658770039628
TRAUMA_PAST,41.70539964374743,41.355886094113615,41.71176250775655,0.72641967218375,0.6425011759577509,0.8499572832803338
TRAUMA_PRESENT,nan,nan,nan,nan,nan,nan
HOPE,nan,nan,nan,nan,nan,nan
SELFAFFICACY,nan,nan,nan,nan,nan,nan
SELFESTEEM,nan,nan,nan,nan,nan,nan
WELLBEING,15.565109516565617,16.05172170125521,16.039869614367216,0.6268024499620093,0.7032106792316547,0.628474907281864
HYPER,nan,nan,nan,nan,nan,nan
AGGR,nan,nan,nan,nan,nan,nan
COND_PR,nan,nan,nan,nan,nan,nan
ANXIE,nan,nan,nan,nan,nan,nan
DEPR,14.475200130493697,14.62059633019851,15.853641296127307,0.5562495691678133,0.5335209571657132,0.572412342546626
SOMAT,nan,nan,nan,nan,nan,nan
ATYPI,38.27332911719227,37.6645364933446,36.64955428865035,0.5893030412148816,0.6725822374813788,0.5702185904180569
WITHD,10.797736191803882,9.384104642001065,9.22530025135387,0.6205559444712628,0.6167049553410753,0.6829236943369044
ATTE_PR,nan,nan,nan,nan,nan,nan
ANG_CONT,nan,nan,nan,nan,nan,nan
DEV_SOC_DIS,nan,nan,nan,nan,nan,nan
BULLY,nan,nan,nan,nan,nan,nan
EMOT_SELF_C,7.9016040984481775,7.725299488414418,9.133788230202414,0.5862519074927264,0.538796783884262,0.6809623130070083
EXE_FUN,6.331226322808407,6.784966070001776,5.939909362792969,0.5385361037413284,0.6854923174205205,0.48868689771581836
MANIA,nan,nan,nan,nan,nan,nan
NEG_EMOT,nan,nan,nan,nan,nan,nan
ADAPT,nan,nan,nan,nan,nan,nan
SOC_SK,nan,nan,nan,nan,nan,nan
LEAD,19.32449059305941,19.33328416790785,19.855919538313298,0.609850411353308,0.5566297621533408,0.6395045431115272
ACT_DAIL,8.894596001471049,9.388684983686968,10.402677928918944,0.5953979024692359,0.5824397632937275,0.4730174621767522
FUN_COM,nan,nan,nan,nan,nan,nan
RESILI,9.325998645165516,9.270665220780806,7.864228474010121,0.5698409605120789,0.5870143491630266,0.7874901918045537
ANHEDONIA,31.617787219010868,31.689229818490837,32.230601256748415,0.6433305495580252,0.7769402206651347,0.6368635750192495
ANXIOUSNESS,5.860605445618813,5.712850802219831,5.676328949208529,0.7140476000147933,0.7120918473437028,0.6827871227034645
ATTENTION_SEEKING,nan,nan,nan,nan,nan,nan
CALLOUSNESS,25.183002118880932,25.6997212263254,25.177362513992023,0.6422889022324754,0.6134958944853601,0.7370214305774865
DECEITFULNESS,nan,nan,nan,nan,nan,nan
DEPRESSIVITY,111.63952512007494,111.68475752610426,111.32220358218787,0.5170999990006958,0.5285220971526903,0.6032922076165822
DISTRACTIBILITY,31.90469342011672,31.65729808807373,32.087228019282506,0.6553997085298415,0.6043644324737004,0.629673524224512
ECCENTRICITY,5.71135983563279,6.28797893340771,6.04931311337453,0.6695336911614199,0.7039568484623867,0.6708877807985236
EMOTIONAL_LABILITY,nan,nan,nan,nan,nan,nan
GRANDIOSITY,21.62960660457611,21.569242367377647,21.222802252139687,0.7412942606009606,0.7803875042591766,0.7177068687399367
HOSTILITY,nan,nan,nan,nan,nan,nan
IMPULSIVITY,15.378909940903004,16.029833977039043,15.793632237416393,0.607469421703579,0.6576200446232694,0.6620073589968664
INTIMACY_AVOIDANCE,35.59591207137475,35.05967730742235,35.72349951402197,0.699514897426187,0.7322654071686939,0.6702556574640179
IRRESPONSIBILITY,14.139442039223818,15.165039209219126,14.40717808705456,0.6597204681354121,0.6849281250983088,0.7477632338919344
MANIPULATIVENESS,nan,nan,nan,nan,nan,nan
PERCEPTUAL_DYSREGULATION,nan,nan,nan,nan,nan,nan
PERSEVERATION,14.534503498902687,14.777643313774696,14.387115622466466,0.6109876010652554,0.5539079866045997,0.7156191347309669
RESTRICTED_AFFECTIVITY,26.40821059850546,26.143168449401855,26.9126721148221,0.6651506871705005,0.5935492841650453,0.6175541780996392
RIGID_PERFECTIONISM,34.19563615322113,33.69311637144823,34.45777360448297,0.6169353404443061,0.6202263642219703,0.693341929372335
RISK_TAKING,nan,nan,nan,nan,nan,nan
SEPARATION_INSECURITY,38.96708185856159,39.20240284846379,38.77480762409714,0.7012653440626414,0.7350648418818825,0.72980425035182
SUBMISSIVENESS,11.55278094112873,11.509067975557768,11.110617493683437,0.6964799334123892,0.542247487109468,0.632674510715045
SUSPICIOUSNESS,49.63756050513341,49.57103677896353,49.80088986090894,0.6265341559093967,0.6219127344378659,0.5859590786933598
UNUSUAL_BELIEFS,nan,nan,nan,nan,nan,nan
WITHDRAWAL,nan,nan,nan,nan,nan,nan
ACT,30.47840779622396,30.357247783291726,28.409750676924183,0.6740494172380759,0.6787464654983475,0.5610590969529459
DSP,nan,nan,nan,nan,nan,nan
