UND
15.0
90.0
50.0
20.0
85.0
85.0
70.0
50.0
5.0
10.0
15.0
70.0
30.0
5.0
5.0
15.0
5.0
10.0
15.0
5.0
30.0
75.0
20.0
30.0
30.0
100.0
5.0
75.0
50.0
15.0
5.0
95.0
5.0
5.0
35.0
5.0
100.0
90.0
15.0
85.0
5.0
70.0
15.0
5.0
70.0
100.0
75.0
85.0
5.0
85.0
100.0
95.0
70.0
35.0
85.0
30.0
50.0
70.0
30.0
10.0
15.0
95.0
95.0
75.0
70.0
95.0
5.0
20.0
70.0
30.0
85.0
85.0
70.0
15.0
5.0
30.0
70.0
70.0
100.0
75.0
85.0
5.0
30.0
30.0
15.0
90.0
70.0
85.0
10.0
70.0
10.0
75.0
75.0
5.0
35.0
5.0
90.0
100.0
100.0
75.0
100.0
5.0
95.0
95.0
70.0
100.0
5.0
20.0
5.0
5.0
70.0
100.0
50.0
50.0
50.0
5.0
100.0
10.0
90.0
95.0
30.0
15.0
70.0
5.0
15.0
50.0
60.0
20.0
60.0
20.0
5.0
15.0
10.0
5.0
60.0
100.0
75.0
15.0
85.0
30.0
50.0
30.0
100.0
5.0
5.0
5.0
30.0
100.0
95.0
85.0
15.0
75.0
60.0
15.0
85.0
85.0
85.0
75.0
95.0
70.0
85.0
95.0
30.0
5.0
70.0
50.0
85.0
20.0
5.0
70.0
30.0
35.0
50.0
10.0
5.0
20.0
15.0
10.0
5.0
30.0
70.0
30.0
5.0
5.0
15.0
60.0
85.0
5.0
15.0
60.0
50.0
10.0
60.0
20.0
70.0
50.0
85.0
5.0
15.0
100.0
35.0
30.0
70.0
35.0
100.0
20.0
30.0
15.0
85.0
85.0
75.0
5.0
85.0
60.0
100.0
60.0
95.0
30.0
70.0
60.0
60.0
50.0
85.0
15.0
5.0
15.0
15.0
60.0
30.0
5.0
60.0
15.0
5.0
85.0
85.0
85.0
60.0
15.0
95.0
15.0
15.0
30.0
50.0
35.0
35.0
30.0
10.0
50.0
5.0
20.0
5.0
95.0
85.0
70.0
95.0
85.0
20.0
15.0
30.0
15.0
5.0
30.0
30.0
75.0
30.0
85.0
100.0
50.0
5.0
100.0
50.0
10.0
85.0
70.0
20.0
100.0
85.0
50.0
85.0
95.0
30.0
70.0
75.0
85.0
50.0
95.0
30.0
50.0
85.0
30.0
5.0
50.0
60.0
50.0
95.0
100.0
5.0
85.0
60.0
60.0
50.0
35.0
30.0
100.0
100.0
20.0
70.0
85.0
50.0
95.0
5.0
30.0
5.0
60.0
10.0
75.0
85.0
70.0
100.0
85.0
5.0
50.0
5.0
15.0
100.0
100.0
95.0
30.0
70.0
85.0
10.0
35.0
100.0
15.0
90.0
90.0
35.0
30.0
5.0
5.0
60.0
95.0
35.0
95.0
5.0
5.0
100.0
60.0
70.0
70.0
15.0
85.0
100.0
85.0
100.0
85.0
50.0
75.0
50.0
30.0
85.0
50.0
5.0
70.0
70.0
100.0
30.0
90.0
5.0
30.0
5.0
100.0
30.0
15.0
100.0
10.0
20.0
15.0
60.0
50.0
70.0
50.0
30.0
95.0
95.0
70.0
20.0
100.0
35.0
70.0
75.0
90.0
85.0
100.0
10.0
85.0
60.0
35.0
15.0
30.0
60.0
100.0
100.0
70.0
70.0
50.0
85.0
50.0
""
20.0
""
50.0
""
""
70.0
50.0
30.0
85.0
50.0
5.0
""
20.0
""
85.0
30.0
""
90.0
70.0
""
30.0
30.0
""
""
""
60.0
""
""
20.0
20.0
""
""
85.0
15.0
50.0
20.0
20.0
85.0
30.0
95.0
60.0
15.0
70.0
""
""
50.0
""
50.0
""
70.0
20.0
70.0
""
50.0
""
50.0
15.0
""
30.0
60.0
50.0
""
""
20.0
60.0
5.0
30.0
""
70.0
70.0
""
""
15.0
60.0
85.0
50.0
20.0
50.0
15.0
60.0
70.0
30.0
95.0
85.0
30.0
30.0
""
""
30.0
20.0
70.0
""
""
""
""
""
60.0
70.0
15.0
95.0
60.0
85.0
30.0
""
85.0
20.0
""
5.0
""
50.0
50.0
50.0
60.0
""
50.0
20.0
30.0
20.0
""
30.0
""
70.0
""
30.0
30.0
""
70.0
90.0
95.0
50.0
""
95.0
""
100.0
""
70.0
5.0
""
""
""
70.0
85.0
50.0
30.0
20.0
15.0
85.0
50.0
30.0
15.0
90.0
85.0
90.0
50.0
30.0
50.0
60.0
60.0
50.0
85.0
30.0
15.0
30.0
90.0
35.0
15.0
30.0
85.0
30.0
70.0
70.0
60.0
60.0
50.0
30.0
70.0
85.0
35.0
50.0
50.0
60.0
35.0
20.0
75.0
85.0
70.0
60.0
10.0
50.0
50.0
75.0
70.0
30.0
20.0
50.0
70.0
85.0
85.0
70.0
20.0
70.0
70.0
30.0
60.0
50.0
15.0
70.0
100.0
30.0
50.0
50.0
30.0
90.0
30.0
70.0
10.0
50.0
30.0
90.0
30.0
70.0
70.0
90.0
70.0
85.0
10.0
20.0
70.0
70.0
50.0
5.0
100.0
50.0
15.0
20.0
50.0
60.0
90.0
50.0
20.0
15.0
30.0
50.0
30.0
100.0
30.0
95.0
60.0
5.0
20.0
75.0
5.0
85.0
35.0
70.0
50.0
50.0
30.0
