FAN
15.0
90.0
75.0
35.0
45.0
90.0
90.0
15.0
45.0
5.0
50.0
75.0
45.0
15.0
5.0
60.0
5.0
5.0
5.0
45.0
75.0
90.0
65.0
90.0
75.0
95.0
5.0
65.0
100.0
60.0
35.0
95.0
5.0
5.0
95.0
35.0
100.0
80.0
45.0
100.0
30.0
80.0
50.0
45.0
50.0
100.0
15.0
95.0
5.0
100.0
90.0
95.0
45.0
75.0
75.0
20.0
65.0
75.0
75.0
5.0
75.0
50.0
90.0
80.0
90.0
90.0
5.0
60.0
50.0
30.0
90.0
90.0
80.0
30.0
15.0
90.0
45.0
100.0
100.0
75.0
80.0
50.0
15.0
60.0
5.0
100.0
95.0
90.0
20.0
75.0
45.0
5.0
90.0
15.0
50.0
80.0
90.0
95.0
100.0
65.0
90.0
35.0
60.0
90.0
60.0
100.0
30.0
60.0
15.0
20.0
90.0
45.0
5.0
65.0
65.0
50.0
100.0
50.0
95.0
100.0
90.0
80.0
45.0
5.0
5.0
100.0
45.0
65.0
45.0
15.0
35.0
90.0
20.0
35.0
65.0
45.0
65.0
30.0
65.0
75.0
65.0
45.0
90.0
5.0
5.0
50.0
30.0
100.0
100.0
100.0
30.0
95.0
75.0
90.0
75.0
100.0
95.0
90.0
100.0
60.0
45.0
100.0
5.0
5.0
100.0
15.0
60.0
45.0
45.0
95.0
30.0
80.0
90.0
20.0
35.0
90.0
45.0
45.0
15.0
60.0
80.0
60.0
35.0
45.0
60.0
75.0
100.0
50.0
45.0
50.0
75.0
5.0
80.0
90.0
75.0
45.0
75.0
30.0
60.0
100.0
80.0
90.0
80.0
75.0
100.0
30.0
5.0
15.0
80.0
90.0
35.0
35.0
45.0
95.0
90.0
95.0
75.0
80.0
90.0
35.0
80.0
45.0
35.0
80.0
5.0
30.0
100.0
50.0
65.0
5.0
5.0
15.0
60.0
90.0
50.0
80.0
75.0
60.0
90.0
15.0
45.0
50.0
60.0
35.0
60.0
50.0
60.0
50.0
5.0
5.0
75.0
100.0
30.0
60.0
90.0
90.0
45.0
15.0
5.0
45.0
5.0
45.0
20.0
90.0
80.0
100.0
90.0
45.0
75.0
100.0
65.0
30.0
45.0
75.0
30.0
100.0
100.0
60.0
90.0
90.0
45.0
15.0
60.0
80.0
50.0
95.0
45.0
5.0
90.0
65.0
65.0
50.0
35.0
75.0
80.0
100.0
30.0
60.0
45.0
60.0
45.0
75.0
75.0
100.0
65.0
45.0
90.0
100.0
90.0
100.0
80.0
5.0
60.0
30.0
15.0
95.0
60.0
50.0
90.0
90.0
60.0
45.0
35.0
90.0
100.0
75.0
60.0
45.0
15.0
100.0
35.0
75.0
100.0
5.0
90.0
95.0
95.0
45.0
60.0
75.0
30.0
90.0
30.0
100.0
5.0
90.0
90.0
90.0
75.0
90.0
75.0
30.0
15.0
75.0
100.0
90.0
60.0
95.0
50.0
60.0
45.0
80.0
60.0
30.0
75.0
100.0
60.0
50.0
5.0
100.0
60.0
100.0
65.0
15.0
100.0
5.0
60.0
45.0
45.0
45.0
100.0
60.0
95.0
80.0
95.0
75.0
45.0
90.0
80.0
80.0
45.0
50.0
80.0
90.0
100.0
60.0
90.0
20.0
45.0
80.0
60.0
100.0
95.0
60.0
60.0
60.0
60.0
90.0
""
45.0
""
35.0
""
""
35.0
90.0
45.0
65.0
15.0
35.0
""
30.0
""
75.0
30.0
""
45.0
5.0
""
30.0
75.0
""
""
""
45.0
""
""
65.0
45.0
""
""
95.0
65.0
65.0
65.0
35.0
60.0
65.0
90.0
65.0
5.0
30.0
""
""
5.0
""
35.0
""
35.0
35.0
30.0
""
75.0
""
30.0
30.0
""
60.0
60.0
15.0
""
""
30.0
75.0
5.0
30.0
""
30.0
90.0
""
""
45.0
45.0
5.0
15.0
15.0
45.0
15.0
90.0
75.0
65.0
90.0
90.0
15.0
35.0
""
""
35.0
30.0
75.0
""
""
""
""
""
60.0
60.0
15.0
100.0
45.0
90.0
60.0
""
60.0
15.0
""
35.0
""
30.0
30.0
60.0
75.0
""
35.0
35.0
45.0
60.0
""
90.0
""
45.0
""
15.0
60.0
""
75.0
90.0
75.0
65.0
""
75.0
""
15.0
""
30.0
60.0
""
""
""
45.0
30.0
75.0
90.0
35.0
20.0
95.0
60.0
100.0
90.0
90.0
30.0
90.0
60.0
95.0
45.0
90.0
60.0
95.0
90.0
15.0
5.0
45.0
95.0
45.0
5.0
45.0
45.0
35.0
65.0
35.0
35.0
80.0
90.0
5.0
30.0
90.0
50.0
15.0
90.0
100.0
5.0
75.0
80.0
60.0
50.0
15.0
5.0
60.0
30.0
50.0
5.0
30.0
30.0
75.0
90.0
45.0
45.0
80.0
15.0
60.0
90.0
45.0
45.0
65.0
60.0
80.0
90.0
80.0
45.0
45.0
80.0
65.0
60.0
35.0
50.0
65.0
5.0
95.0
60.0
5.0
50.0
90.0
35.0
60.0
30.0
95.0
100.0
75.0
45.0
100.0
90.0
30.0
5.0
100.0
90.0
50.0
100.0
50.0
30.0
15.0
75.0
45.0
80.0
30.0
75.0
100.0
95.0
5.0
45.0
100.0
30.0
30.0
80.0
50.0
60.0
60.0
75.0
