ALT
65
30
95
10
95
50
40
70
95
35
50
45
15
45
5
75
25
90
20
90
20
60
45
95
15
55
40
50
15
55
40
90
95
10
50
75
70
90
35
10
55
45
40
40
65
85
75
75
5
45
90
50
55
40
90
60
35
30
80
30
50
75
60
80
50
45
5
5
30
95
55
55
45
45
80
70
45
90
95
80
40
70
95
25
60
50
55
85
90
45
80
95
95
5
55
95
80
80
95
40
90
90
70
50
65
95
65
45
5
5
45
95
90
30
50
45
90
60
30
90
55
15
5
60
90
90
40
95
90
90
65
75
20
90
65
95
80
70
75
60
80
35
95
30
5
80
45
70
85
95
60
80
55
90
55
95
50
65
75
90
80
75
95
60
80
55
75
85
90
65
65
45
45
85
45
30
60
65
55
90
80
35
95
30
95
55
55
90
50
30
55
60
60
60
40
90
55
15
90
65
30
90
70
95
95
15
75
45
90
60
95
50
60
30
70
80
60
40
65
65
80
75
65
25
50
5
30
70
65
45
65
5
55
95
95
80
85
60
75
50
40
55
60
65
30
10
90
80
65
95
90
65
90
55
90
90
35
45
40
80
55
90
90
50
25
95
90
25
5
95
45
80
95
90
30
95
90
75
95
65
65
80
45
60
55
95
60
40
55
20
90
70
40
45
80
95
50
65
95
40
85
10
65
95
70
80
40
95
55
60
35
90
45
40
25
60
35
45
95
55
60
30
55
60
50
90
95
25
30
70
95
70
95
90
50
60
45
95
45
65
95
90
45
40
90
80
95
80
40
65
75
30
95
75
95
55
60
85
90
55
45
80
15
20
45
90
60
70
65
95
90
95
95
5
95
65
85
70
55
75
95
70
30
85
65
15
30
95
50
85
45
95
40
95
55
35
40
40
90
30
40
85
60
70
25
15
20
45

40

45


60
25
25
80
10
20

5

30
30

70
60

60
40



60


80
80


90
80
40
50
10
45
80
70
40
80
15


50

45

80
90
25

45

45
95

30
60
60


5
45
90
90

20
70


25
50
60
95
10
40
45
30
20
20
80
70
40
90


70
40
90





90
15
5
90
25
50
15

50
25

70

50
50
50
20

40
10
30
50

45

70

20
80

40
95
90
50

70

60

10
80



70
80
80
95
60
15
45
50
85
10
70
5
60
45
55
85
45
70
5
60
85
15
30
90
95
30
15
90
80
50
45
85
70
5
60
40
75
5
45
90
85
70
90
90
80
45
90
55
30
45
70
45
40
55
50
60
60
90
40
85
55
45
50
80
65
50
45
90
80
5
55
95
75
80
40
90
80
80
70
60
95
90
70
50
90
25
65
75
90
30
75
70
90
75
5
50
40
90
50
35
60
50
80
65
90
90
80
45
30
40
90
40
80
40
40
15
55
50
