OMN
10.0
85.0
60.0
10.0
20.0
85.0
65.0
60.0
20.0
5.0
10.0
60.0
40.0
40.0
5.0
20.0
20.0
5.0
25.0
25.0
25.0
60.0
45.0
40.0
60.0
95.0
20.0
100.0
60.0
60.0
40.0
95.0
5.0
5.0
10.0
10.0
85.0
10.0
10.0
45.0
5.0
20.0
45.0
10.0
80.0
95.0
60.0
95.0
5.0
95.0
95.0
60.0
40.0
40.0
10.0
20.0
25.0
20.0
65.0
40.0
20.0
80.0
95.0
65.0
80.0
60.0
5.0
25.0
60.0
80.0
40.0
85.0
60.0
20.0
25.0
20.0
65.0
20.0
100.0
25.0
60.0
40.0
20.0
20.0
5.0
60.0
95.0
40.0
40.0
80.0
80.0
65.0
80.0
5.0
5.0
5.0
40.0
95.0
100.0
60.0
65.0
20.0
40.0
100.0
85.0
80.0
10.0
40.0
5.0
5.0
65.0
60.0
45.0
45.0
65.0
45.0
100.0
10.0
45.0
80.0
10.0
80.0
20.0
80.0
80.0
40.0
60.0
45.0
40.0
20.0
10.0
20.0
85.0
60.0
65.0
40.0
65.0
20.0
65.0
40.0
45.0
40.0
80.0
10.0
5.0
80.0
100.0
95.0
95.0
80.0
20.0
5.0
95.0
25.0
95.0
20.0
95.0
10.0
25.0
95.0
80.0
95.0
5.0
10.0
20.0
5.0
40.0
100.0
5.0
10.0
40.0
85.0
20.0
20.0
5.0
20.0
20.0
10.0
10.0
40.0
95.0
25.0
5.0
65.0
40.0
60.0
65.0
10.0
5.0
5.0
45.0
10.0
65.0
5.0
40.0
60.0
45.0
5.0
40.0
100.0
65.0
5.0
20.0
20.0
5.0
40.0
40.0
5.0
95.0
40.0
80.0
40.0
80.0
100.0
65.0
80.0
60.0
60.0
95.0
5.0
65.0
10.0
60.0
10.0
5.0
10.0
95.0
10.0
40.0
5.0
95.0
10.0
40.0
80.0
80.0
65.0
60.0
20.0
95.0
45.0
60.0
40.0
40.0
20.0
20.0
20.0
20.0
60.0
5.0
10.0
60.0
100.0
65.0
20.0
25.0
25.0
20.0
25.0
80.0
40.0
40.0
10.0
20.0
25.0
25.0
80.0
95.0
40.0
40.0
80.0
25.0
10.0
80.0
10.0
60.0
80.0
60.0
60.0
80.0
85.0
20.0
20.0
60.0
60.0
20.0
40.0
60.0
40.0
80.0
10.0
5.0
10.0
10.0
60.0
25.0
100.0
20.0
40.0
45.0
60.0
40.0
65.0
25.0
20.0
65.0
20.0
60.0
100.0
20.0
65.0
80.0
20.0
20.0
40.0
25.0
80.0
80.0
40.0
95.0
60.0
80.0
45.0
5.0
80.0
80.0
100.0
100.0
25.0
20.0
95.0
80.0
80.0
80.0
45.0
65.0
95.0
40.0
80.0
5.0
5.0
80.0
60.0
20.0
95.0
20.0
40.0
45.0
40.0
40.0
65.0
60.0
45.0
10.0
25.0
80.0
80.0
25.0
60.0
40.0
60.0
25.0
100.0
40.0
40.0
40.0
80.0
65.0
60.0
10.0
80.0
25.0
100.0
40.0
5.0
100.0
20.0
20.0
10.0
60.0
20.0
20.0
40.0
40.0
80.0
95.0
10.0
60.0
80.0
40.0
80.0
60.0
20.0
80.0
80.0
60.0
40.0
95.0
95.0
60.0
20.0
65.0
100.0
85.0
95.0
85.0
80.0
60.0
10.0
""
60.0
""
10.0
""
""
60.0
80.0
40.0
45.0
60.0
60.0
""
45.0
""
60.0
20.0
""
80.0
80.0
""
60.0
20.0
""
""
""
45.0
""
""
40.0
40.0
""
""
10.0
60.0
10.0
60.0
10.0
95.0
40.0
95.0
20.0
10.0
80.0
""
""
60.0
""
60.0
""
60.0
95.0
60.0
""
20.0
""
60.0
45.0
""
20.0
45.0
80.0
""
""
20.0
80.0
40.0
60.0
""
45.0
60.0
""
""
80.0
60.0
45.0
80.0
10.0
80.0
40.0
40.0
80.0
10.0
85.0
80.0
60.0
85.0
""
""
80.0
60.0
80.0
""
""
""
""
""
45.0
85.0
60.0
45.0
80.0
100.0
85.0
""
60.0
45.0
""
5.0
""
95.0
45.0
45.0
80.0
""
20.0
10.0
10.0
20.0
""
40.0
""
10.0
""
20.0
85.0
""
40.0
95.0
80.0
40.0
""
60.0
""
100.0
""
40.0
95.0
""
""
""
80.0
40.0
45.0
60.0
40.0
20.0
40.0
80.0
95.0
25.0
40.0
20.0
100.0
45.0
65.0
100.0
95.0
85.0
5.0
60.0
45.0
25.0
40.0
60.0
40.0
10.0
65.0
65.0
10.0
40.0
45.0
20.0
40.0
40.0
20.0
60.0
80.0
95.0
45.0
80.0
5.0
95.0
80.0
95.0
65.0
60.0
100.0
45.0
60.0
45.0
95.0
95.0
10.0
60.0
100.0
85.0
45.0
60.0
80.0
40.0
10.0
40.0
60.0
65.0
60.0
60.0
65.0
100.0
80.0
60.0
95.0
65.0
95.0
95.0
95.0
85.0
45.0
40.0
65.0
45.0
20.0
60.0
40.0
65.0
60.0
10.0
40.0
60.0
80.0
60.0
95.0
60.0
40.0
40.0
10.0
80.0
95.0
95.0
40.0
45.0
65.0
60.0
60.0
95.0
100.0
95.0
60.0
80.0
60.0
95.0
20.0
5.0
80.0
95.0
40.0
80.0
85.0
25.0
