SUB
45.0
65.0
100.0
20.0
25.0
85.0
80.0
45.0
65.0
15.0
20.0
65.0
45.0
25.0
5.0
80.0
35.0
25.0
25.0
25.0
65.0
45.0
70.0
25.0
15.0
100.0
25.0
65.0
35.0
35.0
25.0
100.0
25.0
5.0
25.0
65.0
100.0
100.0
15.0
65.0
25.0
65.0
90.0
80.0
80.0
70.0
45.0
90.0
20.0
90.0
100.0
80.0
65.0
65.0
100.0
65.0
65.0
45.0
25.0
80.0
50.0
65.0
80.0
65.0
65.0
90.0
5.0
15.0
85.0
90.0
45.0
50.0
80.0
50.0
50.0
100.0
80.0
90.0
95.0
25.0
80.0
50.0
80.0
15.0
10.0
95.0
65.0
70.0
65.0
70.0
65.0
80.0
100.0
15.0
45.0
90.0
90.0
90.0
100.0
50.0
100.0
35.0
80.0
100.0
80.0
100.0
5.0
25.0
10.0
10.0
80.0
90.0
25.0
50.0
85.0
45.0
95.0
50.0
90.0
85.0
70.0
45.0
80.0
25.0
25.0
90.0
50.0
95.0
70.0
70.0
80.0
85.0
45.0
80.0
70.0
65.0
80.0
10.0
100.0
45.0
90.0
65.0
100.0
35.0
5.0
5.0
20.0
100.0
95.0
100.0
80.0
100.0
80.0
100.0
90.0
100.0
95.0
65.0
100.0
90.0
100.0
95.0
5.0
25.0
100.0
80.0
80.0
80.0
25.0
90.0
45.0
80.0
25.0
50.0
5.0
65.0
25.0
90.0
45.0
100.0
90.0
65.0
70.0
45.0
85.0
45.0
65.0
50.0
35.0
85.0
65.0
25.0
70.0
65.0
65.0
90.0
85.0
5.0
50.0
100.0
45.0
90.0
65.0
100.0
20.0
45.0
45.0
90.0
100.0
100.0
100.0
35.0
80.0
70.0
85.0
100.0
90.0
50.0
80.0
85.0
50.0
80.0
80.0
45.0
5.0
10.0
35.0
65.0
50.0
20.0
65.0
35.0
80.0
100.0
85.0
80.0
80.0
50.0
85.0
25.0
25.0
80.0
80.0
45.0
15.0
45.0
65.0
50.0
80.0
80.0
70.0
95.0
45.0
80.0
100.0
100.0
65.0
45.0
5.0
80.0
90.0
100.0
50.0
80.0
65.0
100.0
80.0
45.0
25.0
100.0
65.0
5.0
100.0
90.0
25.0
100.0
80.0
80.0
100.0
70.0
65.0
90.0
35.0
80.0
85.0
80.0
45.0
5.0
80.0
65.0
25.0
65.0
50.0
45.0
50.0
100.0
5.0
70.0
45.0
25.0
100.0
45.0
85.0
100.0
65.0
45.0
45.0
100.0
50.0
100.0
65.0
20.0
85.0
65.0
65.0
90.0
50.0
45.0
100.0
70.0
35.0
65.0
45.0
80.0
100.0
100.0
100.0
45.0
25.0
65.0
85.0
70.0
100.0
50.0
90.0
100.0
45.0
80.0
70.0
85.0
65.0
100.0
65.0
90.0
90.0
80.0
85.0
90.0
45.0
70.0
25.0
20.0
95.0
80.0
95.0
95.0
50.0
95.0
90.0
80.0
90.0
15.0
20.0
15.0
80.0
100.0
80.0
100.0
50.0
100.0
80.0
100.0
80.0
10.0
100.0
90.0
10.0
65.0
80.0
20.0
80.0
80.0
80.0
80.0
100.0
45.0
45.0
100.0
50.0
100.0
65.0
70.0
65.0
100.0
80.0
25.0
90.0
25.0
100.0
100.0
65.0
100.0
80.0
50.0
45.0
65.0
45.0
45.0
""
45.0
""
80.0
""
""
80.0
50.0
50.0
65.0
45.0
65.0
""
25.0
""
45.0
20.0
""
65.0
85.0
""
45.0
100.0
""
""
""
50.0
""
""
25.0
20.0
""
""
90.0
45.0
20.0
50.0
50.0
65.0
50.0
65.0
20.0
50.0
85.0
""
""
45.0
""
80.0
""
50.0
45.0
20.0
""
45.0
""
25.0
25.0
""
65.0
45.0
25.0
""
""
25.0
65.0
25.0
85.0
""
100.0
25.0
""
""
65.0
65.0
80.0
15.0
50.0
100.0
65.0
50.0
50.0
45.0
90.0
45.0
65.0
50.0
""
""
20.0
20.0
65.0
""
""
""
""
""
80.0
65.0
45.0
45.0
65.0
85.0
80.0
""
45.0
15.0
""
25.0
""
45.0
80.0
45.0
45.0
""
45.0
20.0
20.0
50.0
""
65.0
""
80.0
""
25.0
85.0
""
65.0
20.0
15.0
50.0
""
80.0
""
65.0
""
85.0
85.0
""
""
""
50.0
90.0
45.0
25.0
45.0
20.0
80.0
90.0
25.0
5.0
95.0
25.0
80.0
45.0
25.0
15.0
25.0
25.0
5.0
70.0
70.0
15.0
35.0
25.0
45.0
45.0
70.0
95.0
80.0
65.0
65.0
65.0
35.0
10.0
70.0
50.0
70.0
35.0
45.0
70.0
50.0
50.0
50.0
90.0
85.0
45.0
90.0
45.0
35.0
50.0
85.0
50.0
80.0
45.0
25.0
35.0
80.0
65.0
70.0
45.0
70.0
70.0
65.0
80.0
45.0
15.0
45.0
90.0
65.0
25.0
80.0
70.0
50.0
65.0
65.0
85.0
45.0
85.0
70.0
80.0
70.0
45.0
45.0
25.0
90.0
65.0
65.0
50.0
15.0
85.0
25.0
80.0
85.0
65.0
65.0
65.0
20.0
85.0
70.0
15.0
25.0
65.0
80.0
95.0
65.0
65.0
80.0
65.0
25.0
45.0
90.0
15.0
50.0
50.0
45.0
15.0
70.0
25.0
