SUP
15.0
55.0
95.0
15.0
100.0
90.0
80.0
55.0
90.0
5.0
80.0
75.0
30.0
55.0
15.0
75.0
10.0
5.0
60.0
75.0
55.0
90.0
75.0
100.0
55.0
95.0
75.0
40.0
60.0
40.0
60.0
100.0
30.0
5.0
5.0
10.0
100.0
100.0
15.0
90.0
55.0
40.0
55.0
30.0
55.0
90.0
15.0
90.0
5.0
95.0
90.0
95.0
30.0
55.0
95.0
55.0
90.0
55.0
5.0
5.0
60.0
95.0
95.0
90.0
75.0
90.0
5.0
40.0
55.0
100.0
90.0
90.0
90.0
30.0
60.0
90.0
90.0
100.0
100.0
90.0
80.0
20.0
90.0
55.0
5.0
100.0
20.0
90.0
75.0
80.0
30.0
100.0
100.0
40.0
95.0
90.0
75.0
100.0
100.0
60.0
90.0
60.0
75.0
90.0
75.0
100.0
55.0
80.0
5.0
5.0
90.0
100.0
90.0
75.0
60.0
15.0
100.0
75.0
100.0
90.0
60.0
15.0
15.0
20.0
90.0
30.0
80.0
100.0
75.0
15.0
5.0
75.0
55.0
90.0
80.0
15.0
90.0
30.0
75.0
55.0
90.0
95.0
75.0
20.0
5.0
100.0
55.0
95.0
100.0
100.0
100.0
95.0
75.0
95.0
90.0
100.0
100.0
15.0
100.0
100.0
100.0
90.0
10.0
20.0
95.0
80.0
75.0
30.0
5.0
90.0
90.0
90.0
55.0
60.0
15.0
80.0
10.0
15.0
20.0
100.0
95.0
60.0
30.0
55.0
30.0
40.0
80.0
90.0
55.0
60.0
55.0
5.0
80.0
15.0
75.0
90.0
55.0
5.0
60.0
100.0
80.0
95.0
40.0
90.0
5.0
30.0
40.0
30.0
95.0
95.0
95.0
100.0
30.0
60.0
95.0
55.0
90.0
75.0
90.0
90.0
55.0
30.0
75.0
15.0
5.0
15.0
5.0
15.0
60.0
15.0
100.0
55.0
10.0
100.0
30.0
80.0
95.0
20.0
95.0
60.0
15.0
90.0
95.0
40.0
15.0
30.0
75.0
90.0
5.0
100.0
60.0
90.0
90.0
55.0
100.0
75.0
15.0
60.0
5.0
15.0
90.0
90.0
15.0
90.0
90.0
100.0
95.0
30.0
30.0
90.0
60.0
20.0
90.0
90.0
15.0
100.0
30.0
55.0
90.0
100.0
5.0
75.0
55.0
90.0
30.0
100.0
80.0
75.0
90.0
15.0
15.0
15.0
60.0
90.0
5.0
100.0
20.0
30.0
60.0
75.0
90.0
55.0
60.0
100.0
30.0
15.0
90.0
100.0
55.0
95.0
60.0
30.0
20.0
40.0
40.0
100.0
90.0
55.0
90.0
75.0
5.0
30.0
20.0
90.0
90.0
100.0
55.0
30.0
60.0
40.0
90.0
55.0
90.0
30.0
95.0
100.0
90.0
100.0
55.0
20.0
80.0
100.0
30.0
95.0
95.0
75.0
90.0
60.0
55.0
95.0
55.0
75.0
80.0
95.0
100.0
95.0
30.0
90.0
100.0
40.0
80.0
60.0
5.0
5.0
75.0
100.0
30.0
40.0
80.0
30.0
80.0
100.0
100.0
55.0
100.0
80.0
75.0
55.0
90.0
75.0
55.0
90.0
15.0
90.0
95.0
55.0
55.0
100.0
15.0
95.0
15.0
95.0
90.0
30.0
75.0
60.0
100.0
75.0
95.0
80.0
55.0
100.0
75.0
90.0
55.0
95.0
90.0
20.0
""
75.0
""
90.0
""
""
60.0
75.0
60.0
55.0
60.0
5.0
""
30.0
""
55.0
90.0
""
5.0
15.0
""
55.0
100.0
""
""
""
60.0
""
""
30.0
55.0
""
""
95.0
75.0
15.0
60.0
60.0
95.0
55.0
90.0
55.0
5.0
60.0
""
""
55.0
""
90.0
""
90.0
95.0
55.0
""
5.0
""
90.0
95.0
""
20.0
90.0
90.0
""
""
90.0
60.0
60.0
60.0
""
60.0
15.0
""
""
90.0
60.0
95.0
55.0
15.0
30.0
5.0
30.0
90.0
55.0
30.0
55.0
60.0
90.0
""
""
55.0
20.0
95.0
""
""
""
""
""
95.0
75.0
20.0
20.0
55.0
90.0
30.0
""
30.0
60.0
""
55.0
""
90.0
90.0
30.0
90.0
""
30.0
20.0
30.0
20.0
""
90.0
""
95.0
""
15.0
15.0
""
55.0
75.0
90.0
55.0
""
90.0
""
75.0
""
15.0
30.0
""
""
""
30.0
55.0
90.0
95.0
90.0
30.0
80.0
20.0
15.0
40.0
55.0
15.0
90.0
40.0
30.0
90.0
75.0
75.0
90.0
80.0
40.0
15.0
55.0
15.0
40.0
60.0
55.0
90.0
55.0
60.0
80.0
10.0
75.0
15.0
5.0
30.0
90.0
5.0
40.0
90.0
15.0
75.0
40.0
75.0
60.0
80.0
20.0
40.0
75.0
75.0
80.0
75.0
55.0
80.0
75.0
55.0
90.0
90.0
90.0
15.0
30.0
40.0
75.0
90.0
40.0
5.0
15.0
100.0
55.0
5.0
75.0
90.0
90.0
100.0
75.0
100.0
30.0
75.0
20.0
75.0
90.0
90.0
90.0
60.0
90.0
5.0
60.0
5.0
95.0
60.0
55.0
100.0
75.0
75.0
5.0
15.0
15.0
95.0
80.0
75.0
55.0
20.0
55.0
15.0
90.0
75.0
15.0
60.0
100.0
40.0
75.0
90.0
60.0
30.0
30.0
30.0
75.0
5.0
