ACT
10.0
80.0
30.0
30.0
85.0
85.0
85.0
50.0
65.0
10.0
40.0
75.0
60.0
40.0
25.0
40.0
5.0
25.0
5.0
15.0
60.0
60.0
50.0
30.0
85.0
85.0
5.0
95.0
85.0
10.0
25.0
60.0
5.0
5.0
95.0
10.0
95.0
5.0
25.0
75.0
25.0
40.0
80.0
50.0
25.0
75.0
25.0
80.0
5.0
85.0
30.0
90.0
25.0
95.0
65.0
30.0
85.0
60.0
95.0
5.0
65.0
5.0
5.0
90.0
90.0
85.0
5.0
25.0
40.0
5.0
75.0
100.0
85.0
10.0
25.0
5.0
50.0
25.0
100.0
10.0
90.0
15.0
75.0
60.0
5.0
85.0
30.0
40.0
65.0
80.0
25.0
5.0
5.0
10.0
60.0
15.0
65.0
5.0
100.0
65.0
65.0
15.0
60.0
80.0
65.0
65.0
10.0
25.0
10.0
10.0
75.0
40.0
5.0
50.0
65.0
100.0
40.0
25.0
85.0
5.0
40.0
60.0
75.0
40.0
10.0
60.0
50.0
50.0
75.0
50.0
60.0
10.0
65.0
10.0
60.0
40.0
90.0
40.0
30.0
25.0
25.0
10.0
100.0
40.0
5.0
5.0
90.0
95.0
90.0
5.0
5.0
5.0
40.0
5.0
85.0
5.0
5.0
95.0
5.0
10.0
5.0
95.0
5.0
5.0
100.0
10.0
60.0
5.0
80.0
40.0
10.0
60.0
10.0
5.0
5.0
5.0
40.0
25.0
75.0
5.0
40.0
60.0
15.0
10.0
80.0
85.0
50.0
25.0
15.0
10.0
85.0
5.0
40.0
80.0
80.0
40.0
85.0
95.0
90.0
65.0
60.0
5.0
40.0
5.0
100.0
85.0
30.0
5.0
40.0
10.0
25.0
5.0
5.0
80.0
60.0
40.0
85.0
80.0
25.0
5.0
50.0
60.0
5.0
60.0
100.0
25.0
95.0
65.0
40.0
40.0
5.0
25.0
60.0
40.0
5.0
85.0
75.0
60.0
85.0
75.0
60.0
15.0
10.0
5.0
50.0
50.0
5.0
60.0
25.0
25.0
60.0
30.0
50.0
25.0
50.0
25.0
80.0
60.0
100.0
50.0
25.0
5.0
40.0
65.0
60.0
40.0
50.0
25.0
30.0
100.0
75.0
30.0
5.0
40.0
90.0
85.0
30.0
5.0
50.0
85.0
95.0
25.0
80.0
80.0
40.0
15.0
40.0
5.0
85.0
65.0
90.0
10.0
5.0
80.0
60.0
5.0
5.0
50.0
60.0
50.0
5.0
75.0
50.0
50.0
40.0
5.0
90.0
5.0
60.0
95.0
25.0
5.0
40.0
10.0
5.0
40.0
95.0
25.0
40.0
75.0
95.0
40.0
25.0
5.0
100.0
95.0
65.0
60.0
5.0
40.0
25.0
25.0
5.0
25.0
90.0
95.0
60.0
5.0
25.0
15.0
30.0
95.0
50.0
95.0
5.0
65.0
60.0
60.0
85.0
75.0
80.0
40.0
50.0
60.0
5.0
95.0
65.0
65.0
10.0
25.0
5.0
5.0
85.0
95.0
60.0
100.0
25.0
5.0
5.0
85.0
10.0
100.0
25.0
10.0
100.0
10.0
95.0
85.0
25.0
40.0
65.0
60.0
75.0
60.0
95.0
60.0
25.0
90.0
65.0
40.0
15.0
25.0
75.0
5.0
75.0
85.0
40.0
5.0
5.0
5.0
60.0
100.0
100.0
30.0
30.0
100.0
75.0
75.0
""
75.0
""
85.0
""
""
75.0
25.0
30.0
10.0
40.0
30.0
""
65.0
""
75.0
5.0
""
75.0
100.0
""
25.0
85.0
""
""
""
30.0
""
""
40.0
30.0
""
""
5.0
60.0
65.0
30.0
40.0
5.0
10.0
30.0
75.0
5.0
75.0
""
""
5.0
""
30.0
""
30.0
65.0
40.0
""
95.0
""
85.0
30.0
""
25.0
30.0
25.0
""
""
25.0
40.0
40.0
60.0
""
5.0
40.0
""
""
10.0
40.0
5.0
30.0
60.0
30.0
5.0
85.0
75.0
25.0
65.0
85.0
10.0
25.0
""
""
60.0
30.0
30.0
""
""
""
""
""
65.0
95.0
5.0
85.0
75.0
25.0
40.0
""
30.0
60.0
""
10.0
""
75.0
5.0
65.0
40.0
""
25.0
30.0
10.0
10.0
""
25.0
""
10.0
""
85.0
40.0
""
60.0
60.0
85.0
65.0
""
75.0
""
65.0
""
40.0
40.0
""
""
""
90.0
25.0
95.0
10.0
25.0
30.0
60.0
25.0
65.0
85.0
60.0
15.0
75.0
50.0
65.0
5.0
60.0
5.0
30.0
80.0
50.0
10.0
75.0
25.0
100.0
60.0
85.0
60.0
60.0
75.0
85.0
75.0
75.0
25.0
5.0
75.0
75.0
90.0
65.0
65.0
95.0
40.0
80.0
15.0
25.0
60.0
30.0
75.0
40.0
80.0
90.0
10.0
15.0
15.0
25.0
75.0
5.0
50.0
85.0
85.0
25.0
95.0
80.0
5.0
50.0
30.0
85.0
80.0
30.0
100.0
65.0
25.0
40.0
40.0
40.0
25.0
30.0
60.0
80.0
40.0
50.0
80.0
50.0
50.0
5.0
65.0
75.0
30.0
95.0
60.0
75.0
10.0
10.0
10.0
80.0
90.0
10.0
95.0
30.0
60.0
50.0
60.0
5.0
25.0
100.0
95.0
85.0
40.0
10.0
5.0
85.0
65.0
80.0
90.0
85.0
60.0
90.0
5.0
