AUTISM
3
18
2
13
8
11
14
2
3
2
3
7
13
2
3
2
4
2
1
1
2
11
1
2
4
5
3
12
15
3
4
8
3

7
1
13
2
3
8
1
3
3
1
3
7
6
4
13
8
9
15
11
2
6
1
11
3
10
4
3
3
17
5
12
12
2
5
7
1
6
16
15
1
1
1
8
1
10

19
2
3
7
2
15
13
3
2
11
9
3
9
11
2
2
2
1
14
10
10
2
14
4
15
3
2
1
18
16
3
5
1
2
4
3
7
1
9
7
1
2
9
2
3
2
1
2
1
3
1
1
9
1
1
16
9
4
1
2
6
4
15
6
2
3
9
14
7
8
1
2
6
2
15
8
14
4
2
4
2
15
4
1
9
6
5
6
8
7
1
2
3
1
1
3
5
4
1
1
5
2
2
5
2
6
4
1
1
2
3
1
1
3
6
1
9
13
1
8
5
1
0
1
8
7
2
0
5
6
3
1
2
10
4
5
10
4
15
2
8
1
8
1
5
1
8
5
1
2
2
19
12
7
6
10
4
1
14
2
3
1
5
2
5
16
3
2
2
5
2
14
4
1
2
2
6
3
10
1
2
3
1
9
2
12
9
1
7
14
5
0
3
3
2
12
8
3
4
3
7
3
8
16
4
2
1
2
14
3
2
2
5
5
1
12
4
6
1
5
1
9
4
3
6
2
1
11
4
12
3
5
1
8
1
2
8
3
3
13
1
9
1
3
15
9
11
14
3
1
1
11
9
2
11
3
3
4
3
3
1
2
2
8
3
3
2
3
1
7
4
2
7
8
11
14
1
1
11
11
3
1
7
9
12
9
2
5
1
13
1
8
5
9
15
1
3
3
2
2
12
2
8
3
19
13
14
8
1
8
14
2
3
2
3
12
8
2
1
2
10
19
16








































































































































































































































































