SOC_SK
42
41
53
16
56
46
41
50
50
42
51
27
30
36
25
46
33
59
42
57
32
63
33
49
37
62
44
52
35
58
30
39
61
68
32
48
49
53
39
47
54
40
36
44
40
57
42
54
66
65
59
45
39
35
55
68
54
35
44
60
58
44
39
44
43
67
54
44
40
72
63
49
43
44
56
68
49
66
41
58
37
53
63
64
52
23
51
59
47
33
58
63
63
42
40
62
54
50
63
37
54
65
51
46
47
58
53
40
21
56
44
55
57
31
50
39
65
50
52
57
51
31
29
36
70
62
46
64
52
46
50
61
37
56
40
51
60
43
57
38
40
49
65
30
50
33
39
57
53
68
63
61
46
62
50
65
52
46
50
51
50
41
63
57
56
40
55
55
40
46
44
46
45
56
41
37
35
49
39
62
60
35
63
39
59
31
60
54
48
51
42
63
56
44
33
54
63
25
52
40
41
68
61
54
57
36
53
49
62
35
65
54
69
50
46
59
49
52
56
51
38
65
56
36
51
39
37
31
51
56
68
45
29
65
60
60
50
40
42
42
41
53
50
64
41
38
54
49
37
54
57
50
71
56
65
69
36
40
20
55
51
58
39
35
46
70
55
46
41
71
31
49
69
58
34
61
56
54
65
42
39
47
37
40
60
63
49
39
38
42
45
55
49
42
50
63
46
43
50
63
65
35
42
58
39
54
48
65
31
51
42
71
46
49
41
50
56
48
44
41
49
33
43
58
63
60
51
32
40
44
65
39
70
56
50
46
39
65
41
46
67
63
44
50
70
49
64
46
41
58
29
57
49
51
56
51
31
44
56
61
42
59
44
45
33
71
37
57
56
46
64
63
60
38
72
50
58
50
61
27
56
58
36
44
54
39
56
33
33
57
50
61
60
57
41
51
68
46
65
71
27
47
59
55
30
53
37
42
40
52
55
25
58
44
42
33
31
60
48
31
49
37
44
56
45
54
53
43
40
54
33
31
54
29
44
51
36
58
49
26
44
62
59
41
44
42
48
41
46
49
54
52
33
25
30
38
45
37
56
57
35
49
44
49
42
56
42
38
58
53
55
43
32
56
30
67
53
67
44
46
42
25
36
68
60
37
51
32
44
35
33
53
49
42
55
41
41
51
41
51
58
47
44
40
44
25
32
39
37
45
34
40
44
49
44
37
59
50
60
58
42
42
63
45
36
34
46
44
34
55
51
53
42
56
42
29
58
53
41
43
42
63
50
58
59
51
36
48
39






















































































































