BULLY
46.0
64.0
42.0
42.0
51.0
80.0
66.0
46.0
44.0
49.0
44.0
51.0
64.0
58.0
55.0
46.0
44.0
44.0
44.0
49.0
46.0
53.0
46.0
42.0
51.0
44.0
51.0
62.0
55.0
53.0
44.0
58.0
42.0
42.0
51.0
46.0
80.0
42.0
53.0
64.0
42.0
49.0
46.0
49.0
42.0
46.0
53.0
46.0
42.0
44.0
53.0
73.0
55.0
62.0
42.0
42.0
46.0
49.0
49.0
42.0
46.0
51.0
42.0
49.0
73.0
51.0
44.0
46.0
62.0
42.0
46.0
69.0
76.0
55.0
49.0
42.0
60.0
46.0
51.0
53.0
62.0
46.0
49.0
49.0
49.0
55.0
69.0
49.0
60.0
66.0
46.0
49.0
42.0
64.0
44.0
46.0
53.0
46.0
98.0
55.0
58.0
49.0
55.0
71.0
69.0
42.0
44.0
42.0
53.0
71.0
53.0
46.0
44.0
49.0
49.0
60.0
42.0
53.0
87.0
49.0
46.0
62.0
42.0
44.0
42.0
55.0
42.0
42.0
51.0
46.0
42.0
42.0
55.0
46.0
46.0
44.0
53.0
49.0
53.0
49.0
49.0
42.0
58.0
46.0
53.0
42.0
49.0
62.0
46.0
53.0
42.0
46.0
51.0
53.0
86.0
62.0
49.0
49.0
53.0
46.0
46.0
66.0
42.0
49.0
49.0
46.0
55.0
44.0
42.0
46.0
46.0
53.0
46.0
46.0
53.0
42.0
49.0
49.0
51.0
44.0
53.0
51.0
55.0
46.0
44.0
51.0
44.0
49.0
44.0
44.0
46.0
42.0
46.0
53.0
53.0
49.0
76.0
42.0
51.0
60.0
46.0
44.0
42.0
44.0
46.0
66.0
44.0
42.0
46.0
46.0
51.0
53.0
44.0
71.0
46.0
46.0
80.0
42.0
62.0
44.0
71.0
51.0
49.0
60.0
62.0
53.0
75.0
58.0
44.0
44.0
44.0
76.0
60.0
42.0
51.0
62.0
49.0
51.0
66.0
44.0
73.0
44.0
58.0
42.0
55.0
42.0
53.0
49.0
51.0
46.0
44.0
71.0
46.0
51.0
51.0
46.0
60.0
44.0
75.0
46.0
51.0
51.0
46.0
46.0
44.0
46.0
53.0
55.0
51.0
89.0
42.0
62.0
49.0
49.0
53.0
69.0
42.0
46.0
42.0
55.0
62.0
44.0
53.0
73.0
49.0
44.0
44.0
51.0
73.0
42.0
46.0
51.0
44.0
55.0
44.0
42.0
51.0
69.0
51.0
60.0
42.0
53.0
49.0
46.0
49.0
46.0
44.0
53.0
44.0
91.0
49.0
49.0
55.0
46.0
42.0
46.0
49.0
46.0
84.0
80.0
51.0
46.0
49.0
42.0
89.0
49.0
58.0
51.0
55.0
55.0
44.0
53.0
42.0
46.0
51.0
51.0
58.0
42.0
46.0
42.0
42.0
53.0
44.0
44.0
42.0
58.0
49.0
51.0
46.0
49.0
53.0
42.0
49.0
58.0
55.0
91.0
42.0
42.0
64.0
91.0
44.0
44.0
55.0
58.0
62.0
58.0
44.0
44.0
44.0
49.0
46.0
49.0
42.0
51.0
96.0
46.0
49.0
53.0
46.0
49.0
42.0
51.0
42.0
51.0
75.0
42.0
87.0
53.0
42.0
51.0
58.0
44.0
55.0
44.0
71.0
49.0
55.0
44.0
44.0
42.0
42.0
98.0
84.0
44.0
49.0
49.0
46.0
51.0
46.0
49.0
51.0
42.0
46.0
55.0
46.0
58.0
53.0
42.0
42.0
46.0
44.0
49.0
55.0
42.0
42.0
46.0
49.0
49.0
42.0
42.0
58.0
64.0
51.0
53.0
44.0
58.0
60.0
42.0
42.0
60.0
55.0
42.0
44.0
49.0
42.0
49.0
46.0
51.0
42.0
53.0
44.0
44.0
60.0
58.0
42.0
51.0
42.0
64.0
62.0
46.0
46.0
46.0
58.0
46.0
44.0
44.0
44.0
44.0
42.0
46.0
51.0
46.0
42.0
42.0
44.0
42.0
49.0
44.0
44.0
49.0
58.0
44.0
51.0
42.0
46.0
42.0
44.0
44.0
44.0
60.0
42.0
44.0
60.0
46.0
42.0
62.0
64.0
51.0
51.0
46.0
49.0
46.0
49.0
80.0
55.0
51.0
44.0
44.0
51.0
44.0
58.0
44.0
51.0
44.0
44.0
53.0
42.0
49.0
46.0
44.0
53.0
44.0
46.0
44.0
58.0
44.0
44.0
51.0
49.0
62.0
46.0
44.0
42.0
46.0
49.0
46.0
42.0
46.0
44.0
60.0
46.0
46.0
42.0
44.0
44.0
49.0
60.0
49.0
51.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
