,DSC,0
376,100.0,73.68627
377,20.0,61.203594
378,40.0,47.69948
379,90.0,61.340736
380,55.0,57.552376
381,80.0,66.980675
382,40.0,50.05793
383,85.0,69.88902
384,55.0,56.50602
385,25.0,51.290726
386,40.0,51.63903
387,90.0,72.76474
388,25.0,36.52392
389,25.0,48.18944
390,5.0,61.541718
391,55.0,58.232876
392,55.0,57.567238
393,5.0,49.122375
394,20.0,54.111053
395,40.0,37.45108
396,5.0,52.97652
397,40.0,51.910503
398,5.0,71.80646
399,100.0,64.96229
400,20.0,35.06308
401,95.0,66.93695
402,55.0,47.548615
403,40.0,46.996372
404,20.0,53.20915
405,5.0,41.43695
406,40.0,48.77085
407,5.0,44.136135
408,40.0,52.267185
409,45.0,50.32177
410,45.0,57.356552
411,85.0,57.194214
412,55.0,51.696404
413,85.0,46.23059
414,80.0,51.020466
415,55.0,45.72723
416,55.0,52.480072
417,45.0,56.25641
418,20.0,45.24753
419,75.0,51.940952
420,20.0,45.638145
421,40.0,60.982796
422,40.0,54.439423
423,80.0,56.806793
424,55.0,41.603073
425,65.0,46.093735
426,100.0,62.69252
427,40.0,61.048088
428,20.0,46.25375
429,5.0,44.396587
430,20.0,55.779587
431,20.0,54.816864
432,40.0,44.187508
433,20.0,44.344833
434,5.0,52.31678
435,40.0,52.17046
436,95.0,58.188366
437,65.0,58.10975
438,95.0,65.3636
439,85.0,68.11902
440,5.0,52.910683
441,100.0,50.3696
442,55.0,51.72365
443,5.0,45.831673
444,5.0,51.473015
445,25.0,52.474068
446,95.0,67.375084
447,40.0,56.91755
448,5.0,43.98166
449,85.0,55.513134
450,100.0,66.74408
451,55.0,50.035
452,55.0,58.62729
453,75.0,66.51747
454,95.0,60.96047
455,75.0,60.8425
456,5.0,51.702126
457,55.0,60.60054
458,40.0,60.016083
459,40.0,47.6607
460,20.0,59.68009
461,55.0,51.116375
462,5.0,33.050507
463,85.0,59.416534
464,5.0,67.23144
465,5.0,50.776474
466,45.0,53.276966
467,5.0,28.792694
468,25.0,53.683968
469,5.0,40.804287
470,45.0,47.870453
471,45.0,44.236935
472,55.0,66.4214
473,95.0,70.39954
474,90.0,50.27851
475,65.0,62.332195
476,90.0,63.114487
477,5.0,55.2945
478,20.0,53.92345
479,5.0,61.08152
480,95.0,62.75924
481,55.0,54.849247
482,80.0,64.724724
483,65.0,56.97674
484,55.0,55.596767
485,95.0,69.06831
486,75.0,65.07446
487,20.0,42.895523
488,85.0,77.24198
489,80.0,70.20016
490,100.0,67.12601
491,40.0,54.309715
492,40.0,46.56545
493,5.0,51.26952
494,65.0,59.763767
