,ISO,0
0,15.0,18.290466
1,95.0,44.728672
2,45.0,46.38896
3,55.0,37.474495
4,65.0,49.160892
5,35.0,34.21048
6,15.0,48.284157
7,40.0,36.38889
8,75.0,55.21386
9,25.0,34.488953
10,65.0,46.405293
11,45.0,30.89672
12,60.0,57.56521
13,30.0,29.916626
14,25.0,41.218216
15,75.0,60.238106
16,45.0,28.818966
17,35.0,33.97734
18,15.0,30.73468
19,80.0,61.825584
20,55.0,42.0918
21,15.0,38.722076
22,35.0,33.99036
23,75.0,45.304512
24,75.0,45.106228
25,95.0,46.84653
26,65.0,55.361782
27,65.0,49.841106
28,80.0,52.89207
29,65.0,44.898247
30,15.0,49.009377
31,25.0,23.118713
32,35.0,47.87068
33,60.0,45.843983
34,45.0,47.05616
35,45.0,45.904526
36,40.0,33.59175
37,85.0,37.65955
38,15.0,39.269028
39,15.0,40.249973
40,15.0,42.24779
41,15.0,34.940697
42,45.0,41.375866
43,25.0,45.8645
44,90.0,39.930027
45,45.0,45.794292
46,30.0,39.631405
47,40.0,41.994865
48,55.0,50.275036
49,65.0,41.763374
50,80.0,43.429874
51,65.0,49.537086
52,15.0,31.195925
53,60.0,44.167656
54,40.0,38.44417
55,65.0,42.940964
56,25.0,32.577698
57,25.0,39.15376
58,35.0,36.97249
59,80.0,38.16512
60,15.0,49.120296
61,15.0,23.00542
62,25.0,37.585457
63,15.0,31.86434
64,15.0,44.40152
65,75.0,62.24931
66,45.0,23.771069
67,75.0,50.931103
68,90.0,40.401527
69,25.0,41.348106
70,15.0,20.737225
71,25.0,43.561134
72,45.0,45.43313
73,45.0,44.767963
74,55.0,27.970835
75,90.0,45.433853
76,45.0,44.158474
77,15.0,28.328213
78,80.0,32.407585
79,65.0,40.152435
80,80.0,50.053947
81,90.0,53.44708
82,30.0,32.11621
83,15.0,35.75802
84,15.0,44.414185
85,80.0,57.201107
86,85.0,47.55806
87,15.0,40.032856
88,35.0,33.456657
89,15.0,23.91267
90,15.0,30.70566
91,65.0,26.716694
92,15.0,39.297928
93,90.0,55.33584
94,85.0,56.159164
95,65.0,30.640326
96,55.0,40.07044
97,90.0,48.135494
98,35.0,36.751904
99,25.0,33.004112
100,15.0,31.033009
101,40.0,43.728405
102,15.0,37.84764
103,40.0,39.13757
104,95.0,34.330357
105,15.0,55.433002
106,30.0,29.860369
107,75.0,50.331654
108,80.0,49.440563
109,15.0,37.39418
110,35.0,37.868263
111,65.0,47.849926
112,35.0,47.06411
113,15.0,36.697403
114,90.0,50.37484
115,35.0,35.96456
116,15.0,44.97482
117,15.0,45.94539
118,45.0,44.582508
119,80.0,55.608627
120,25.0,36.901463
121,60.0,45.323746
122,60.0,44.382675
123,80.0,55.696983
124,65.0,38.40752
125,15.0,33.37393
126,40.0,39.137955
127,75.0,54.15079
128,90.0,53.99194
129,35.0,65.03943
130,65.0,38.42031
131,85.0,55.946884
132,65.0,53.62877
133,15.0,30.182293
134,90.0,57.571125
135,35.0,39.078247
136,85.0,51.006695
137,30.0,40.873993
138,80.0,39.827168
139,80.0,45.160336
140,45.0,39.570145
141,15.0,47.84329
142,80.0,54.738087
143,30.0,33.856113
144,15.0,40.548565
145,40.0,41.3981
146,15.0,44.888645
147,15.0,33.621063
148,45.0,47.850918
149,15.0,43.08113
150,80.0,45.62562
151,65.0,43.384743
152,65.0,35.586723
153,40.0,45.929226
154,55.0,51.61514
155,40.0,46.949333
156,35.0,45.856106
157,55.0,41.297775
158,95.0,47.20182
159,55.0,55.302895
160,90.0,53.08516
161,30.0,50.271793
162,35.0,35.344666
163,90.0,38.7163
164,15.0,41.520374
165,85.0,30.72224
166,25.0,29.116634
167,80.0,40.12816
168,35.0,33.200928
169,25.0,35.934883
170,95.0,48.057716
171,65.0,33.079933
172,35.0,46.43286
173,65.0,39.67898
174,60.0,56.149277
175,15.0,26.856018
176,90.0,55.83513
177,75.0,35.58538
178,15.0,39.91384
179,40.0,43.08462
180,80.0,60.91001
181,15.0,28.635191
182,80.0,52.67641
183,25.0,23.504053
184,35.0,43.633938
185,15.0,48.06353
186,60.0,53.76513
187,15.0,25.854164
188,65.0,46.41169
189,80.0,40.770893
190,90.0,49.941
191,25.0,41.15807
192,95.0,49.990757
193,90.0,51.50797
194,65.0,49.252907
195,30.0,35.775192
196,80.0,55.511703
197,90.0,33.412113
198,30.0,38.383698
199,65.0,35.713333
200,30.0,42.876354
201,80.0,60.805344
202,40.0,48.622955
203,95.0,45.188908
204,15.0,43.78961
205,65.0,45.52266
206,40.0,49.13232
207,45.0,49.480038
208,60.0,22.61632
209,15.0,34.20282
210,55.0,48.681015
211,15.0,39.46601
212,40.0,28.722736
213,15.0,33.715847
214,80.0,42.714092
215,55.0,51.89928
216,15.0,28.580334
217,15.0,46.45642
218,35.0,32.2505
219,85.0,53.66404
220,25.0,42.014484
221,40.0,45.22294
222,30.0,47.561756
223,80.0,53.859726
224,35.0,50.47984
225,40.0,47.80422
226,35.0,36.24224
227,80.0,62.04969
228,65.0,54.34174
229,60.0,54.17378
230,35.0,35.716106
231,95.0,36.10843
232,75.0,56.93981
233,60.0,36.2844
234,15.0,41.159515
235,15.0,23.862444
236,65.0,52.860477
237,15.0,23.604124
238,25.0,41.38331
239,15.0,57.2311
240,40.0,38.86908
241,15.0,33.049725
242,30.0,53.773792
243,15.0,36.582382
244,15.0,33.671448
245,55.0,31.030727
246,25.0,44.94464
247,60.0,51.96953
248,95.0,36.88865
249,15.0,43.717148
250,55.0,48.384727
251,40.0,39.926296
252,25.0,49.432545
253,15.0,49.90446
254,15.0,45.531273
255,15.0,58.7534
256,35.0,41.34114
257,80.0,45.11493
258,55.0,38.69886
259,95.0,40.081608
260,25.0,41.936897
261,65.0,41.063267
262,15.0,38.201107
263,65.0,43.289646
264,15.0,27.360981
265,75.0,42.09411
266,85.0,42.423588
267,75.0,30.591131
268,15.0,35.713024
269,65.0,48.30646
270,65.0,45.658466
271,80.0,48.496944
272,25.0,37.774105
273,15.0,30.70436
274,40.0,38.265762
275,25.0,43.24701
276,25.0,30.037218
277,65.0,39.93306
278,35.0,34.375813
279,40.0,34.726948
280,55.0,39.096104
281,40.0,41.60757
282,15.0,52.775127
283,55.0,53.764233
284,85.0,44.994247
285,15.0,33.62438
286,40.0,35.057068
287,80.0,39.96648
288,15.0,45.446014
289,15.0,42.287113
290,55.0,52.14352
291,65.0,43.20668
292,80.0,45.946247
293,55.0,47.12849
294,45.0,57.659
295,30.0,43.443893
296,90.0,54.800514
297,55.0,40.12304
298,65.0,36.51889
299,30.0,37.91744
300,15.0,38.003708
301,45.0,41.40874
302,25.0,23.876886
303,80.0,56.720337
304,60.0,58.798748
305,25.0,41.394855
306,45.0,37.338398
307,15.0,37.22945
308,30.0,38.028164
309,85.0,37.212086
310,60.0,46.922443
311,15.0,43.27653
312,15.0,45.395786
313,25.0,30.514359
314,40.0,43.739265
315,15.0,32.190655
316,85.0,44.4262
317,15.0,41.685238
318,60.0,40.150333
319,40.0,38.488705
320,15.0,40.386635
321,15.0,31.943619
322,55.0,52.30599
323,15.0,47.596745
324,25.0,42.24228
325,60.0,40.347733
326,90.0,58.860027
327,55.0,35.85975
328,75.0,56.5762
329,45.0,43.051235
330,60.0,54.388073
331,45.0,35.442345
332,65.0,36.155144
333,45.0,42.53217
334,15.0,40.24276
335,35.0,49.15375
336,15.0,31.043068
337,15.0,31.161161
338,80.0,56.392513
339,40.0,41.771194
340,65.0,51.0846
341,15.0,44.05055
342,40.0,46.35887
343,30.0,32.1849
344,60.0,59.296448
345,15.0,40.81084
346,15.0,26.480951
347,95.0,41.856537
348,95.0,55.987072
349,25.0,33.315826
350,35.0,42.69702
351,15.0,30.240103
352,15.0,50.370945
353,75.0,41.3019
354,15.0,35.92396
355,40.0,36.36645
356,65.0,38.257572
357,65.0,44.256683
358,30.0,32.04053
359,65.0,46.08968
360,15.0,30.786974
361,15.0,32.321857
