,FUN_COM,0
0,48.0,39.682938
1,50.0,49.66145
2,0.0,33.15022
3,0.0,24.319597
4,53.0,48.51148
5,53.0,57.114037
6,0.0,37.54561
7,53.0,45.07233
8,33.0,42.797703
9,60.0,50.59537
10,41.0,42.250866
11,45.13888889,48.64497
12,56.0,46.434147
13,61.0,55.29421
14,55.91666667,42.409443
15,43.0,36.812523
16,36.91666667,47.98364
17,45.0,44.405155
18,48.0,43.504856
19,42.08333333,42.220898
20,54.0,40.607277
21,40.0,52.08782
22,42.58333333,34.23629
23,51.0,55.212337
24,0.0,24.312586
25,41.0,35.9045
26,53.0,50.658382
27,48.0,47.109356
28,32.91666667,41.811
29,48.0,44.9294
30,36.0,44.48669
31,42.0,45.98189
32,47.0,44.79452
33,0.0,20.787958
34,39.02777778,47.896343
35,36.0,44.77498
36,41.0,43.147343
37,39.75,40.19295
38,40.55555556,32.01678
39,35.0,28.200647
40,0.0,33.797775
41,46.0,41.8142
42,57.5,44.486607
43,44.0,41.009212
44,43.0,61.06886
45,36.0,40.777557
46,48.0,55.396824
47,31.0,36.387794
48,43.0,48.857105
49,0.0,25.6383
50,64.0,44.29012
51,41.16666667,47.414192
52,47.5,36.545216
53,61.33333333,53.52172
54,47.0,45.456272
