,IDENTITY,0
0,0.0,0.0
1,0.67,0.0
2,0.0,0.0
3,0.333333333,0.0
4,2.333333333,0.0
5,0.33,0.8205359
6,1.333333333,0.0
7,0.333333333,0.0
8,3.0,2.7180421
9,2.0,0.0
10,0.0,0.0
11,0.0,5.3993416
12,1.333333333,0.0
13,0.0,0.0
14,0.67,0.0
15,2.666666667,5.0150013
16,0.0,0.0
17,1.333333333,0.0
18,0.666666667,0.0
19,1.666666667,0.0
20,0.0,0.0
21,1.666666667,1.0012653
22,0.333333333,0.0
23,0.0,0.0
24,2.0,4.220745
25,0.333333333,0.0
26,2.666666667,0.7653687
27,3.0,6.5317574
28,1.333333333,2.737831
29,4.0,3.4783466
30,0.67,0.5689204
31,0.0,0.0
32,1.666666667,2.460901
33,2.666666667,4.875381
34,3.0,0.0
35,0.0,0.0
36,1.666666667,0.0
37,2.333333333,3.1955867
38,1.333333333,0.0
39,0.333333333,0.0
40,1.333333333,0.0
41,1.0,0.0
42,3.0,0.0
43,0.33,0.0
44,3.333333333,4.2571163
45,1.333333333,0.34717056
46,0.666666667,0.5004251
47,0.666666667,2.2787912
48,0.33,0.0
49,0.0,0.0
50,0.333333333,0.0
51,0.333333333,0.0
52,0.33,0.0
53,3.0,0.0
54,1.0,3.337087
55,0.0,1.9635942
56,0.666666667,0.0
57,1.67,0.0
58,1.666666667,0.0
59,1.666666667,0.0
60,0.33,0.0
61,2.666666667,0.0
62,0.33,0.0
63,1.33,3.272496
64,0.0,0.0
65,3.0,0.0
66,0.0,0.0
67,1.333333333,0.0
68,3.0,7.348936
69,2.0,0.0
70,1.333333333,0.0
71,1.333333333,0.0
72,3.0,1.4127438
73,0.0,0.0
74,0.67,0.0
75,0.33,0.0
76,3.0,2.1185284
77,0.666666667,0.0
78,0.333333333,0.0
79,1.666666667,0.5818894
80,0.0,0.8590617
81,0.33,0.0
82,3.0,4.2819586
83,3.333333333,2.9687583
84,0.666666667,0.0
85,0.333333333,0.0
86,2.666666667,0.0
87,0.666666667,0.0
88,1.0,0.0
89,1.0,0.0
90,1.666666667,1.4896536
91,3.0,3.9640234
92,0.0,0.0
93,1.333333333,0.0
94,1.666666667,0.0
95,0.0,0.0
96,3.0,1.9887516
97,1.333333333,0.0
98,1.67,2.0667665
99,0.0,0.0
100,0.0,0.0
101,1.666666667,1.6561239
102,0.0,0.0
103,3.0,3.432779
104,0.0,0.0
105,1.33,0.0
106,0.0,0.61683345
107,0.333333333,0.07757018
108,1.67,2.4542072
109,1.333333333,0.0
110,0.666666667,0.0
111,0.0,0.0
112,0.0,0.0
113,2.0,9.298356
114,2.0,3.8431256
115,1.0,0.7360616
116,0.0,0.0
117,2.0,0.0
118,0.0,0.0
119,1.333333333,0.2942712
120,0.0,0.0
121,1.333333333,0.0
122,1.666666667,2.0277123
123,1.333333333,0.0
124,1.666666667,1.590801
125,3.0,3.8109903
126,2.0,1.1448774
127,0.33,0.0
128,1.0,0.71425414
129,0.67,0.0
130,0.0,0.0
131,0.0,0.0
132,1.666666667,0.0
133,0.0,0.0
134,2.0,0.0
135,0.0,0.0
136,0.666666667,0.0
137,1.666666667,0.0
138,2.666666667,0.9344158
139,2.666666667,5.751813
140,1.333333333,0.68152785
141,1.333333333,0.0
142,2.333333333,2.6255488
143,2.666666667,5.971431
144,0.0,0.0
145,0.0,0.0
146,1.333333333,0.0
147,2.333333333,5.150295
148,1.333333333,4.839315
149,0.666666667,0.4112012
150,0.0,2.5883741
151,1.67,0.0
152,0.333333333,0.0
153,0.333333333,2.7211244
154,0.0,0.0
155,1.333333333,1.5629139
156,0.0,0.0
157,1.333333333,0.0
158,1.333333333,2.5293305
159,2.33,0.55004096
160,1.0,0.0
161,3.0,0.65071225
162,2.666666667,3.1562674
163,1.333333333,0.0
164,0.0,0.0
165,0.0,0.120595194
166,2.0,0.4508352
167,1.666666667,3.0759313
168,0.0,0.0
169,1.666666667,1.2733046
170,1.333333333,0.7673805
171,0.0,0.0
172,0.0,1.5557473
173,2.0,0.0
174,0.0,0.0
175,0.0,1.6623929
176,0.0,0.0
177,0.0,0.0
178,1.333333333,0.0
179,1.333333333,0.0
180,0.67,0.0
181,0.0,3.0002723
182,1.333333333,1.0124481
183,0.0,0.0
184,0.33,0.0
185,1.666666667,1.5258524
186,0.0,0.0
187,2.333333333,2.7852437
188,0.33,0.0
189,0.0,0.0
190,4.0,9.898613
191,1.0,1.3118265
192,1.666666667,0.0
193,0.0,0.0
194,0.333333333,0.0
195,0.0,0.0
196,0.333333333,0.0
197,0.333333333,0.64894795
198,1.333333333,2.753606
199,0.333333333,0.0
200,2.333333333,6.073929
201,2.0,1.2677133
202,0.0,0.0
203,2.666666667,0.0
204,0.0,0.0
205,1.67,0.0
206,1.666666667,0.92718625
207,1.666666667,0.0
208,1.333333333,0.0
209,2.0,1.6075284
210,0.67,0.0
211,0.0,0.0
212,1.0,0.0
213,2.666666667,1.6723244
214,2.0,3.3532486
215,1.67,4.5466576
216,2.0,0.0
217,0.33,0.0
218,0.0,0.0
219,1.333333333,0.0
220,0.33,0.0
221,0.0,0.38222143
222,1.0,0.0
223,0.0,0.0
224,1.0,0.0
225,0.0,0.0
226,0.333333333,0.0
227,0.666666667,0.0
228,0.666666667,0.4490125
229,1.33,0.0
230,0.333333333,2.6877801
231,0.0,0.0
232,0.0,0.0
233,0.33,0.0
234,2.0,0.0
235,1.0,0.0
236,0.333333333,0.0
237,2.33,5.658189
238,2.33,3.5058093
239,0.0,0.0
240,0.0,0.0
241,0.0,0.0
242,0.0,0.0
243,0.666666667,0.0
244,0.0,0.0
245,0.333333333,0.0
246,1.333333333,1.7041838
247,2.0,1.5594594
248,1.67,1.3078492
249,1.67,2.033357
250,1.666666667,3.4898095
251,0.666666667,0.0
252,1.333333333,0.40945885
253,0.0,0.0
254,0.33,0.0
255,1.0,4.6379967
256,1.0,0.0
257,1.666666667,0.37160465
258,0.333333333,0.0
259,1.333333333,4.6876554
260,2.666666667,4.9236746
261,1.333333333,0.0
262,0.0,0.0
263,1.0,0.0
264,1.333333333,0.0
265,0.0,0.0
266,1.333333333,0.0
267,0.333333333,0.9783366
268,1.333333333,0.9516132
269,1.0,0.0
270,0.0,0.0
271,0.333333333,0.0
272,1.333333333,1.9020174
273,1.333333333,0.0
274,4.0,4.4645023
275,1.333333333,0.0
276,0.0,0.0
277,1.666666667,3.8077652
278,0.0,0.0
279,1.33,0.0
280,1.333333333,3.0264816
281,0.0,0.0
282,0.0,0.0
283,1.333333333,0.0
284,0.0,0.0
285,0.333333333,0.0
286,1.666666667,1.0300786
287,2.0,0.0
288,1.67,0.0
289,1.333333333,0.0
290,1.33,0.0
291,2.0,0.0
292,1.333333333,0.0
293,0.0,0.0
294,1.67,1.4829628
295,0.0,0.0
296,3.0,2.765033
297,0.67,0.0
298,1.333333333,0.0
299,0.666666667,0.0
300,0.333333333,0.0
301,1.67,0.0
302,0.0,0.0
303,1.0,0.0
304,1.666666667,0.0
305,0.333333333,0.0
306,1.33,0.0
307,0.0,0.0
308,1.333333333,4.9415703
309,0.0,0.0
310,0.0,0.0
311,2.666666667,4.538046
312,0.333333333,2.064853
313,0.0,0.0
314,0.666666667,0.0
315,1.333333333,0.6531551
316,0.0,0.0
317,2.666666667,3.69711
318,2.0,6.379224
319,0.33,0.0
320,0.0,0.0
321,0.67,0.0
322,0.333333333,0.0
323,0.333333333,2.4884112
324,0.333333333,0.0
325,1.67,6.4488854
326,0.0,0.0
327,0.0,0.0
328,0.0,0.0
329,1.333333333,0.0
330,0.0,0.0
331,0.0,0.0
332,0.33,0.0
333,2.666666667,2.4113977
334,0.333333333,3.368758
335,0.0,0.0
336,0.0,0.0
337,1.333333333,0.0
338,1.0,0.0
339,1.333333333,2.1269596
340,0.0,0.0
341,0.0,0.0
342,3.0,2.05607
343,0.333333333,0.0
344,2.666666667,4.4536943
345,1.333333333,5.2904205
346,2.33,0.6462667
347,1.666666667,0.0
348,1.333333333,0.0
349,0.0,0.0
350,0.666666667,0.0
351,1.666666667,0.2251632
352,0.0,0.0
353,0.333333333,0.0
354,1.666666667,2.8321354
355,2.666666667,0.0
356,1.333333333,0.0
357,0.67,0.0
358,1.0,0.0
359,0.0,0.0
360,2.666666667,1.3119402
361,1.666666667,0.0
362,1.67,2.3885758
363,0.0,0.0
364,1.333333333,0.28203174
365,0.0,0.0
366,1.0,0.0
367,2.666666667,0.0
368,1.666666667,1.6560895
369,2.666666667,0.0
370,1.33,0.0
371,0.0,0.0
372,1.33,0.0
373,1.333333333,0.0
374,0.0,0.0
375,0.333333333,0.0
376,0.333333333,0.0
377,1.0,0.0
378,1.0,0.0
379,0.333333333,0.0
380,1.333333333,0.0
381,0.0,0.0
382,0.0,0.0
383,0.666666667,0.0
384,0.0,0.0
385,1.333333333,0.0
386,2.666666667,1.1550505
387,2.0,0.0
388,3.0,1.1915143
389,1.0,0.0
390,1.333333333,1.3324835
391,0.67,0.0
392,0.0,0.0
393,1.333333333,0.48899958
394,2.67,0.64269567
395,0.0,0.0
396,0.0,0.0
397,2.0,0.0
398,0.67,0.0
399,1.333333333,2.7572236
400,2.0,4.8230095
401,1.33,0.0
402,2.67,3.5651076
403,1.0,0.0
404,0.0,0.0
405,1.33,0.0
406,0.666666667,1.5695908
407,0.0,0.0
408,0.0,0.0
