,SELFDIR,0
0,2.666666667,25.305159
1,2.0,24.087154
2,2.666666667,28.171566
3,1.67,25.44827
4,1.666666667,17.64952
5,3.666666667,28.413225
6,1.67,26.039211
7,3.666666667,19.021914
8,1.666666667,22.74433
9,1.0,18.439283
10,0.666666667,21.111502
11,2.666666667,22.506754
12,0.666666667,21.799856
13,1.333333333,22.886614
14,0.666666667,18.3807
15,2.0,23.874289
16,2.666666667,21.959677
17,1.0,21.66037
18,1.0,19.79688
19,0.333333333,19.131786
20,1.333333333,21.35182
21,0.666666667,22.30039
22,0.666666667,20.897438
23,1.333333333,21.512514
24,1.666666667,19.448618
25,0.333333333,19.509344
26,1.0,22.28261
27,1.333333333,21.01924
28,1.33,18.577906
29,1.333333333,19.31992
30,1.0,21.051826
31,2.0,23.385462
32,1.0,25.123161
33,1.333333333,25.928604
34,0.666666667,21.333551
35,1.0,26.264492
36,2.0,24.955025
37,1.0,23.56856
38,2.0,24.155851
39,0.666666667,21.768187
40,0.666666667,21.31347
41,2.666666667,24.977713
42,1.67,22.14382
43,1.666666667,23.828897
44,0.666666667,21.076643
45,2.666666667,24.476526
46,0.666666667,20.398762
47,2.33,24.961884
48,2.33,22.79167
49,1.333333333,24.490932
50,2.33,23.829893
51,1.67,26.461218
