,EMPATHY,0
0,2.0,17.255062
1,0.0,12.001192
2,1.333333333,16.739822
3,1.0,15.323015
4,1.67,15.423739
5,1.333333333,13.616953
6,0.0,10.808939
7,1.333333333,16.05499
8,0.33,12.495953
9,2.0,14.995958
10,0.0,10.771135
11,1.333333333,16.136158
12,2.0,14.929632
13,0.0,14.882274
14,1.333333333,14.324764
15,0.0,11.7600155
16,0.0,12.4860935
17,4.0,17.621475
18,0.0,10.949012
19,0.0,10.879788
20,3.0,18.092684
21,2.0,15.651205
22,1.0,13.793392
23,1.666666667,14.445635
24,0.0,14.151785
25,0.0,12.046045
26,0.0,11.829851
27,2.0,12.516705
28,1.333333333,13.95813
29,0.0,13.236239
30,0.0,10.38949
31,4.0,16.216068
32,2.333333333,17.384047
33,1.67,15.455435
34,1.666666667,13.291607
35,1.333333333,13.504564
36,1.333333333,13.775885
37,0.0,10.728236
38,0.0,13.018743
39,0.0,9.448641
40,0.67,12.643479
41,1.666666667,14.012246
42,0.666666667,13.003784
43,1.0,11.553192
44,0.33,13.160356
45,0.0,13.46752
46,0.0,11.548537
47,3.0,16.181644
48,0.67,10.618027
49,0.666666667,14.459116
50,3.0,14.481496
51,0.0,11.122
52,1.33,15.883591
53,1.333333333,11.876505
54,3.0,15.105145
55,0.0,12.609213
56,0.666666667,11.682911
57,0.0,12.483635
58,0.0,15.198962
59,1.333333333,13.991236
60,1.333333333,15.270795
61,0.0,15.4483185
62,2.666666667,15.450642
63,4.0,17.221462
64,0.333333333,14.268882
65,3.0,17.609497
66,1.333333333,14.124886
67,1.67,15.474779
68,0.0,9.776643
69,2.333333333,15.083636
70,0.0,12.28856
71,0.33,12.376571
72,1.333333333,13.679998
73,2.0,13.80831
74,0.33,12.270313
75,4.0,18.179264
76,1.67,12.557589
77,0.0,10.899968
78,4.0,17.810068
79,4.0,19.550842
80,0.0,13.602668
81,3.0,18.169815
82,1.333333333,13.960401
83,4.0,17.184433
84,1.333333333,13.896334
85,4.0,16.258059
86,1.67,13.7097645
87,0.0,14.518566
88,0.0,11.150406
89,1.333333333,13.620735
90,1.333333333,14.150171
91,0.0,12.501297
92,0.0,11.396429
93,0.0,15.496212
94,1.666666667,13.777863
95,0.0,14.858023
96,4.0,14.819866
97,0.0,13.131893
98,0.0,13.768415
99,4.0,17.05441
100,3.0,17.672573
101,2.666666667,15.788392
102,0.0,12.690392
103,0.333333333,11.324622
104,0.33,12.412208
105,2.0,15.611473
106,0.0,13.376091
107,2.666666667,15.563847
108,1.0,15.804462
109,0.666666667,13.051554
110,0.0,12.547618
111,2.0,15.620161
112,0.0,13.631319
113,1.0,14.002546
114,4.0,21.143732
115,1.333333333,15.5278845
116,1.67,13.412504
117,2.0,14.65531
118,0.666666667,14.019518
119,1.333333333,14.52251
120,1.333333333,14.988701
121,1.0,11.422582
122,0.0,12.191332
123,0.33,11.717678
124,2.0,16.702099
125,0.0,12.053832
126,1.67,17.063961
127,0.0,12.098906
128,1.333333333,12.378893
129,2.666666667,16.165327
130,1.67,15.517085
131,1.333333333,16.039509
132,0.0,12.715695
133,1.0,15.613422
134,0.666666667,15.229887
135,0.0,13.046042
136,0.0,12.023897
137,4.0,15.5216055
138,0.67,14.795694
139,0.0,13.644796
140,2.666666667,14.672087
141,0.0,11.734497
142,2.0,15.068134
143,0.0,11.689333
144,0.0,12.070017
145,0.0,11.995548
146,0.33,13.382794
147,0.0,12.704437
148,1.333333333,16.028288
149,1.333333333,16.051317
150,0.666666667,12.274593
151,3.0,21.577297
152,0.33,10.721191
153,1.0,15.586746
154,0.666666667,12.108824
155,0.0,12.159374
156,2.0,13.950567
157,0.67,13.914602
158,1.0,15.739298
159,0.0,13.80549
160,1.67,14.8115635
161,2.0,12.797778
162,1.0,13.020067
163,1.333333333,11.949151
164,0.0,12.89915
165,2.666666667,14.779547
166,0.0,12.126942
167,0.0,10.352194
168,0.33,13.717014
169,1.0,13.420134
170,1.333333333,14.058908
171,4.0,15.356814
172,0.33,13.870771
173,0.666666667,11.785742
174,1.33,15.848942
175,0.0,11.290272
176,0.0,13.511887
177,0.33,12.042042
178,0.0,12.445856
179,0.67,11.883279
180,4.0,16.036005
181,0.0,9.983499
182,0.0,9.809889
183,0.0,13.384058
184,0.0,11.151182
185,2.0,15.354576
186,0.0,13.397017
187,1.333333333,12.601019
188,2.666666667,14.65859
189,1.0,9.305058
190,0.333333333,12.798232
191,1.33,9.503753
192,0.0,14.077508
193,2.666666667,16.395607
194,0.67,12.397757
195,1.333333333,13.720062
196,1.67,15.540316
197,0.333333333,11.465906
198,0.0,12.181131
199,1.0,13.003266
200,1.0,12.056047
201,2.666666667,16.637852
202,1.333333333,15.884905
203,0.0,12.996914
204,2.0,14.071852
205,0.0,11.125604
206,1.333333333,13.481802
207,3.0,18.886591
208,1.333333333,14.927357
209,2.333333333,14.837432
210,0.0,11.220148
211,0.33,11.207564
212,0.666666667,13.9179325
213,4.0,18.182676
214,2.666666667,14.799701
215,0.0,14.564401
216,0.0,12.963034
217,2.333333333,16.559435
218,0.0,10.786567
219,0.666666667,12.11862
220,2.0,16.046642
221,0.666666667,12.650773
222,2.0,15.835232
223,0.0,10.704688
224,2.0,14.436186
225,1.67,14.764379
226,3.0,15.56521
227,1.333333333,15.308619
228,0.0,12.27268
229,0.0,12.755266
230,4.0,18.220669
231,3.0,16.354795
232,0.0,15.769377
233,1.333333333,11.136405
234,0.0,11.810376
235,1.0,14.14175
236,1.333333333,13.313915
237,0.0,12.156885
238,2.67,15.533442
239,0.33,11.60763
240,0.0,15.238381
241,0.0,13.223812
242,0.0,13.080266
243,4.0,17.367472
244,3.0,16.043697
245,1.333333333,12.9557905
246,1.0,13.771204
247,0.0,12.955391
248,0.0,14.252165
249,0.0,12.931498
250,0.0,11.244293
251,0.0,12.583998
252,0.0,13.384249
253,1.0,12.963015
254,1.666666667,16.65907
255,0.0,11.227814
256,1.0,13.943454
257,2.666666667,16.55169
258,1.333333333,14.086995
259,0.0,13.183294
260,0.0,10.714144
261,0.0,12.771084
262,0.0,15.080337
263,1.33,14.451581
264,2.0,15.685961
265,2.33,16.333904
266,0.0,11.574523
267,1.33,13.622961
268,1.0,12.999096
269,3.0,17.476393
270,0.0,12.244653
271,0.33,14.319456
272,2.0,15.188394
273,1.333333333,14.268522
274,1.333333333,15.241285
275,0.0,13.589761
276,0.0,12.470893
277,0.0,8.572292
278,2.666666667,13.414778
279,3.0,16.58899
280,0.0,11.782122
281,3.0,18.430225
282,0.0,12.956659
283,1.333333333,16.066864
284,3.0,14.977174
285,1.333333333,15.800124
286,1.666666667,15.067192
287,3.0,15.728232
288,2.666666667,16.732468
289,1.33,13.244132
290,1.333333333,13.963177
291,3.0,15.781993
292,0.333333333,12.548433
293,1.0,12.009204
294,0.33,11.766571
295,0.0,10.363252
296,0.0,10.002569
297,0.0,11.726782
298,0.67,12.1715145
299,0.0,12.662788
300,1.333333333,15.406807
301,0.0,14.719206
302,1.333333333,13.704738
303,2.0,14.806068
