,PAG,0
333,90.0,77.02805
334,95.0,74.57361
335,15.0,33.49405
336,25.0,32.491447
337,55.0,52.903942
338,60.0,62.374725
339,25.0,38.471684
340,25.0,35.20541
341,5.0,40.127575
342,55.0,47.760548
343,95.0,68.975975
344,35.0,73.04606
345,60.0,64.19359
346,35.0,59.730865
347,80.0,66.41272
348,90.0,74.03595
349,60.0,71.02941
350,90.0,78.69811
351,55.0,63.763927
352,35.0,71.550095
353,75.0,65.27406
354,60.0,68.232765
355,60.0,66.1613
356,90.0,76.34131
357,80.0,68.842026
358,90.0,79.238014
359,60.0,73.05951
360,90.0,71.17926
361,55.0,69.17863
362,90.0,73.51917
363,55.0,62.281345
364,80.0,61.476547
365,55.0,54.94541
366,25.0,67.03588
367,80.0,73.99725
368,95.0,49.410397
369,60.0,54.806793
370,35.0,59.650032
371,35.0,33.029907
372,55.0,57.080482
373,55.0,46.873627
374,25.0,33.523277
375,35.0,34.85882
376,90.0,72.10018
377,55.0,56.155666
378,25.0,35.261852
379,90.0,69.75263
380,90.0,78.73325
381,55.0,50.674374
382,25.0,40.900642
383,60.0,63.26039
384,90.0,63.32958
385,80.0,66.26251
386,60.0,60.271736
387,35.0,51.355362
388,95.0,81.64934
389,60.0,54.826668
390,100.0,81.50494
391,90.0,75.69262
392,100.0,47.70342
393,35.0,66.099525
394,90.0,73.71245
395,40.0,56.220318
396,55.0,68.30586
397,35.0,58.945686
398,35.0,53.924248
399,15.0,62.91253
400,55.0,60.422596
401,35.0,46.45471
402,90.0,82.84545
403,55.0,54.11659
404,90.0,81.55746
405,55.0,51.810204
406,35.0,61.930813
407,100.0,76.08057
408,75.0,51.307495
409,15.0,40.863476
410,40.0,51.817722
411,35.0,75.27124
412,100.0,89.12271
413,80.0,66.90548
414,80.0,65.55732
415,40.0,48.74715
416,40.0,37.521763
417,75.0,34.496216
418,55.0,61.122253
419,40.0,42.696995
420,35.0,53.133297
421,90.0,79.83221
422,80.0,68.84149
423,75.0,77.66356
424,95.0,93.612724
425,90.0,70.3643
426,55.0,54.930004
427,35.0,49.46586
428,100.0,66.097496
429,55.0,65.80424
430,35.0,54.67948
431,55.0,52.159092
432,100.0,71.89156
433,75.0,68.76104
434,35.0,35.725174
435,90.0,86.761345
436,100.0,64.83644
437,75.0,71.830055
438,60.0,58.82927
439,60.0,63.37473
440,35.0,68.176445
441,60.0,62.655552
442,55.0,60.132236
443,80.0,64.89551
444,40.0,40.37366
445,60.0,63.77562
446,15.0,58.609314
447,60.0,58.9637
448,55.0,62.952984
449,25.0,59.183933
450,55.0,50.723495
451,95.0,83.71361
452,75.0,71.591095
453,100.0,52.94228
454,15.0,41.257515
455,75.0,91.48523
456,90.0,47.43734
457,95.0,76.09106
458,100.0,53.22924
459,15.0,23.775764
460,55.0,51.66715
461,80.0,71.70235
462,55.0,43.74228
463,15.0,53.88888
464,90.0,80.40217
465,35.0,61.793602
466,90.0,69.98433
467,80.0,71.96634
468,55.0,73.61215
469,35.0,61.82137
470,90.0,61.598976
471,75.0,64.98803
472,90.0,87.355034
473,75.0,47.458485
474,80.0,66.45313
475,35.0,45.54155
476,40.0,57.267727
477,25.0,57.71679
478,80.0,68.83297
479,60.0,53.99399
480,75.0,66.60052
481,100.0,85.062744
482,100.0,87.44714
483,75.0,65.51725
484,75.0,73.83104
485,100.0,63.887714
486,90.0,76.15039
487,25.0,42.78666
488,25.0,64.3215
489,55.0,45.325485
490,35.0,67.39443
491,75.0,75.784584
492,55.0,58.132725
493,100.0,81.06662
494,55.0,55.03025
