,DEPR,0
373,39.0,45.475277
374,39.0,41.212776
375,56.0,48.933056
376,50.0,47.276962
377,41.0,40.408398
378,115.0,51.10829
379,51.0,49.199226
380,41.25641026,40.464138
381,41.0,48.630695
382,52.0,45.895935
383,50.0,44.124523
384,65.0,57.297413
385,47.0,51.97778
386,39.0,46.377605
387,54.0,52.265175
388,39.0,46.07164
389,47.64102564,47.53822
390,43.0,49.750645
391,42.85714286,45.878952
392,41.0,39.58985
393,37.0,42.55238
394,37.0,41.670593
395,41.0,40.495987
396,47.51282051,47.254402
397,51.8974359,49.259182
398,64.0,44.178593
399,54.0,46.222466
400,45.41025641,43.570686
401,56.15384615,46.257217
402,43.0,46.34229
403,55.0,52.953102
404,50.0,47.25033
405,92.0,50.273018
406,37.0,44.862587
407,41.20512821,41.276733
408,46.0,46.410854
409,43.0,42.867878
410,47.0,45.604618
411,39.0,47.052227
412,56.15384615,47.62723
413,37.0,39.7256
414,51.0,44.02853
415,84.0,48.20118
416,56.0,49.63092
417,57.95238095,51.19524
418,47.0,49.704433
419,56.04761905,39.1399
420,66.0,51.491245
421,51.0,48.12142
422,67.0,52.866383
423,58.0,54.323452
424,37.0,48.316525
425,57.95238095,44.256977
426,37.0,46.167522
427,43.0,43.44906
428,43.0,40.61894
429,68.0,49.865322
430,37.0,45.77628
431,60.0,49.460583
432,54.0,52.230747
433,43.38461538,44.89546
434,43.0,42.586033
435,86.0,49.59276
436,37.0,41.206078
437,43.0,48.132908
438,40.95238095,45.66248
