,SOC_SK,0
0,40.75,51.208492
1,63.0,51.864418
2,50.0,49.26513
3,53.0,55.0586
4,55.0,45.526714
5,58.0,59.712143
6,37.66666667,47.687
7,45.0,45.366524
8,44.16666667,51.252274
9,49.0,50.66211
10,49.0,55.28939
11,41.0,50.334084
12,45.0,51.24402
13,57.0,58.019997
14,60.33333333,59.918415
15,44.0,47.436954
16,34.0,53.904472
17,36.0,43.305416
18,59.0,48.631245
19,35.0,42.85784
20,46.0,50.18172
21,68.0,54.748615
22,52.0,51.848724
23,53.0,52.39587
24,72.0,58.20931
25,44.0,47.25104
26,30.0,42.03939
27,31.75,48.842735
28,61.5,51.819096
29,44.0,45.393383
30,67.75,61.696575
31,42.0,43.23543
32,44.0,42.354675
33,61.0,51.89767
34,58.5,57.96715
35,54.0,47.62419
36,24.5,47.56409
37,44.0,48.332783
38,49.0,52.283253
39,43.375,51.278343
40,52.125,52.11266
41,51.0,60.100212
42,42.0,42.79846
43,42.0,48.357292
44,37.0,41.10162
45,56.0,59.516865
46,71.0,59.484528
47,51.0,48.513058
48,52.83333333,49.076565
49,43.625,48.31087
50,34.0,44.639317
51,46.0,58.555893
52,39.0,50.617863
53,40.0,41.05224
54,39.0,49.727642
