,UNUSUAL_BELIEFS,0
241,1.5,11.459281
242,0.0,10.644655
243,0.0,12.9593315
244,0.0,9.072345
245,2.0,11.991265
246,2.25,16.342226
247,0.0,14.341987
248,0.25,14.472381
249,0.75,14.598121
250,0.25,6.334027
251,1.5,12.162542
252,3.0,18.48859
253,0.75,8.789216
254,0.0,17.457201
255,0.5,14.843861
256,0.25,13.518696
257,0.25,11.884051
258,0.25,15.731617
259,1.0,13.365338
260,1.5,15.624422
261,0.0,10.403363
262,0.0,10.892293
263,0.0,6.8729057
264,0.0,12.362755
265,1.0,11.500588
266,0.75,12.152587
267,0.5,10.747291
268,0.0,9.232537
269,0.0,8.885235
270,0.25,17.157585
271,1.25,14.718662
272,0.0,13.976683
273,0.5,10.060736
274,1.5,15.319123
275,2.5,17.823734
276,0.0,8.646877
277,0.0,10.6741
278,1.5,14.619132
279,1.25,15.872941
280,1.5,12.312871
281,0.5,14.04196
282,1.5,10.177417
283,0.0,10.322036
284,1.0,11.924905
285,0.0,13.804374
286,0.75,12.519502
287,0.5,16.16879
288,0.0,8.759126
289,2.0,14.006368
290,0.0,9.310393
291,0.25,12.780389
292,1.5,17.742651
293,1.0,14.205579
294,0.0,12.507844
295,0.25,10.369493
296,0.0,10.871457
297,1.5,14.534506
298,0.0,13.611502
299,1.0,13.974341
300,0.75,12.524909
301,0.75,8.436162
302,0.0,9.784205
303,1.5,15.251543
304,0.0,8.518935
305,0.5,12.991706
306,2.5,14.160129
307,1.0,16.48312
308,0.25,7.1926255
309,0.5,14.346941
310,0.25,12.305178
311,0.0,9.88627
312,0.0,11.760501
313,0.5,14.222447
314,0.0,10.696813
315,0.0,10.676326
316,2.0,13.331708
317,0.0,10.457852
318,0.0,12.61809
319,0.25,8.441753
320,2.5,16.74993
321,1.0,12.983072
322,0.0,7.8471026
323,1.5,20.016869
324,0.0,9.5090475
325,0.25,14.373136
326,1.0,12.949271
327,0.75,12.011894
328,0.0,11.492594
329,0.0,14.793111
330,0.0,7.9743195
331,1.5,12.376953
332,2.25,16.843725
333,0.25,8.301925
334,0.0,15.251391
335,0.0,9.538932
336,1.0,15.320628
337,0.75,13.399041
338,0.5,12.619187
339,0.0,10.574358
340,0.75,13.870212
341,2.0,11.6142645
342,0.0,8.966006
343,0.0,14.937037
344,0.5,11.735441
345,0.25,16.0418
346,0.0,16.445816
347,0.25,11.923625
348,1.0,14.365845
349,0.25,14.069721
350,1.0,13.782903
351,0.0,13.438275
352,0.75,14.493754
353,0.5,12.992919
354,1.5,15.192119
355,1.75,15.2716055
356,2.5,16.311035
357,2.0,15.43009
358,1.0,11.500846
359,1.5,14.346864
360,0.25,16.687864
361,0.25,9.0088
362,0.5,7.0400724
363,1.75,12.8176985
364,1.5,21.15013
365,0.0,7.0105786
366,0.25,9.456652
367,2.25,17.38917
368,0.0,16.892344
369,1.5,16.925835
370,0.0,13.34555
371,0.0,6.95985
372,0.0,8.741023
373,0.0,8.38654
374,2.5,14.52401
375,0.0,14.111917
376,0.25,17.805239
377,0.5,11.222316
378,0.25,11.304617
379,0.25,12.349567
380,0.0,14.364159
381,0.25,10.082063
382,0.75,12.730266
383,2.75,17.721361
384,0.25,9.434432
385,0.0,11.086693
386,0.5,12.51875
387,0.0,9.995276
388,1.5,10.461335
389,0.5,12.891483
390,1.75,17.401339
391,0.0,17.052515
392,0.75,13.49942
393,0.25,14.970541
394,0.0,10.221494
395,0.5,14.155818
396,0.0,8.609015
397,1.25,16.746977
398,1.0,16.26032
399,0.0,12.958842
400,0.0,15.872605
401,1.75,19.43522
402,0.0,11.097543
403,0.5,14.494893
404,0.0,11.336134
405,0.0,9.148943
406,0.0,10.052007
407,0.0,14.344026
408,0.0,12.876386
409,1.75,13.36095
410,1.25,16.522402
411,2.25,15.830087
412,0.0,11.876335
413,0.5,13.649667
414,0.0,7.4496746
415,0.0,11.944601
