,SELFDIR,0
372,3.666666667,26.797194
373,1.333333333,21.087467
374,1.0,21.070036
375,2.0,24.339128
376,1.67,28.650661
377,0.666666667,23.384962
378,0.666666667,20.217419
379,1.333333333,26.122126
380,0.0,19.425743
381,1.0,22.344568
382,1.333333333,23.805384
383,3.333333333,25.45552
384,1.0,24.304605
385,0.0,21.987043
386,1.33,21.679976
387,1.666666667,22.730188
388,1.0,20.18397
389,0.666666667,24.807533
390,1.67,20.281084
391,0.333333333,21.373363
392,1.333333333,22.675905
393,1.666666667,24.453016
394,1.33,24.284494
395,0.666666667,21.647547
396,1.333333333,21.957117
397,2.0,22.418013
398,2.33,24.138527
399,1.0,25.207922
400,1.666666667,20.255014
401,0.666666667,22.454271
402,1.0,21.824781
403,0.666666667,21.33627
404,2.333333333,24.757586
405,1.33,22.503042
406,1.67,21.370697
407,2.0,24.616817
408,2.666666667,24.873034
