,SELFDIR,0
0,1.0,24.918165
1,1.0,21.85978
2,1.33,21.262583
3,1.0,19.918634
4,3.666666667,29.839966
5,0.666666667,20.276033
6,1.33,22.38479
7,3.0,24.994753
8,0.666666667,20.562212
9,1.333333333,22.807943
10,3.333333333,22.546095
11,3.666666667,30.240551
12,1.0,22.1328
13,1.33,22.12579
14,1.333333333,22.037416
15,1.33,16.00929
16,1.67,22.550682
17,1.333333333,25.557053
18,2.0,21.858055
19,1.666666667,23.850954
20,0.666666667,18.002867
21,1.0,20.164223
22,1.33,21.740011
23,0.0,19.855505
24,3.666666667,25.10039
25,1.33,29.544573
26,1.0,16.511845
27,2.67,26.787823
28,2.666666667,24.132988
29,2.33,23.686598
30,1.333333333,14.530008
31,0.666666667,22.442186
32,0.666666667,21.148811
33,2.333333333,23.471804
34,1.0,19.467655
35,1.666666667,21.621737
36,2.666666667,26.274727
37,1.0,20.336027
38,2.333333333,25.865192
39,1.333333333,20.157108
40,1.666666667,23.955435
41,1.0,20.822138
42,2.666666667,25.155636
43,1.666666667,23.566048
44,2.0,23.322803
45,1.333333333,21.921507
46,0.666666667,22.123938
47,1.333333333,24.39612
48,3.666666667,26.927917
49,1.0,21.207403
50,1.333333333,25.787275
51,3.0,26.36802
52,2.33,26.256006
53,1.0,23.30499
54,2.0,24.771595
55,0.666666667,22.105757
56,0.0,18.677048
57,0.666666667,21.718927
58,1.0,21.795948
59,1.0,22.047974
60,1.0,22.973473
61,0.666666667,27.006392
62,2.33,24.608658
63,2.0,24.0647
64,1.33,23.243275
65,2.666666667,24.945517
66,0.666666667,20.189716
67,2.666666667,25.728762
68,0.0,19.867495
69,2.333333333,24.65953
70,1.0,23.24559
71,0.0,20.42311
72,1.0,21.875498
73,0.666666667,21.122032
74,1.333333333,24.149117
75,2.666666667,26.586699
76,1.333333333,22.56182
77,2.0,24.955187
78,2.333333333,23.437056
79,1.0,19.615856
80,1.333333333,20.342373
81,1.0,22.55668
82,1.333333333,21.888098
83,2.666666667,26.86228
84,2.333333333,22.256279
85,1.0,21.069593
86,1.0,19.564405
87,1.0,20.23736
88,1.0,21.206594
89,1.333333333,26.682182
90,1.0,22.43831
91,1.33,24.802212
92,1.0,21.445759
93,1.0,20.29945
94,1.0,20.093729
95,0.666666667,20.107183
96,1.333333333,24.989487
97,0.666666667,23.092125
98,0.666666667,21.725286
99,2.333333333,27.800377
100,1.0,19.878057
101,1.333333333,23.159542
102,1.0,22.022764
103,1.333333333,18.67309
104,1.67,23.9355
105,1.0,22.499939
106,2.333333333,28.14599
107,3.333333333,23.794565
108,2.0,24.204485
109,1.333333333,22.342525
110,1.33,23.762733
111,0.666666667,21.537066
112,0.0,18.842802
113,4.0,25.197536
114,0.666666667,20.798414
115,0.666666667,21.884142
116,1.0,19.921259
117,2.0,24.783157
118,1.0,20.938206
119,1.333333333,25.738441
120,2.666666667,29.134241
121,0.0,21.288769
122,0.666666667,19.873442
123,0.0,14.610655
124,2.666666667,21.357187
125,0.666666667,22.540363
126,1.333333333,22.156368
127,1.666666667,22.4496
128,1.67,22.640959
129,2.33,23.422152
130,1.333333333,25.38463
131,0.333333333,23.468344
132,1.0,25.941982
133,1.0,20.811924
134,2.333333333,28.408186
135,1.33,24.275589
136,1.666666667,27.101215
137,2.666666667,22.31009
138,1.333333333,24.043608
139,0.666666667,17.666632
140,1.67,20.399817
141,2.0,22.382309
142,2.333333333,26.442726
143,1.0,18.084087
144,1.0,19.141298
145,0.666666667,19.25325
146,2.33,24.81669
147,2.0,26.520048
148,0.666666667,21.32569
149,1.333333333,23.263838
150,2.333333333,23.615572
151,1.67,22.813833
152,0.666666667,20.9819
153,1.67,21.083918
154,1.67,22.351654
155,2.333333333,26.52051
156,2.666666667,20.882084
157,2.333333333,25.924839
158,2.0,23.371153
159,2.0,21.976645
160,1.0,20.459938
161,2.33,28.9281
162,2.666666667,26.743412
163,2.0,23.179785
164,1.33,20.6205
165,1.67,20.42949
166,1.33,20.16245
167,2.333333333,23.023666
168,1.333333333,19.070742
169,1.666666667,19.642073
170,1.0,22.166437
171,3.666666667,27.623156
172,2.0,23.19264
173,2.666666667,25.381857
174,2.666666667,26.54403
175,2.666666667,22.653156
176,0.666666667,20.928192
177,1.333333333,22.300741
178,0.666666667,16.3917
179,0.666666667,17.482683
180,1.333333333,17.52542
181,1.67,19.56916
182,2.0,23.45854
