,MANIA,0
198,41.0,48.47278
199,51.0,50.947388
200,48.0,52.158905
201,54.0,52.419838
202,51.0,50.280922
203,41.0,40.142857
204,45.0,50.98798
205,41.0,42.050995
206,41.0,47.567837
207,41.0,44.172585
208,41.0,46.20783
209,44.0,43.577618
210,48.0,49.239742
211,48.0,47.82577
212,45.0,45.264824
213,77.0,60.59714
214,77.0,56.223774
215,41.0,44.474987
216,41.0,45.91894
217,45.0,46.026512
218,63.0,54.008446
219,41.0,49.173813
220,41.0,48.263115
221,41.0,48.02624
222,45.0,42.675846
223,57.0,55.700836
224,41.0,47.53629
225,45.0,47.363724
226,41.0,46.770447
227,41.0,44.7242
228,41.0,46.49101
229,47.0,46.14987
230,45.0,45.44261
231,44.0,47.222336
232,44.0,42.74196
233,57.0,59.319992
234,41.0,40.32851
235,41.0,49.622543
236,48.0,50.61586
237,41.0,43.1051
238,60.0,49.66344
239,58.0,55.988438
240,48.0,54.18792
241,48.0,49.93611
242,54.0,57.117645
243,54.0,55.841022
244,69.0,50.81056
245,54.0,57.758705
246,66.0,47.10868
247,54.0,50.133915
248,51.0,49.541916
249,50.0,52.019382
250,44.0,48.39067
251,71.0,47.712234
252,41.0,45.332638
253,54.0,54.491493
254,41.0,41.92108
255,57.0,52.85701
256,54.0,57.573532
257,48.0,51.421417
258,41.0,44.57297
259,41.0,50.837173
260,44.0,45.279892
261,41.0,47.285805
262,41.0,45.903755
263,45.0,51.615986
264,57.0,44.754898
265,48.0,45.30246
266,48.0,48.952785
267,47.0,49.05156
268,77.0,60.765156
269,41.0,43.923367
270,41.0,47.48337
271,41.0,45.13943
272,44.0,51.56364
273,54.0,51.215034
274,54.0,53.353977
275,44.0,49.23902
276,60.0,61.624126
277,44.0,53.620087
278,51.0,53.22288
279,45.0,40.22462
280,48.0,47.78758
281,60.0,52.709373
282,41.0,48.712307
283,41.0,43.164707
284,45.0,48.556423
285,51.0,55.362064
286,41.0,45.280792
287,51.0,49.87863
288,54.0,55.877308
289,41.0,48.975655
290,45.0,45.77155
291,47.0,48.628635
292,86.0,49.089157
293,41.0,40.683636
294,41.0,46.557266
295,80.0,51.230362
296,41.0,47.505394
297,74.0,53.558105
298,63.0,52.94275
299,48.0,47.569874
300,61.0,58.42698
301,69.0,56.35841
302,57.0,57.160007
303,48.0,52.64442
304,57.0,59.32986
305,41.0,43.575344
306,45.0,43.503212
307,41.0,42.76944
308,41.0,44.07832
309,55.0,50.2979
310,44.0,49.91161
311,41.0,46.13924
312,51.0,58.10825
313,41.0,48.57039
314,60.0,50.465717
315,41.0,39.9759
316,51.0,54.230087
317,41.0,41.97301
318,54.0,54.82224
319,54.0,51.057796
320,44.0,42.54517
321,48.0,49.30793
