,INTIMACY,0
337,1.67,14.156072
338,0.0,9.611422
339,1.333333333,15.010283
340,1.33,14.383749
341,2.666666667,18.008512
342,0.67,12.298159
343,0.0,13.731987
344,0.0,11.406628
345,1.666666667,17.392195
346,0.0,11.521973
347,1.0,12.383585
348,1.333333333,12.606855
349,4.0,18.923552
350,1.67,15.391269
351,0.33,14.3228445
352,1.0,13.667477
353,0.0,11.834112
354,0.0,14.383492
355,1.333333333,14.237303
356,0.0,12.609297
357,0.0,12.651442
358,0.0,12.971928
359,2.0,15.151699
360,0.0,13.269117
361,1.333333333,16.220648
362,1.333333333,16.023325
363,0.666666667,14.469288
364,3.333333333,16.188002
365,0.0,14.863088
366,3.0,15.392953
367,3.0,14.549065
368,2.333333333,15.667343
369,1.0,13.5074
370,1.333333333,13.347792
371,1.33,15.530707
372,2.0,12.100876
373,0.0,9.939875
374,0.333333333,13.862738
375,0.67,14.36421
376,0.0,12.490669
377,1.666666667,12.5024185
378,0.0,10.976572
379,0.0,10.066998
380,0.0,11.790781
381,2.666666667,13.673546
382,2.666666667,17.406092
383,0.0,11.0574875
384,1.33,13.374552
385,2.666666667,13.959558
386,0.0,13.319504
387,0.0,12.075655
388,1.333333333,14.131888
389,2.333333333,15.855099
390,0.0,11.847656
391,0.0,13.312022
392,0.0,12.692223
393,0.333333333,13.762705
394,1.666666667,14.933936
395,0.0,13.556843
396,2.666666667,16.908613
397,2.0,15.581894
398,1.666666667,15.387518
399,0.0,10.871656
400,0.33,14.393065
401,0.33,13.103024
402,2.666666667,15.1233015
403,0.33,11.354761
404,0.0,12.264087
405,0.666666667,14.666229
406,0.0,16.103647
407,1.0,11.024065
408,1.333333333,16.07049
