,SUICIDE,0
0,0.0,26.726542
1,0.0,21.611975
2,0.0,22.891655
3,0.0,36.953835
4,0.0,21.21134
5,0.0,34.59932
6,1.0,34.501747
7,0.0,21.802122
8,1.0,58.921722
9,2.0,32.31777
10,0.0,46.28313
11,0.0,41.04161
12,0.0,37.02587
13,0.0,29.937666
14,0.0,47.565556
15,0.0,16.598064
16,0.0,39.333324
17,0.0,22.945936
18,0.0,41.306
19,3.0,46.101967
20,0.0,47.18194
21,0.0,29.08043
22,0.0,39.17701
23,0.0,39.214714
24,0.0,28.416653
25,0.0,33.55868
26,0.0,33.943165
27,0.0,20.318342
28,0.0,16.661024
29,0.0,16.540758
30,0.0,41.062656
31,0.0,31.260666
32,0.0,32.96822
33,0.0,46.869
34,0.0,38.73748
35,0.0,44.19037
36,0.0,34.96045
37,1.0,23.662542
38,0.0,34.43028
39,2.0,35.19478
40,0.0,33.74567
41,2.0,55.397736
42,0.0,39.846783
43,0.0,30.73432
44,0.0,53.20429
45,2.0,51.096043
46,1.0,49.22133
47,0.0,35.999176
48,0.0,31.1364
49,0.0,41.30204
50,0.0,22.31158
51,0.0,17.38414
52,0.0,32.566906
53,3.0,36.842117
54,0.0,29.377235
