,WITHD,0
0,41.0,50.87791
1,52.0,56.698105
2,37.70833333,40.93469
3,40.0,51.4043
4,49.58333333,49.37387
5,57.0,55.608875
6,42.0,49.814945
7,58.0,46.466095
8,46.0,49.322468
9,53.0,53.23658
10,60.05555556,51.225143
11,43.0,47.757683
12,49.16666667,50.11398
13,62.0,50.31078
14,84.0,52.30526
15,69.0,55.445564
16,50.0,48.141876
17,73.0,53.3563
18,53.95833333,50.98749
19,54.0,52.768524
20,44.77777778,48.821293
21,40.0,49.106667
22,44.0,46.788982
23,40.0,48.165005
24,56.66666667,52.56655
25,54.0,52.551945
26,56.0,51.98525
27,46.0,48.504368
28,41.0,48.492054
29,40.0,48.024017
30,44.0,50.595142
31,44.0,50.0249
32,50.94444444,51.542156
33,42.0,44.280712
34,73.0,56.202343
35,55.5,44.96919
36,60.0,46.13768
37,59.375,47.222786
38,43.0,43.967163
39,43.75,46.652058
40,57.0,51.7267
41,43.0,51.494522
42,61.0,52.63706
43,54.0,53.06138
44,62.0,49.21398
45,35.0,45.968052
46,82.0,50.860252
47,54.0,54.267612
48,60.0,52.976505
49,49.0,50.20945
50,43.0,50.0481
51,38.0,48.287243
52,53.0,53.611877
53,45.83333333,53.943493
54,82.0,50.140533
