,ADAPT,0
204,47.0,46.56537
205,61.0,51.937187
206,47.0,48.61373
207,54.0,49.582485
208,63.33333333,54.84781
209,38.0,43.68606
210,67.0,48.029938
211,35.33333333,47.493763
212,42.0,42.504925
213,56.0,53.936806
214,47.0,48.29897
215,47.0,49.744347
216,37.66666667,47.63754
217,63.33333333,50.906162
218,61.0,48.559147
219,42.0,46.86902
220,56.0,47.54962
221,40.0,47.717064
222,37.66666667,49.55646
223,59.0,46.210022
224,40.0,37.7412
225,52.0,49.293034
226,44.66666667,47.275326
227,49.0,46.206654
228,54.0,53.448013
229,68.0,58.1645
230,68.0,59.653038
231,35.625,42.27425
232,59.0,47.907825
233,38.0,45.154926
234,56.0,52.224194
235,54.0,53.436848
236,35.33333333,51.175243
237,49.0,46.212933
238,42.33333333,47.505856
239,33.0,51.46683
240,54.0,55.22115
241,49.33333333,50.849247
242,49.0,44.63319
243,49.33333333,49.809013
244,40.0,47.69663
245,47.0,50.30455
246,52.0,44.837513
247,68.0,53.2618
248,42.0,48.568348
249,56.0,56.334396
250,45.0,50.050213
251,61.0,49.222942
252,63.33333333,52.573406
253,52.0,47.174133
254,23.66666667,48.697548
255,37.66666667,50.04714
256,26.0,46.49879
257,40.0,49.80766
258,49.33333333,50.350433
259,59.0,51.400383
260,53.0,53.43166
261,40.0,46.84749
262,58.66666667,51.731174
263,52.0,51.970608
264,47.0,48.550457
265,66.0,47.785915
266,53.0,53.200054
267,42.0,49.211666
268,44.66666667,46.381054
269,42.0,43.777737
270,29.0,47.41623
271,49.0,48.68265
272,45.0,45.625034
273,47.0,49.762238
274,49.0,49.434246
275,54.0,47.777935
276,63.0,51.919125
277,62.0,51.946625
278,57.0,51.55079
279,47.0,48.293606
280,47.0,46.098366
281,42.0,45.36996
282,45.0,52.085556
283,56.0,49.649967
284,58.0,48.926014
285,50.0,48.757267
286,24.0,47.222958
287,56.33333333,52.852913
288,45.0,46.627792
289,54.0,54.27383
290,51.66666667,51.487026
291,49.0,51.859158
292,45.0,44.977123
293,49.0,49.887524
294,52.0,48.867527
295,47.0,48.17032
296,33.0,47.960117
297,56.0,56.433613
298,62.0,51.192104
299,56.0,55.62489
300,54.0,50.287823
301,47.0,53.93411
302,56.0,53.14224
303,49.0,50.668835
304,68.0,51.717896
305,42.33333333,43.36938
306,44.66666667,47.552505
307,59.0,48.53061
308,42.33333333,52.614277
309,45.0,53.76013
310,49.0,49.37864
311,52.66666667,52.003075
312,40.0,44.988804
313,50.0,49.390068
314,35.0,48.271038
315,51.66666667,52.373146
316,49.33333333,51.788055
317,45.0,45.307816
318,35.0,45.40588
319,58.66666667,52.504284
320,49.0,42.946568
321,37.66666667,49.20659
322,42.0,43.963146
323,44.66666667,45.870914
324,42.0,52.138927
325,68.0,56.711727
326,46.0,45.874947
327,49.0,48.30988
328,66.0,52.66966
329,42.0,50.66285
330,55.0,47.46539
331,53.0,52.28828
332,35.0,48.43637
333,29.0,48.973454
334,30.66666667,47.920002
335,66.0,44.57718
336,56.0,47.824116
337,63.0,45.085945
338,47.0,46.605587
339,45.0,50.32536
340,59.0,59.466854
341,40.0,41.37065
342,33.0,46.815327
343,47.0,49.7764
344,42.0,44.57056
345,44.0,50.925934
346,40.0,46.761013
347,56.0,52.891743
348,29.0,47.340656
349,56.33333333,56.930614
350,58.66666667,50.089764
351,52.0,53.765625
352,49.0,48.685932
353,52.0,52.996395
354,38.0,53.069508
355,48.0,49.533672
356,66.0,52.512074
357,69.0,51.75275
358,65.66666667,54.282116
359,40.0,43.67049
360,49.0,51.734287
361,68.0,50.827286
362,33.0,46.024567
363,47.0,50.03017
364,49.0,47.311504
365,47.0,47.389023
366,53.25,55.22475
367,47.0,49.081203
368,24.0,44.416412
369,56.0,50.47715
370,60.0,51.200356
371,60.0,49.477703
372,40.0,44.869404
373,34.0,45.612476
374,52.0,51.965725
375,35.0,51.7612
376,68.0,47.47685
377,53.25,51.36263
378,69.0,49.061214
379,63.33333333,48.881413
380,47.0,49.623215
381,49.0,49.85477
382,50.0,49.44325
383,51.66666667,51.08659
384,59.0,47.7762
385,49.33333333,48.33165
386,56.0,52.078938
387,49.0,51.285976
388,64.0,44.00222
389,54.0,50.694607
390,52.0,51.925156
391,56.33333333,48.60464
392,54.0,53.479473
393,49.0,46.224033
394,59.0,51.650303
395,59.0,52.902523
396,26.0,48.04272
397,38.0,45.543568
398,56.0,53.783543
399,49.0,46.05265
400,35.33333333,47.691288
401,47.0,46.914135
402,51.0,51.81515
403,45.0,46.603306
404,49.0,47.509457
405,59.0,52.772015
406,40.0,49.641712
407,35.0,52.885082
408,66.0,52.435486
409,45.0,51.7232
410,38.0,49.733307
411,42.0,44.697712
412,52.0,53.159824
413,61.0,53.74357
414,51.66666667,49.22971
415,44.66666667,50.330975
416,45.0,46.914963
417,40.0,46.383404
418,54.0,50.161327
419,47.0,46.606922
420,49.0,49.203857
421,47.0,50.182297
422,45.0,45.88247
423,24.0,54.900406
424,51.0,45.695686
425,59.0,50.591724
426,53.25,51.24516
427,42.0,50.828312
428,49.0,47.280766
429,49.0,48.50411
430,51.0,51.18266
431,67.0,49.043427
432,61.0,56.863354
433,49.0,53.366074
434,62.0,51.3182
435,38.0,47.706055
436,52.0,49.912464
437,63.0,58.841885
438,40.0,46.95212
