,SUSPICIOUSNESS,0
0,2.0,17.60635
1,0.5,13.754136
2,0.25,13.028973
3,0.5,13.199721
4,0.0,17.065453
5,0.0,7.138942
6,0.75,14.050727
7,2.0,16.367115
8,2.25,16.446083
9,0.25,12.126057
10,0.0,15.977663
11,0.5,10.740409
12,0.0,12.546612
13,1.5,15.330433
14,1.0,17.163815
15,0.5,16.995644
16,1.75,16.62788
17,0.5,17.02613
18,2.5,18.924011
19,0.0,13.733282
20,0.25,14.175981
21,1.5,12.433939
22,0.0,9.804346
23,0.25,11.161641
24,0.25,11.623276
25,0.25,16.924908
26,0.0,11.240644
27,0.75,14.835564
28,0.75,14.834597
29,0.75,13.765104
30,2.0,17.1844
31,0.0,9.581212
32,0.5,13.707782
33,0.0,18.911085
34,0.75,12.8845215
35,0.0,19.690493
36,0.25,8.973072
37,0.75,12.867922
38,0.0,16.342648
39,0.5,11.284942
40,2.75,17.515682
41,0.0,13.9287615
42,0.0,16.084114
43,0.0,13.070683
44,0.0,11.875821
45,0.5,13.374336
46,2.5,19.785038
47,1.25,12.999361
48,1.25,16.85426
49,1.25,13.740144
50,0.25,12.796855
51,0.25,7.5958843
52,1.0,13.489935
53,0.25,11.8331375
54,2.0,18.46027
55,0.25,12.261557
56,1.0,15.580469
57,0.25,10.065096
58,0.75,11.063306
59,1.0,13.403317
60,0.0,11.752279
61,0.0,9.258825
62,0.0,9.269142
63,0.0,16.81351
64,0.0,13.944
65,0.5,14.801742
66,1.5,18.62241
67,1.75,11.072603
68,1.0,14.667989
69,0.5,14.501469
70,1.75,17.485676
71,0.25,18.93509
72,0.5,15.865472
73,0.0,13.774486
74,0.0,13.109453
75,1.0,19.435709
76,0.0,14.429785
77,1.0,13.897978
78,0.75,18.819195
79,0.5,10.775813
80,0.5,10.456985
81,1.5,17.14545
82,0.5,11.701796
83,2.0,14.9786
84,0.5,17.927155
85,0.0,15.749222
86,1.0,13.763525
87,0.0,14.686695
88,0.25,11.448897
89,0.75,11.345678
90,2.25,17.63099
91,1.5,22.780739
92,1.0,15.680853
93,0.0,12.134864
94,0.0,11.418607
95,0.0,16.296722
96,0.5,13.336344
97,0.0,11.306513
98,0.5,14.629585
99,0.0,12.61775
100,1.75,17.89428
101,0.0,8.909685
102,0.0,17.705948
103,0.0,16.945698
104,0.0,13.636917
105,2.0,14.923285
106,0.0,8.785948
107,1.25,15.7322855
108,0.0,15.30085
109,0.0,11.272818
110,0.0,12.131927
111,0.25,13.451673
112,0.25,6.7859683
113,0.0,14.645091
114,0.0,11.7850275
115,0.75,17.691792
116,1.0,15.4810505
117,1.0,17.847065
118,0.5,10.345381
119,0.0,12.107622
120,1.0,14.683301
121,0.5,16.355192
122,1.5,17.08479
123,0.25,11.266449
124,1.75,16.90185
125,0.75,12.522797
126,0.5,16.007637
127,0.75,12.874881
128,0.5,12.278442
129,0.5,16.902014
130,1.5,20.545307
131,1.0,18.470005
132,1.5,20.417171
133,1.5,15.923183
134,0.5,19.358454
135,1.25,11.2471075
136,0.5,19.447975
137,0.75,16.368067
138,0.25,13.207597
139,1.25,13.832048
140,0.25,14.5960655
141,0.75,14.458332
142,1.0,13.81189
143,0.0,12.2627735
144,2.0,15.996944
145,0.0,11.721491
146,0.5,7.084351
147,2.5,21.36462
148,0.0,8.026865
149,1.75,15.268417
150,0.0,9.692626
151,0.75,13.23757
152,1.5,16.845833
153,0.75,10.944495
154,0.0,13.326542
155,1.5,19.69978
156,0.5,13.260035
157,2.25,19.241287
158,0.5,18.517414
159,0.75,11.304613
160,0.75,17.113361
161,1.0,17.795937
162,2.0,13.423696
163,2.5,23.746773
164,0.0,11.97975
165,0.25,17.167494
166,0.0,6.890939
167,1.0,14.392878
168,0.75,12.045956
169,0.75,16.281902
170,1.25,17.531418
171,0.75,14.271093
172,1.5,16.514853
173,0.25,16.296494
174,2.0,14.587103
175,0.0,14.163763
176,2.25,18.293596
177,0.5,11.589132
178,0.75,14.665692
179,0.0,11.980578
180,0.0,14.579031
181,0.25,13.908642
182,0.75,14.395162
183,1.0,13.900335
184,0.25,14.203215
185,0.0,12.095981
186,0.0,14.106171
187,0.0,13.951958
188,0.5,12.624926
189,0.75,17.218536
190,0.25,16.450823
191,0.75,14.275621
192,0.25,14.303668
193,0.75,15.865398
194,0.75,16.80476
195,0.5,14.479931
196,0.0,11.756044
197,0.25,9.106381
198,2.25,15.1667
199,1.5,13.034306
200,0.25,9.603813
201,0.0,11.817166
202,0.0,13.8501215
203,0.0,13.059269
204,0.0,9.955732
205,0.75,13.314446
206,1.75,22.90932
207,2.0,17.599901
208,1.0,16.753565
209,2.25,15.394987
210,0.75,15.539286
211,0.0,10.939819
212,2.0,20.47543
213,0.0,11.858721
214,0.0,16.304014
215,0.0,13.836826
216,0.0,9.589169
217,1.25,14.621733
218,1.0,16.700874
219,1.5,15.133839
220,0.75,10.487117
221,1.25,18.688318
222,0.5,16.953262
223,2.75,14.3876915
224,2.0,18.145136
225,1.0,14.973017
226,0.0,15.930821
227,1.25,8.8630295
228,1.75,19.180367
229,2.0,16.758875
230,1.5,15.20985
231,0.25,8.034684
232,0.25,13.373121
233,0.75,12.94388
234,0.0,10.219165
235,1.5,16.091064
236,0.0,12.779001
237,0.0,19.798632
238,0.75,15.994612
239,0.25,11.421547
240,1.0,19.876507
241,0.25,12.827818
242,2.75,17.598969
243,1.0,15.622279
244,1.5,10.614422
245,1.75,18.969524
246,0.0,11.573875
247,0.0,16.959034
248,2.0,15.806549
249,0.25,7.8689027
250,2.5,25.698595
251,0.75,18.719076
252,1.75,15.815081
253,0.75,12.55205
254,0.25,14.374298
255,0.5,20.787706
256,0.25,16.73418
257,1.75,18.026176
258,0.75,15.099776
259,0.25,13.977835
260,1.0,17.46244
261,0.25,11.998942
262,0.0,12.044657
263,0.0,16.260086
264,0.0,16.770603
265,0.5,13.851355
266,0.25,13.733673
267,1.25,15.117407
268,0.25,11.372815
269,1.0,18.317837
270,0.75,18.537853
271,1.0,16.133833
272,0.0,12.595981
273,2.0,17.414268
274,0.75,15.466209
275,0.5,15.027103
276,0.75,16.028244
277,0.5,11.074356
278,0.5,10.166439
279,0.75,16.614063
280,0.5,14.127698
281,1.25,16.251648
282,0.0,18.059519
283,1.5,13.357476
284,0.0,15.983543
285,0.75,16.323189
286,0.0,11.473443
287,0.0,9.882047
288,0.0,13.935505
289,1.25,20.03203
290,0.0,10.92252
291,0.5,9.719793
292,1.25,17.40842
293,1.5,17.62882
294,0.25,19.526747
295,0.0,11.593405
296,2.0,19.281796
297,2.5,16.079494
298,1.25,16.70045
299,0.5,12.187817
300,0.75,19.856203
301,0.75,13.121728
302,2.25,16.740486
303,1.75,15.7770195
304,1.0,13.719738
305,0.75,12.77124
306,0.25,16.348143
307,0.0,14.507816
308,0.5,11.131735
309,0.0,18.145483
310,0.5,13.06485
311,0.25,11.702645
312,0.25,8.5675125
313,0.0,16.84249
314,0.0,9.624327
315,1.0,9.831527
316,1.5,13.029905
317,0.0,15.316559
318,0.0,12.010274
319,0.5,15.801287
320,0.75,12.095645
321,0.0,16.56377
322,2.25,15.748117
323,0.0,14.25461
324,0.0,12.5679
325,1.25,18.104452
326,0.0,11.132378
327,0.25,15.275694
328,0.5,16.0741
329,0.25,16.242643
330,0.0,12.401634
331,3.0,19.15332
332,0.0,12.987421
333,1.0,14.807251
334,1.5,19.519438
335,0.0,18.275043
336,0.25,13.906435
337,0.25,17.617817
338,2.25,21.860878
339,0.0,12.20978
340,0.0,13.125601
341,1.25,17.105755
342,0.75,16.57455
343,0.25,11.387941
344,1.5,9.532479
345,1.75,16.628588
346,0.25,11.179396
347,0.0,7.7885556
348,0.0,12.730062
349,2.0,18.39307
350,0.0,11.069985
351,0.5,15.343585
352,0.75,19.828335
353,0.25,14.880449
354,0.0,12.980387
355,1.75,17.258902
356,0.75,18.930084
357,2.25,16.476322
358,0.25,18.200533
359,0.0,17.691095
360,1.5,13.598217
361,0.5,17.923845
362,0.25,8.644895
363,0.25,13.548174
364,0.0,12.710594
365,2.25,18.540174
366,0.25,13.349009
367,0.25,10.930981
368,0.25,13.542379
369,1.25,16.652359
370,1.25,16.34285
371,1.25,12.389315
372,0.5,12.080547
373,1.5,15.169708
374,0.0,13.421391
375,0.0,16.242805
376,2.25,16.33189
377,0.0,13.900481
378,0.0,10.056892
379,0.0,12.589669
380,2.5,20.70284
381,3.0,19.383717
382,0.5,15.040562
383,0.5,16.916985
384,2.0,14.250936
385,1.5,14.885859
386,1.5,16.487122
387,0.0,19.54641
388,0.75,15.1106825
389,1.75,15.647932
390,2.25,17.934881
391,1.0,16.311083
392,0.0,12.304462
393,2.75,22.204535
394,0.25,20.401169
395,2.25,18.956268
396,1.0,17.922333
397,0.0,12.860256
398,1.0,15.1567745
399,1.75,16.381657
400,0.75,14.6153145
401,0.25,9.02339
402,0.25,14.602949
403,0.0,11.196785
404,0.0,12.123381
405,1.25,15.379544
406,1.25,10.914264
407,0.75,15.36123
408,0.0,9.936402
409,0.0,14.203379
410,0.0,16.869255
411,2.75,20.935974
412,0.5,10.987724
413,2.25,21.11348
414,1.75,20.17468
415,0.0,10.6389675
