,HYPER,0
0,35.0,44.897774
1,45.0,52.105526
2,39.0,47.457912
3,41.0,45.65045
4,48.0,49.068058
5,49.0,48.516155
6,56.0,45.22734
7,69.0,49.084755
8,63.0,61.74656
9,53.08333333,53.485535
10,50.0,49.87856
11,40.16666667,51.330082
12,43.0,43.793644
13,48.0,47.427303
14,83.0,45.96094
15,64.0,49.447773
16,45.0,52.00179
17,57.0,48.191303
18,57.0,48.323833
19,44.0,44.84507
20,45.0,46.208923
21,54.25,52.50856
22,45.625,45.918056
23,66.66666667,49.40932
24,40.0,40.68042
25,41.0,49.273594
26,44.5,48.085762
27,77.0,56.182266
28,38.0,46.730583
29,78.0,48.16045
30,41.33333333,42.165462
31,42.0,42.030872
32,43.66666667,45.583443
33,45.0,47.315098
34,52.0,46.166416
35,40.16666667,41.40283
36,45.0,45.248505
37,48.0,45.07459
38,42.0,43.669926
39,35.0,43.600082
40,50.5,48.627285
41,49.0,50.80102
42,58.0,53.348442
43,35.0,45.829105
44,66.66666667,51.804737
45,44.5,48.130585
46,50.0,50.145157
47,58.25,48.738926
48,58.33333333,52.593227
49,49.0,48.524387
50,38.0,45.67639
51,44.0,45.62977
52,47.91666667,49.098618
53,51.0,51.130154
54,42.75,48.19606
