,ATYPI,0
0,44.0,46.144585
1,54.0,44.44709
2,64.7,60.605576
3,43.0,40.74115
4,67.0,53.57321
5,59.0,43.880287
6,46.0,41.36866
7,59.43333333,40.49879
8,41.0,45.13505
9,43.0,41.654655
10,51.0,45.14027
11,57.0,51.06372
12,59.0,46.200768
13,46.26666667,42.899815
14,51.12820513,44.075
15,46.0,42.474712
16,82.0,60.8549
17,54.0,46.07079
18,63.28205128,47.70855
19,67.33333333,56.527077
20,54.16666667,50.032055
21,43.63333333,39.32706
22,49.0,46.26584
23,51.53333333,45.926228
24,41.0,37.34238
25,41.0,40.244427
26,49.0,42.002205
27,71.0,49.015705
28,59.0,52.65255
29,41.0,38.843414
30,52.0,44.414803
31,46.26666667,37.995068
32,49.0,40.3991
33,41.0,46.57919
34,46.26666667,41.87165
35,43.63333333,46.624516
36,67.0,59.851875
37,59.0,47.736237
38,51.53333333,42.849922
39,41.0,46.015682
40,59.0,47.857246
41,41.0,41.867374
42,54.0,49.068844
43,73.0,47.68088
44,41.0,42.06871
45,41.0,44.45422
46,96.0,51.81653
47,51.0,43.698147
48,55.0,44.392963
49,69.0,55.021507
50,49.0,42.43541
51,44.0,46.706154
52,46.26666667,40.959343
53,43.63333333,41.951824
54,59.0,53.16402
55,41.0,38.444958
56,54.16666667,55.59829
57,53.0,39.56333
58,41.0,40.025547
59,65.0,53.638996
60,46.0,37.34827
61,43.02564103,44.000813
62,41.0,45.341522
63,41.0,42.115
64,47.0,43.94093
65,41.0,39.076206
66,41.0,38.988956
67,41.0,45.290928
68,41.0,33.262825
69,45.0,40.35224
70,59.43333333,48.488335
71,41.0,39.623085
72,48.0,44.212555
73,63.0,47.674614
74,45.0,42.14126
75,65.30769231,42.143982
76,41.0,43.68472
77,46.0,45.26937
78,43.02564103,41.443005
79,49.0,42.087
80,51.0,46.95721
81,45.0,40.60796
82,46.0,40.381798
83,53.0,43.95582
84,65.0,48.036674
85,51.0,44.34412
86,43.63333333,35.141884
87,41.0,47.90416
88,99.0,48.491302
89,43.0,41.57006
90,44.0,45.228447
91,51.0,46.6497
92,54.16666667,49.673702
93,79.48717949,53.971348
94,53.0,48.10473
95,65.0,55.418896
96,43.63333333,40.447117
97,49.1025641,42.786747
98,56.8,51.338722
99,43.0,50.434494
