,ATYPI,0
420,49.0,46.707287
421,46.26666667,37.572582
422,45.0,43.024025
423,41.0,43.11171
424,59.43333333,53.717976
425,47.0,42.34871
426,45.0,41.465538
427,41.0,40.475155
428,59.0,52.626366
429,41.0,40.007935
430,44.0,47.342754
431,41.0,36.029564
432,65.0,47.92722
433,65.0,51.45434
434,46.26666667,42.257755
435,41.0,43.429863
436,41.0,38.649696
437,45.0,40.045216
438,43.0,44.387035
