,SOMAT,0
0,40.0,41.21837
1,47.0,45.620544
2,35.0,45.57388
3,45.3030303,41.910374
4,47.0,44.062187
5,40.0,45.694397
6,43.0,41.776318
7,35.0,44.15827
8,42.0,41.94576
9,40.0,46.474926
10,42.0,44.42047
11,36.0,42.008224
12,56.25,43.616196
13,42.72727273,43.420013
14,35.0,46.010143
15,48.0,46.694695
16,39.30555556,43.90627
17,56.0,41.97572
18,38.0,39.931866
19,64.0,45.779984
20,49.16666667,48.203014
21,44.0,43.882942
22,37.0,44.375458
23,60.0,47.933342
24,42.72727273,44.40036
25,63.0,47.633396
26,45.0,43.925037
27,45.0,44.503952
28,78.78787879,46.249718
29,38.0,38.440037
30,38.0,41.29079
31,58.0,46.20668
32,50.0,47.74612
33,51.0,45.53207
34,49.0,38.87778
35,36.0,41.605045
36,53.0,49.33405
37,38.0,39.07173
38,35.0,43.252674
39,43.0,43.635143
40,48.0,45.207203
41,38.0,46.972332
42,37.57575758,40.847725
43,53.0,42.1579
44,45.3030303,36.86001
45,71.0,53.456047
46,35.0,40.577404
47,56.0,49.177303
48,35.0,39.523537
49,35.0,42.72815
50,53.0,46.28876
51,37.36111111,44.193268
52,37.0,39.99864
53,50.0,49.84742
54,79.0,48.52904
55,49.0,43.27011
56,60.0,45.67467
57,43.0,40.4641
58,44.0,40.880054
59,37.57575758,43.274883
60,55.60606061,45.215088
61,38.0,46.0539
62,40.0,45.304775
63,47.87878788,44.86746
64,35.0,42.284245
65,39.0,42.73808
66,35.0,40.6052
67,46.22222222,44.889404
68,66.0,46.064163
69,38.0,39.07395
70,42.0,41.204277
71,43.0,49.71907
72,71.06060606,51.007957
73,55.60606061,45.834347
74,73.0,51.677647
75,55.0,44.274124
76,44.0,46.138523
77,79.0,60.0131
78,38.0,39.503426
79,37.36111111,43.553207
80,47.87878788,41.050106
81,37.57575758,37.46377
82,42.72727273,43.75513
83,45.0,43.74221
84,74.0,46.15361
85,40.15151515,46.80706
86,35.0,41.030254
87,63.33333333,46.939636
88,40.15151515,39.56429
89,37.0,35.042984
90,44.0,46.180576
91,44.0,43.05978
92,44.0,44.118557
93,45.3030303,43.370174
94,40.0,49.506584
95,43.0,40.957253
96,35.0,43.538223
97,97.0,48.72293
98,48.0,47.402916
99,50.0,46.266308
100,36.0,44.01589
101,43.0,41.978073
102,48.0,42.546448
103,35.0,41.704884
104,50.45454545,46.206867
105,40.15151515,45.11297
106,46.0,44.353905
107,37.57575758,41.269844
108,51.52777778,45.389484
109,35.0,48.783546
