,SOMAT,0
281,79.0,40.66999
282,41.61111111,40.134052
283,40.0,41.51545
284,35.0,42.760647
285,51.0,46.68896
286,65.0,55.37691
287,50.0,45.097893
288,45.0,45.683506
289,35.0,44.471226
290,43.0,45.73166
291,56.0,44.332806
292,37.0,42.569862
293,44.0,41.244076
294,84.0,45.988785
295,42.0,45.73316
296,40.0,43.09875
297,53.0,48.35173
298,35.0,42.878525
299,35.0,42.601353
300,43.0,42.36596
301,42.72727273,46.24951
302,40.0,40.037067
303,40.0,43.227997
304,38.0,44.05281
305,54.0,46.440804
306,45.0,43.070023
307,35.0,45.698807
308,48.0,46.874847
309,55.60606061,47.9717
310,37.0,36.499264
311,53.03030303,38.501724
312,48.0,47.107975
313,37.0,39.12266
314,83.0,45.68066
315,40.0,40.477833
316,55.0,45.931976
317,46.0,43.947712
318,41.0,45.27949
319,37.57575758,41.8907
320,63.0,47.59334
321,38.0,42.179348
322,51.0,45.083057
323,40.66666667,41.113796
324,40.0,47.991367
325,47.87878788,47.72494
326,56.0,48.748116
327,35.0,47.320694
328,48.0,48.84058
329,60.97222222,59.30716
330,61.0,48.07733
331,65.0,44.015938
332,48.0,45.02935
333,35.0,36.116352
334,38.0,40.529987
335,35.0,48.955303
336,38.0,45.63948
337,35.0,43.423084
338,58.18181818,50.965054
339,37.0,46.133106
340,37.57575758,43.4391
341,61.0,40.697086
342,63.0,44.896214
343,46.0,44.405235
344,35.0,41.717216
345,37.0,36.977592
346,46.80555556,42.30325
347,45.0,44.781017
348,40.0,40.27841
349,35.0,36.60303
350,38.33333333,38.7206
351,35.0,46.50954
352,56.25,55.836723
353,74.0,40.582993
354,40.15151515,47.65486
355,90.0,44.195614
356,38.0,49.671898
357,46.0,47.328594
358,40.0,41.825596
359,55.0,51.525333
360,81.0,45.953594
361,45.0,45.057537
362,45.0,44.599785
363,50.0,48.60704
364,45.3030303,44.683743
365,43.91666667,43.426712
366,66.0,53.52263
367,46.0,44.04695
368,44.0,44.80979
369,50.45454545,46.794746
370,50.0,43.581074
371,37.0,50.533783
372,42.0,41.03852
373,42.0,44.20236
374,36.0,42.9877
375,46.22222222,44.863663
376,45.0,42.00101
377,35.0,43.890896
378,87.0,45.5208
379,39.72222222,38.409748
380,52.0,51.296818
381,42.72727273,41.32694
382,45.0,45.559357
383,42.0,41.84075
384,48.0,47.440365
385,39.0,40.38991
386,38.0,38.22177
387,45.0,45.19143
388,40.0,38.817394
389,41.0,40.95515
390,40.0,39.80164
391,38.0,41.272182
392,37.57575758,42.010376
393,43.0,43.44896
394,39.0,42.23282
395,39.30555556,42.894005
396,42.72727273,41.751232
397,40.0,39.56871
398,36.0,42.82217
399,37.0,43.012455
400,41.0,41.271317
401,66.33333333,43.797195
402,35.0,42.53122
403,56.0,44.081146
404,53.0,45.697742
405,70.0,47.485603
406,52.0,45.126358
407,45.0,42.597946
408,60.0,44.3115
409,58.18181818,44.55215
410,66.0,51.159737
411,49.0,47.15527
412,47.87878788,47.34994
413,68.0,43.21951
414,40.0,39.263817
415,40.0,40.632046
416,38.0,40.780685
417,43.0,42.802902
418,45.0,41.47704
419,39.72222222,42.28558
420,42.08333333,42.40273
421,35.0,39.038548
422,43.0,42.50968
423,35.0,40.673607
424,40.0,47.2639
425,35.0,38.84428
426,56.0,43.00442
427,38.0,42.657406
428,58.0,41.507282
429,43.0,49.11209
430,39.30555556,41.5283
431,53.88888889,41.531197
432,35.0,42.440903
433,42.0,41.297134
434,55.0,48.56688
435,50.0,41.859924
436,47.87878788,50.61251
437,35.0,42.518635
438,37.57575758,42.36706
