,RFM,0
271,60.0,58.620304
272,95.0,55.234333
273,80.0,67.63423
274,100.0,71.26695
275,10.0,58.777946
276,95.0,62.263542
277,35.0,44.44874
278,65.0,54.257378
279,65.0,64.173615
280,35.0,48.915344
281,25.0,56.27129
282,65.0,65.386444
283,35.0,57.610607
284,35.0,50.618412
285,25.0,60.9556
286,35.0,53.41042
287,20.0,46.895214
288,100.0,64.46684
289,80.0,72.34888
290,80.0,58.098206
291,60.0,62.90664
292,5.0,53.975452
293,35.0,67.808685
294,95.0,74.1586
295,80.0,49.616394
296,25.0,48.802605
297,100.0,63.645485
298,85.0,71.22103
299,35.0,48.103012
300,5.0,59.940346
301,100.0,53.973797
302,100.0,64.917015
303,95.0,65.80591
304,20.0,69.39566
305,95.0,68.283394
306,80.0,59.995186
307,10.0,60.81095
308,95.0,61.414856
309,80.0,60.128494
310,35.0,63.97872
311,20.0,51.29939
312,20.0,54.577988
313,85.0,61.97854
314,65.0,41.08145
315,60.0,59.59467
316,85.0,74.9025
317,45.0,72.51713
318,35.0,55.9855
319,45.0,52.837334
320,65.0,59.07803
321,35.0,50.109108
322,10.0,54.542206
323,65.0,50.161366
324,35.0,41.19902
325,20.0,51.88721
326,80.0,56.96384
327,10.0,51.836666
328,95.0,76.15248
329,20.0,59.464928
330,45.0,46.13008
331,100.0,55.04174
332,60.0,59.897873
333,10.0,51.56775
334,35.0,65.0918
335,65.0,64.11818
336,60.0,65.510895
337,60.0,44.912163
338,20.0,49.325466
339,60.0,60.940186
340,65.0,68.92804
341,25.0,50.772507
342,20.0,57.58286
343,35.0,62.212143
344,5.0,44.165768
345,80.0,70.72849
346,85.0,61.811737
347,95.0,55.220226
348,60.0,64.38533
349,95.0,51.892334
350,80.0,71.31006
351,65.0,61.21527
352,35.0,59.087196
353,65.0,66.22488
354,95.0,56.602154
355,60.0,56.88534
356,60.0,53.8484
357,45.0,54.876503
358,60.0,62.742065
359,10.0,66.08946
360,85.0,58.720222
361,20.0,45.121323
362,25.0,59.451195
363,95.0,56.85648
364,100.0,55.069176
365,35.0,46.471806
366,20.0,50.504635
367,100.0,52.497715
368,100.0,82.26005
369,80.0,64.715485
370,35.0,62.732155
371,95.0,68.91995
372,95.0,60.36411
373,85.0,63.632416
374,100.0,54.698586
375,95.0,51.71264
376,45.0,58.67628
377,25.0,74.46319
378,10.0,53.11355
379,20.0,53.68569
380,80.0,73.20566
381,85.0,63.439484
382,95.0,61.580044
383,60.0,56.340057
384,25.0,51.54284
385,85.0,61.717884
386,35.0,55.297592
387,25.0,37.928616
388,20.0,60.336727
389,65.0,52.98871
390,60.0,61.639217
391,20.0,43.02089
392,35.0,54.87352
393,25.0,54.165527
394,45.0,57.67777
395,20.0,65.04804
396,45.0,43.400352
397,10.0,58.216045
398,5.0,55.296177
399,100.0,69.766815
400,5.0,62.649696
401,25.0,59.79602
402,20.0,65.80797
403,95.0,67.037346
404,95.0,62.07109
405,20.0,56.32546
406,45.0,53.142365
407,35.0,41.633835
408,60.0,60.492058
409,65.0,48.718376
410,95.0,64.00695
411,35.0,61.504776
412,100.0,58.323402
413,20.0,55.332863
414,65.0,69.1191
415,35.0,52.922955
416,80.0,72.50606
417,25.0,42.101467
418,60.0,58.46344
419,80.0,75.700775
420,60.0,62.200466
421,45.0,54.415962
422,10.0,61.890133
423,20.0,45.181816
424,100.0,54.107594
425,20.0,53.42668
426,65.0,56.87077
427,80.0,50.043118
428,60.0,51.08201
429,95.0,75.296
430,65.0,52.34408
431,35.0,63.337173
432,65.0,36.257687
433,95.0,57.72564
434,60.0,58.304195
435,35.0,73.93262
436,80.0,55.58774
437,65.0,65.91298
438,60.0,62.34642
439,20.0,59.345078
440,45.0,54.451958
441,20.0,56.446186
442,95.0,55.1109
443,25.0,62.213524
444,95.0,58.474953
445,35.0,43.053116
446,100.0,64.05058
447,5.0,53.4355
448,20.0,59.22911
449,65.0,68.04213
450,20.0,48.617535
451,5.0,59.093796
452,100.0,62.990284
453,35.0,48.64488
454,95.0,59.11167
455,45.0,61.10995
456,45.0,48.51826
457,80.0,46.16701
458,65.0,55.143845
459,5.0,60.40299
460,100.0,56.013878
461,65.0,68.38327
462,25.0,54.828854
463,95.0,60.070713
464,60.0,63.747787
465,10.0,62.99291
466,20.0,61.00731
467,65.0,67.96397
468,60.0,56.479332
469,65.0,64.122986
470,100.0,56.020325
471,60.0,52.780636
472,45.0,61.23827
473,10.0,45.707672
474,95.0,54.4572
475,10.0,60.845287
476,20.0,59.518276
477,45.0,56.520847
478,100.0,69.361885
479,95.0,62.56309
480,95.0,72.406975
481,60.0,56.047703
482,65.0,52.431957
483,95.0,49.32845
484,20.0,48.814804
485,60.0,55.06485
486,65.0,62.436928
487,100.0,55.57432
488,100.0,63.50657
489,60.0,58.129612
490,60.0,59.722084
491,20.0,51.7738
492,65.0,52.279926
493,100.0,61.12706
494,60.0,64.806725
