,SELFAFFICACY,0
289,4.5,19.829039
290,3.38,15.383722
291,5.63,19.658907
292,3.38,13.318165
293,3.88,18.60979
294,4.63,13.44779
295,4.75,17.325373
296,4.38,18.669064
297,5.13,14.58238
298,2.63,16.338554
299,4.25,15.781884
300,3.5,19.189754
301,5.25,21.114597
302,3.88,14.750185
303,4.88,18.193453
304,3.38,20.060347
305,6.13,19.723787
306,5.88,20.947435
307,4.25,22.617542
308,4.13,18.176344
309,4.88,17.764614
310,3.25,19.92655
311,6.5,23.204863
312,4.25,19.870323
313,4.13,13.966543
314,3.75,14.799381
315,6.13,24.12074
316,4.5,19.11674
317,4.88,25.326616
318,4.13,25.867147
319,4.88,23.09311
320,3.88,18.48343
321,5.25,19.794588
322,5.0,20.225378
323,6.0,19.69047
324,3.88,17.795313
325,4.25,17.248407
326,4.13,17.427189
327,5.63,21.354776
328,5.63,16.275845
329,4.75,20.16329
330,3.13,14.967665
331,6.13,19.604977
332,4.25,21.007872
333,4.25,16.630638
334,6.13,30.975552
335,4.0,20.110601
336,3.63,11.005569
337,2.88,16.840889
338,4.13,18.639849
339,4.63,22.194365
340,6.13,23.930622
341,4.13,19.782495
342,3.25,17.294018
343,5.88,18.603008
344,5.13,20.281046
345,3.75,16.49261
346,4.38,20.227339
347,4.13,18.205774
348,4.25,16.943872
349,3.63,16.84661
350,4.75,17.133247
351,6.5,11.832244
352,3.75,19.177881
353,5.0,19.229084
354,4.75,24.050013
355,3.5,15.746363
356,4.88,20.059908
357,6.25,28.944397
358,5.38,19.036055
359,3.0,20.03671
360,5.0,19.74707
361,4.63,13.008244
362,3.38,12.691517
363,4.38,16.3018
364,3.63,17.917955
365,4.0,17.447493
366,4.13,17.910208
367,5.13,18.150024
368,4.0,15.836471
369,3.88,19.557165
370,4.5,23.407122
371,3.88,21.8328
372,5.0,17.893564
373,5.25,20.58831
374,6.75,19.08809
375,4.0,17.976412
376,5.25,15.656847
377,4.25,20.595423
378,6.13,18.550276
379,4.38,13.366319
380,4.5,18.57504
381,4.88,17.671701
382,4.63,18.031736
383,4.75,20.985954
384,4.13,20.549364
385,5.25,19.892107
386,5.0,20.73672
387,2.75,13.924069
388,3.25,15.130471
389,3.63,14.863865
390,3.88,19.139082
391,3.75,16.769754
392,5.38,20.21168
393,4.75,15.2758255
394,4.0,19.346855
395,2.63,14.36252
396,5.13,20.314077
397,3.75,17.324425
398,4.13,15.499877
399,3.13,17.231918
400,5.88,18.087503
401,6.13,24.366
402,4.0,15.967371
403,5.0,21.717337
404,4.75,18.198223
405,5.5,16.363268
406,3.5,13.504393
407,3.63,19.205267
408,4.38,17.977886
409,4.13,16.349699
410,5.88,18.723463
411,4.25,14.036886
412,6.75,23.746191
413,3.63,14.983458
414,4.0,13.3565445
415,3.88,16.505987
