,AGGR,0
0,44.0,45.15676
1,51.0,48.49728
2,39.0,43.097366
3,51.0,52.714985
4,45.0,45.93276
5,63.66666667,56.42749
6,37.0,45.914764
7,50.33333333,46.432037
8,94.0,67.61984
9,44.0,45.97762
10,39.06060606,44.69424
11,48.0,47.22092
12,45.0,52.515835
13,37.0,44.90655
14,42.0,43.55982
15,55.66666667,53.1943
16,48.0,44.023598
17,44.0,42.992287
18,39.1,43.247524
19,49.6,43.8508
20,57.0,51.11113
21,41.96969697,44.649563
22,41.0,49.153767
23,37.0,39.26477
24,45.4,46.52964
25,39.0,43.8869
26,45.0,48.077065
27,54.26666667,47.0574
28,39.0,49.304848
29,42.0,42.72615
30,89.0,57.739353
31,47.0,48.610424
32,42.0,40.11364
33,43.3,43.678158
34,39.66666667,43.324677
35,39.0,38.32831
36,45.0,43.57341
37,47.66666667,48.60991
38,54.0,59.857143
39,45.24242424,46.58895
40,49.33333333,48.630596
41,62.0,57.030025
42,68.0,62.842323
43,48.0,46.637283
44,42.0,50.49332
45,41.12121212,50.967667
46,51.90909091,45.647144
47,50.0,49.760117
48,50.0,49.211945
49,44.0,44.242535
50,47.0,51.76531
51,52.8,42.14134
52,49.6,52.40375
53,37.0,41.21626
54,61.0,51.6555
