,FUN_COM,0
0,39.0,32.355785
1,38.5,37.252117
2,38.0,44.563313
3,48.0,50.029034
4,54.0,51.74307
5,37.38888889,41.64286
6,46.0,52.569683
7,32.91666667,39.490017
8,34.0,51.664623
9,57.0,36.895565
10,35.5,41.7422
11,0.0,28.89541
12,53.0,49.698242
13,40.55555556,43.65182
14,57.0,48.96628
15,54.0,47.315228
16,58.0,34.844368
17,46.66666667,45.872684
18,43.0,49.163982
19,62.25,46.22504
20,49.0,43.73204
21,58.22222222,44.024155
22,56.0,50.428062
23,35.0,33.373707
24,61.0,62.89146
25,0.0,34.189564
26,36.0,42.322582
27,52.0,50.71141
28,44.0,45.500492
29,62.0,57.336864
30,43.0,36.56879
31,60.0,32.4804
32,42.0,48.694687
33,0.0,19.689184
34,36.0,45.20202
35,51.0,44.61292
36,57.36111111,37.57214
37,53.0,40.672302
38,47.0,46.33684
39,61.0,50.69228
40,53.0,47.169422
41,67.0,57.89558
42,52.0,51.71686
43,46.0,41.962486
44,33.0,47.15083
45,65.0,65.74848
46,45.0,47.96652
47,56.0,53.38796
48,0.0,30.960571
49,44.0,49.61101
50,28.0,46.358562
51,58.0,49.930573
52,43.0,53.519764
53,43.0,35.95747
54,48.0,44.562206
