,ACUTE,0
306,3.2,29.760048
307,1.1,21.879143
308,3.1,24.689547
309,1.7,25.060684
310,2.8,30.697826
311,2.9,27.159742
312,2.9,35.366158
313,2.1,24.087284
314,1.4,23.354471
315,2.8,26.558193
316,1.6,25.04638
317,1.2,23.86353
318,2.2,30.18372
319,1.2,23.473
320,1.2,26.026924
321,1.0,31.594213
322,1.5,24.339575
323,1.9,25.987156
324,2.7,25.140844
325,1.0,21.577324
326,3.4,30.027935
327,1.8,29.36364
328,1.9,25.178822
329,2.6,24.88499
330,3.4,28.536629
331,2.1,28.275461
332,1.4,26.046097
333,3.1,29.3303
334,1.8,26.07654
335,2.7,29.78294
336,2.1,28.34112
337,2.4,29.1916
338,3.3,24.421282
339,2.5,29.937574
340,1.8,27.455973
341,2.7,33.881622
342,2.6,29.724808
343,2.7,23.917772
344,1.5,24.414148
345,2.5,24.893913
346,2.4,25.277706
347,2.8,28.272024
348,2.2,29.244017
349,2.7,29.350397
350,3.4,30.658794
351,1.5,23.00353
352,2.3,24.471563
353,3.2,26.21268
354,1.7,22.301462
355,2.3,30.617748
356,1.6,25.490047
357,1.1,20.896797
358,3.3,36.115623
359,1.5,21.791996
360,3.2,28.790915
361,3.6,30.816156
362,2.6,29.267637
363,1.4,28.369732
364,3.1,25.495941
365,1.6,28.811909
366,1.9,29.352356
367,2.2,25.682339
368,1.8,23.723942
369,1.9,28.198095
370,2.0,26.641317
371,1.2,20.746342
372,2.9,19.969296
373,2.4,33.152416
374,2.8,28.043093
375,1.7,24.84662
376,1.6,29.019194
377,1.0,21.759003
378,1.4,26.50055
379,3.0,29.90563
380,1.9,26.124619
381,1.6,25.061808
382,2.0,27.640621
383,2.6,31.666794
384,2.3,31.913471
385,2.2,27.111265
386,1.0,25.683739
387,1.1,20.047234
388,1.0,25.19789
389,1.5,23.933426
390,2.0,28.265772
391,1.6,27.577114
392,1.9,27.004543
393,3.3,28.937347
394,2.3,26.607357
395,1.3,21.137577
396,1.9,27.78442
397,1.8,30.740913
398,2.7,26.793541
399,1.1,28.187235
400,1.0,30.726738
401,3.1,32.322456
402,2.1,27.449165
403,2.6,35.66684
404,2.5,29.645624
405,3.0,29.347055
406,1.1,25.79338
407,3.2,27.085794
408,1.6,26.271973
409,1.0,22.445257
410,2.0,29.125656
411,2.5,26.689415
412,1.9,28.569569
413,2.0,24.746572
414,3.2,28.813068
415,1.7,32.992603
