,WDR,0
436,70.0,63.713882
437,55.0,49.8046
438,25.0,37.40052
439,15.0,62.21357
440,40.0,72.5292
441,10.0,37.11157
442,70.0,57.31922
443,70.0,43.32025
444,15.0,45.341114
445,25.0,46.907845
446,15.0,28.592733
447,45.0,48.427258
448,70.0,75.67242
449,25.0,19.91332
450,25.0,33.372665
451,55.0,55.19094
452,80.0,68.34522
453,90.0,75.41648
454,45.0,35.247784
455,5.0,35.727463
456,45.0,50.31222
457,60.0,66.71348
458,80.0,78.71192
459,40.0,56.718006
460,70.0,65.79182
461,60.0,64.139336
462,80.0,67.480316
463,40.0,40.272785
464,25.0,49.126453
465,15.0,45.12827
466,80.0,62.813686
467,60.0,61.265015
468,15.0,41.466503
469,5.0,44.38611
470,75.0,70.497
471,5.0,53.222065
472,45.0,62.590958
473,55.0,51.60537
474,40.0,51.23784
475,25.0,39.08874
476,5.0,34.288727
477,25.0,26.86902
478,25.0,47.600037
479,70.0,58.715878
480,80.0,66.78949
481,40.0,33.69908
482,10.0,51.20227
483,80.0,40.7082
484,95.0,62.676308
485,70.0,59.21337
486,45.0,40.93474
487,45.0,50.849068
488,55.0,48.124218
489,60.0,61.487476
490,90.0,81.701195
491,25.0,25.83792
492,55.0,57.0186
493,15.0,33.61286
494,80.0,67.21501
