,ANXIE,0
0,36.09090909,54.748444
1,36.45454545,51.480785
2,35.60606061,48.224392
3,69.0,57.40055
4,35.60606061,45.243553
5,48.0,52.362446
6,59.0,61.24975
7,35.0,44.344807
8,88.0,47.916138
9,54.18181818,55.6466
10,52.52380952,52.924503
11,32.0,47.484573
12,31.0,52.66923
13,53.0,55.763847
14,41.33333333,53.743637
15,27.0,52.35534
16,51.0,53.8654
17,55.36363636,54.921707
18,49.0,45.644627
19,80.0,54.711224
20,54.0,56.84962
21,63.0,50.14912
22,53.0,56.87962
23,51.33333333,53.24811
24,65.0,54.04246
25,60.76190476,51.27658
26,46.0,47.37392
27,53.0,55.08604
28,52.0,49.555283
29,67.90909091,50.315556
30,83.0,45.5166
31,46.0,50.82869
32,48.0,50.33275
33,40.9047619,47.656067
34,66.0,55.360615
35,52.0,51.289062
36,51.0,53.94383
37,84.0,51.729485
38,72.0,52.241566
39,43.0,52.00289
40,56.27272727,47.26404
41,63.0,49.258224
42,34.0,44.69401
43,54.96969697,59.795483
44,34.09090909,43.687607
45,49.0,52.99058
46,44.0,48.424747
47,32.21428571,50.81771
48,41.0,52.854317
49,44.38095238,45.75151
50,29.27272727,51.85814
51,79.0,51.85619
52,29.0,49.19559
53,66.0,46.836014
54,32.0,52.808304
55,56.0,49.85217
56,52.81818182,51.21503
57,40.0,49.47432
58,50.0,50.602776
59,39.90909091,50.183548
60,54.80952381,57.73945
61,47.45454545,52.36143
62,50.66666667,52.496017
63,44.57142857,46.378677
64,58.36363636,50.125786
65,29.0,49.07717
66,36.0,47.69289
67,34.0,49.47547
68,44.0,47.810276
69,71.0,58.63368
70,58.0,52.753105
71,51.0,55.09427
72,29.0,44.519016
73,41.63636364,51.24537
74,36.0,52.86395
75,72.0,52.111835
76,53.0,51.753475
77,58.0,47.04549
78,40.0,49.659004
79,41.63636364,50.742176
80,55.0,48.776783
81,39.0,44.887238
82,60.0,52.047188
83,43.0,45.778866
84,29.0,47.203434
85,70.18181818,54.733654
86,39.0,48.638325
87,36.09090909,47.270283
88,44.0,49.4291
89,82.0,51.91691
90,74.0,51.144722
91,49.72727273,50.01456
92,43.0,47.832508
93,43.0,47.5566
94,69.54545455,53.03435
95,46.0,48.92217
96,61.0,58.455624
97,54.0,56.337017
98,45.0,48.31715
99,49.72727273,48.88168
100,70.0,52.683594
101,50.0,52.346973
102,69.0,53.986115
103,67.0,54.334866
104,70.0,51.981884
105,54.18181818,51.08506
106,34.0,48.87189
107,50.63636364,51.03992
108,48.0,51.314728
109,58.0,51.035275
110,45.0,47.742622
111,60.76190476,50.219486
112,46.36363636,49.774128
113,53.0,50.215054
114,36.45454545,46.156265
115,33.0,53.40839
116,51.0,53.79642
117,46.0,47.281315
118,37.0,47.65798
119,36.45454545,48.673252
120,86.0,50.922592
121,45.0,50.861122
122,46.0,48.533092
123,53.0,56.174995
124,37.0,49.88122
125,46.11904762,47.383488
126,54.96969697,54.678886
127,44.0,49.737606
128,58.81818182,48.69947
129,44.0,46.739372
130,39.16666667,47.727077
131,29.0,50.04039
132,39.0,50.87815
133,30.0,51.693584
134,45.0,49.410713
135,68.0,55.01268
136,61.0,49.385433
137,38.0,51.01517
138,30.0,48.120342
139,29.0,50.34093
140,44.0,46.636852
141,68.71428571,50.66309
142,51.0,53.398087
143,40.0,45.961544
144,59.27272727,62.295605
145,46.0,51.67051
146,72.0,48.08522
147,41.0,48.517014
148,33.0,44.74435
149,27.0,46.320415
150,58.0,56.885727
151,39.90909091,46.989777
152,46.0,51.076977
153,62.0,59.451168
154,34.0,44.06798
155,39.54545455,49.54859
156,43.0,45.827404
157,50.0,52.601284
158,50.0,50.53601
159,30.0,48.870594
160,54.0,52.065285
161,29.0,45.742516
162,75.0,51.625885
163,42.0,48.939533
164,50.63636364,51.355297
165,34.0,50.289204
166,56.54761905,51.883118
167,39.54545455,50.931362
168,43.0,45.243877
169,27.0,51.90062
170,52.0,48.378296
171,30.0,49.322502
172,63.0,53.058502
173,46.0,49.356422
174,44.0,48.388412
175,29.0,39.7185
176,54.0,57.430923
177,42.0,47.400322
178,52.09090909,50.743412
179,62.0,51.119698
180,47.90909091,51.24167
181,55.0,52.28401
182,59.0,58.32977
183,29.0,51.000854
184,41.0,46.139248
185,46.0,48.21237
186,69.54545455,54.015427
187,71.0,52.390896
188,57.0,55.102825
189,44.21212121,49.04807
190,59.0,49.218098
191,74.0,59.523464
192,45.90909091,51.179832
193,64.81818182,48.223198
194,46.0,48.849964
195,41.0,49.717037
196,72.0,49.436707
197,44.0,55.660686
198,61.76190476,55.677177
199,33.0,41.72387
200,58.0,50.966
201,66.0,51.801308
202,47.90909091,52.048717
203,49.0,46.336918
204,46.0,47.80414
205,36.0,48.1072
206,43.54545455,47.53296
207,45.0,51.558956
208,59.0,57.12402
209,43.0,47.577385
210,27.0,45.704704
211,39.0,44.21533
212,55.9047619,51.224686
213,45.0,47.586414
214,54.27272727,52.73667
215,44.38095238,48.129242
216,61.09090909,52.059082
217,53.0,50.96818
218,43.0,48.650635
219,56.0,47.9518
220,43.0,50.538593
221,43.0,52.549168
222,61.0,54.810226
223,58.0,50.478615
224,53.0,52.357273
225,44.42857143,51.346546
226,49.0,53.299286
227,55.9047619,48.21868
228,55.0,51.15637
229,68.0,49.74938
230,54.0,48.26669
231,41.0,54.47019
232,48.0,48.618782
233,42.06060606,49.456314
234,77.0,53.314014
235,49.0,49.013985
236,36.0,54.501762
237,58.0,53.160294
238,36.0,51.50603
239,53.0,55.70387
240,65.61904762,48.491352
241,46.0,49.766376
242,27.0,45.995556
243,33.95238095,53.3222
244,36.09090909,46.31953
245,39.0,49.193333
246,44.0,47.097954
247,51.0,48.32891
248,66.0,47.80359
249,39.0,52.080196
250,50.0,53.15237
251,61.57142857,58.284943
252,38.0,49.51679
253,74.0,51.86984
254,51.0,50.25963
255,51.33333333,54.526768
256,32.0,47.56206
257,51.0,53.004498
258,53.0,52.77216
259,34.0,49.062706
260,31.0,49.901073
261,52.66666667,56.69764
262,36.0,46.811817
263,53.0,51.392498
264,51.0,51.78316
265,32.0,47.549793
266,43.54545455,48.143196
267,35.0,49.89033
268,54.0,46.280273
269,38.0,44.894985
270,53.07142857,49.427063
271,77.0,47.79692
272,33.81818182,50.638313
273,29.0,46.67813
274,58.0,48.192375
275,51.0,49.52638
276,29.0,45.838833
277,50.66666667,53.48457
278,39.0,48.41625
279,65.0,50.542667
280,82.0,52.222637
281,35.0,49.75604
282,42.0,53.783413
283,31.18181818,49.676437
284,81.0,47.970024
285,46.11904762,49.57864
286,46.36363636,49.774525
287,40.63636364,42.780457
288,36.09090909,49.27304
289,45.0,48.79143
290,48.9047619,49.69901
291,33.0,46.05818
292,47.0,50.181328
293,42.0,53.54399
294,55.0,56.543465
295,44.0,47.860657
296,36.0,50.24991
297,40.0,50.06001
298,51.0,51.55774
299,57.0,59.852962
300,43.0,46.459385
301,57.52380952,51.942097
302,41.0,51.886322
303,62.0,52.952984
304,49.72727273,48.466743
305,45.0,45.541183
306,69.0,48.64033
307,38.0,49.279022
308,75.0,49.870907
309,48.9047619,47.679283
310,29.0,48.46918
311,61.42424242,50.050983
312,54.96969697,50.99102
313,51.0,50.594883
314,41.33333333,45.824986
315,36.0,51.87795
316,52.0,48.37744
317,85.0,57.786995
318,35.0,48.49715
319,62.0,54.85934
320,41.18181818,45.776814
321,62.0,49.626747
322,37.45454545,45.16046
323,51.0,52.897427
324,37.0,47.925953
325,29.36363636,51.429306
326,56.0,53.29421
327,41.0,50.057453
328,74.0,50.574337
329,53.0,52.81121
330,46.0,49.535355
331,56.54761905,57.05527
332,60.02380952,62.866943
333,56.0,52.668133
334,53.07142857,54.01284
335,41.0,49.166145
336,38.0,53.26505
337,55.0,57.0504
338,40.63636364,49.918533
339,54.80952381,54.2874
340,51.0,54.821472
341,51.0,52.314663
342,43.0,49.385853
343,51.0,52.60058
344,33.27272727,48.849895
345,46.0,48.162643
346,27.0,50.649734
347,51.0,53.19138
348,32.0,44.09676
349,47.80952381,51.01954
350,75.0,56.36784
351,58.0,53.807827
352,53.0,49.517582
353,50.0,52.752796
354,69.0,45.96864
355,36.0,45.275574
356,46.0,49.83401
357,65.0,51.58743
358,51.0,54.872902
359,57.0,54.909443
360,34.0,42.016678
361,46.0,50.517883
362,53.0,56.068043
363,61.0,54.22764
364,77.4047619,56.60064
365,39.0,51.071167
366,39.0,54.414497
367,67.0,58.383495
368,49.72727273,51.206196
369,57.0,51.391514
370,51.0,49.386288
371,44.0,47.268288
372,60.0,53.827564
373,32.0,50.916645
374,78.0,51.814415
375,41.0,50.91617
376,48.27272727,52.13156
377,53.0,55.25666
378,74.33333333,55.63018
379,44.0,48.739933
380,29.0,47.87958
381,34.0,44.134724
382,47.85714286,48.790962
383,98.0,56.80086
384,50.0,45.80127
385,49.0,51.081924
386,49.72727273,48.36357
387,43.0,50.341248
388,45.81818182,48.45232
389,47.45454545,46.68963
390,53.0,54.806652
391,77.0,48.89111
392,58.0,49.93356
393,59.0,52.62669
394,53.07142857,50.761845
395,58.0,56.942974
396,48.0,48.805084
397,32.0,46.703243
398,46.0,48.72657
399,38.36363636,44.27447
400,49.0,49.121918
401,46.0,50.792732
402,67.0,46.742516
403,36.0,48.82115
404,39.90909091,49.441906
405,56.54545455,46.397976
406,35.0,50.51099
407,42.0,48.37193
408,42.0,46.81986
409,27.0,53.205406
410,52.81818182,49.521545
411,65.0,48.87643
412,61.76190476,54.92844
413,48.0,50.929993
414,46.0,50.02169
415,48.0,57.07747
416,52.0,51.222233
417,67.0,51.748608
418,54.27272727,52.01556
419,43.54545455,52.95052
420,65.0,45.613575
421,33.45454545,53.14301
422,52.0,55.652363
423,44.0,46.824814
424,29.0,53.339386
425,35.60606061,52.61651
426,54.0,56.263496
427,44.0,50.40659
428,29.0,52.827053
429,57.0,48.169186
430,30.0,49.06741
431,41.18181818,50.279297
432,52.0,51.82641
433,73.0,51.620663
434,49.0,51.86031
435,34.14285714,46.651157
436,46.0,51.02785
437,74.0,53.354576
438,50.0,51.70439
