,SELFDIR,0
0,1.0,24.300909
1,2.666666667,23.187494
2,0.0,17.526941
3,1.67,23.37842
4,0.666666667,20.577074
5,0.666666667,21.373264
6,1.666666667,24.586447
7,1.0,24.382126
8,2.0,23.27995
9,1.0,24.738035
10,2.333333333,25.403547
11,2.0,25.069567
12,2.666666667,23.513018
13,2.33,24.52204
14,1.0,24.600418
15,2.0,22.08663
16,1.0,20.042145
17,2.666666667,24.069895
18,1.0,30.962328
19,1.33,22.529669
20,2.0,23.556707
21,1.0,23.183817
22,1.333333333,23.299475
23,2.333333333,27.241806
24,2.0,20.78259
25,0.666666667,22.127037
26,0.666666667,18.497807
27,1.33,22.5575
28,2.33,22.975023
29,1.67,26.215296
30,2.0,22.488884
31,0.666666667,17.084381
32,0.666666667,19.015337
33,1.333333333,24.26147
34,1.333333333,26.259665
35,1.666666667,20.92605
36,0.0,18.23188
37,2.0,24.87492
38,1.0,26.6178
39,1.333333333,24.419168
40,1.67,24.189663
41,0.666666667,22.121443
42,2.0,23.285202
43,2.67,25.460188
44,1.666666667,22.736746
45,2.67,28.984709
46,0.666666667,20.332306
47,1.33,20.458494
48,0.666666667,21.408262
49,0.666666667,21.433998
50,2.0,20.165064
