,INT,0
350,35.0,34.95773
351,80.0,62.365993
352,30.0,32.372925
353,100.0,74.15678
354,90.0,64.08773
355,60.0,78.21414
356,90.0,69.54809
357,100.0,72.80424
358,85.0,67.153114
359,100.0,64.739365
360,15.0,69.9284
361,60.0,63.541904
362,25.0,74.18107
363,100.0,100.79643
364,85.0,87.49026
365,90.0,79.52902
366,95.0,80.84507
367,70.0,60.88934
368,90.0,75.86464
369,15.0,57.475452
370,45.0,54.234203
371,90.0,85.786476
372,55.0,58.529785
373,55.0,52.658348
374,100.0,80.8146
375,50.0,62.416683
376,60.0,59.864204
377,65.0,70.644165
378,80.0,74.40934
379,15.0,50.079052
380,95.0,76.39999
381,10.0,6.583478
382,100.0,74.49271
383,70.0,70.862595
384,70.0,59.997036
385,45.0,49.26584
386,100.0,60.770897
387,25.0,56.207558
388,25.0,33.33783
389,80.0,80.54626
390,95.0,101.42819
391,80.0,73.48908
392,55.0,64.06745
393,15.0,38.118076
394,60.0,61.757317
395,90.0,65.293686
396,90.0,63.562927
397,30.0,30.033945
398,35.0,56.058212
399,5.0,79.34407
400,5.0,66.98355
401,70.0,78.71748
402,75.0,69.615036
403,100.0,86.876854
404,100.0,93.58527
405,20.0,37.684727
406,70.0,69.443085
407,90.0,64.271515
408,45.0,43.16727
409,90.0,82.56303
410,15.0,57.33604
411,95.0,93.347206
412,25.0,40.650627
413,100.0,81.588936
414,90.0,78.81254
415,35.0,40.34124
416,30.0,80.78886
417,90.0,70.97306
418,100.0,97.35993
419,100.0,63.015488
420,75.0,78.84921
421,20.0,39.893463
422,90.0,70.995316
423,70.0,68.50478
424,100.0,64.11946
425,95.0,69.75504
426,35.0,56.100815
427,60.0,54.91883
428,55.0,40.50641
429,25.0,60.694508
430,95.0,69.37836
431,70.0,80.853935
432,60.0,66.13257
433,5.0,87.92989
434,65.0,81.445595
435,95.0,86.21508
436,50.0,56.438015
437,15.0,65.16959
438,10.0,24.20479
439,95.0,98.6038
440,90.0,89.84416
441,55.0,63.340607
442,35.0,39.271145
443,5.0,19.509644
444,100.0,65.176216
445,65.0,66.29893
446,80.0,71.208015
447,35.0,79.67355
448,45.0,57.351658
449,100.0,54.309612
450,25.0,52.745552
451,75.0,72.408844
452,95.0,77.14783
453,85.0,66.596954
454,55.0,67.063
455,70.0,65.41716
456,25.0,48.040543
457,85.0,65.440994
458,35.0,52.743736
459,90.0,87.692
460,100.0,84.7093
461,65.0,69.03875
462,60.0,53.758717
463,10.0,54.265934
464,65.0,56.560394
465,95.0,55.21873
466,20.0,30.074247
467,95.0,93.416176
468,85.0,85.98768
469,45.0,66.091286
470,100.0,60.38664
471,90.0,62.103664
472,75.0,71.96102
473,100.0,78.70521
474,100.0,67.28109
475,35.0,71.59396
476,55.0,61.096203
477,95.0,69.54714
478,15.0,39.102634
479,95.0,80.94778
480,35.0,49.08832
481,10.0,57.952892
482,100.0,75.65301
483,30.0,53.70686
484,60.0,57.691093
485,100.0,79.89168
486,15.0,70.907814
487,100.0,92.19596
488,60.0,53.75981
489,85.0,85.82521
490,80.0,82.42348
491,20.0,41.307934
492,35.0,47.340336
493,90.0,72.21366
494,15.0,40.678055
