,SEPARATION_INSECURITY,0
289,2.5,27.495863
290,0.75,24.313717
291,1.0,29.324102
292,0.0,25.247997
293,1.25,27.536522
294,1.75,26.002106
295,0.25,25.244244
296,1.75,22.670685
297,0.5,29.279675
298,1.75,31.90904
299,0.75,25.851366
300,0.25,22.408184
301,1.0,23.500937
302,1.0,21.15139
303,1.75,29.181831
304,0.5,18.89907
305,1.75,21.459324
306,0.75,26.93152
307,0.75,24.738163
308,2.0,29.539423
309,2.25,22.987835
310,2.0,24.29089
311,0.0,16.88448
312,1.75,24.005497
313,0.25,30.728645
314,1.0,24.374641
315,0.75,26.13917
316,2.25,28.01108
317,1.5,31.738441
318,1.0,28.814505
319,0.25,26.139883
320,1.25,22.212801
321,0.0,22.123804
322,1.0,25.195738
323,0.0,20.69439
324,0.25,23.864132
325,1.25,24.948236
326,1.25,23.123549
327,1.75,24.923206
328,1.5,25.053862
329,1.0,21.234804
330,2.0,26.785158
331,1.75,22.99182
332,0.75,28.940208
333,1.25,30.643526
334,1.25,25.273497
335,0.0,16.299767
336,1.25,23.960875
337,2.0,24.163387
338,0.0,21.74503
339,0.75,22.001522
340,1.25,28.2416
341,1.5,27.664127
342,1.0,29.400932
343,2.25,34.88377
344,2.25,30.378977
345,0.25,17.962149
346,1.25,31.185936
347,1.75,26.910639
348,1.0,20.399668
349,2.0,27.543697
350,0.0,18.472128
351,1.25,24.35964
352,1.5,25.802446
353,1.0,27.48715
354,1.5,26.271301
355,2.5,31.272327
356,0.75,24.022121
357,0.0,21.512274
358,1.5,27.950666
359,1.0,26.110952
360,0.0,19.886557
361,1.0,23.986254
362,1.25,28.60186
363,0.0,26.993202
364,0.5,23.938663
365,0.75,23.528133
366,0.0,18.536444
367,0.5,27.112617
368,0.5,24.973738
369,0.5,22.831459
370,0.0,16.969736
371,2.0,25.324015
372,2.0,25.810694
373,0.25,25.792702
374,1.5,23.979612
375,1.75,25.769073
376,1.25,26.526299
377,2.0,22.355001
378,0.75,24.557743
379,0.75,21.40632
380,2.0,26.714268
381,0.25,20.770267
382,1.25,23.297413
383,0.75,23.453981
384,1.25,22.80637
385,1.5,28.985386
386,0.5,19.95076
387,0.5,23.19635
388,1.5,29.18478
389,1.75,28.845346
390,0.25,22.856483
391,1.5,26.709755
392,0.25,22.355743
393,1.5,26.044096
394,1.75,24.641478
395,0.5,20.132414
396,0.0,21.946493
397,1.25,22.889536
398,0.25,23.477617
399,2.25,26.871748
400,1.25,27.636494
401,0.75,23.660187
402,0.5,23.8876
403,2.25,20.776772
404,0.25,19.45937
405,1.0,25.729202
406,0.0,19.612167
407,2.0,29.80755
408,0.0,24.175203
409,1.5,22.209553
410,0.0,25.419788
411,1.0,25.268932
412,0.0,20.266453
413,2.0,23.761528
414,0.5,23.320953
415,0.0,20.729668
