,SUBMISSIVENESS,0
289,1.25,17.198704
290,1.75,23.156986
291,0.75,14.177608
292,1.75,16.415503
293,1.25,17.63228
294,1.25,16.43751
295,0.75,19.042856
296,1.25,18.996252
297,0.5,16.6479
298,1.0,23.147572
299,3.0,20.28573
300,1.0,19.382633
301,3.0,23.784946
302,2.0,13.291329
303,2.0,19.526606
304,0.25,15.196875
305,1.5,17.927336
306,2.0,25.749187
307,0.75,15.921992
308,1.25,18.301228
309,0.25,15.509776
310,1.0,18.510181
311,0.25,16.110373
312,1.5,16.998522
313,2.0,14.687802
314,0.5,19.945475
315,0.75,20.122269
316,2.25,25.460495
317,0.5,17.332073
318,0.0,18.748323
319,1.5,16.419582
320,1.75,20.228067
321,0.5,15.453852
322,0.0,12.229182
323,1.25,16.287981
324,0.25,11.782749
325,0.25,9.77701
326,1.75,18.746832
327,2.25,16.60816
328,1.5,17.241873
329,0.25,16.548893
330,1.75,13.172684
331,2.0,16.411491
332,0.0,12.59118
333,1.0,15.890006
334,2.0,19.722315
335,1.75,24.324425
336,0.0,17.920076
337,1.75,17.60425
338,2.0,17.053467
339,1.75,20.76024
340,1.75,14.6432085
341,1.75,18.728197
342,0.0,16.132204
343,0.75,11.730978
344,2.0,22.112844
345,0.0,11.5118
346,1.0,17.644146
347,0.0,11.138158
348,1.5,17.662384
349,0.5,16.875298
350,0.0,17.531404
351,0.0,18.819134
352,1.75,19.27929
353,1.75,22.026777
354,1.25,15.253506
355,1.0,16.366375
356,0.5,16.187035
357,3.0,13.85768
358,1.0,18.188583
359,1.0,22.461311
360,1.25,16.733292
361,0.0,14.837571
362,1.5,19.839481
363,0.75,15.467247
364,1.5,14.952228
365,0.0,12.100755
366,0.0,14.0844755
367,0.5,14.57588
368,0.0,19.169706
369,2.5,19.660154
370,1.75,23.242437
371,1.5,16.316948
372,0.5,14.666996
373,2.0,16.012722
374,0.75,14.6788645
375,1.5,14.826287
376,1.75,17.904379
377,1.75,18.395151
378,1.0,14.331846
379,1.0,17.146452
380,0.75,20.089216
381,2.5,13.384178
382,1.0,17.099121
383,1.25,18.12396
384,1.0,16.82919
385,1.25,14.617308
386,1.0,16.762093
387,0.0,15.216071
388,0.75,11.013462
389,1.25,17.13691
390,0.25,14.745924
391,2.0,18.885763
392,0.75,15.473388
393,1.5,18.181732
394,2.25,18.4918
395,2.25,16.972439
396,2.5,18.356562
397,2.0,18.44535
398,1.5,18.807709
399,2.0,17.96105
400,1.5,19.199022
401,1.75,19.83071
402,1.25,15.450076
403,2.0,16.728033
404,1.0,17.205553
405,0.5,16.287619
406,1.25,12.694992
407,2.0,19.055847
408,2.75,20.476997
409,1.5,18.088924
410,2.0,21.575304
411,1.25,17.370914
412,1.75,19.765337
413,2.25,20.721138
414,0.25,21.447922
415,2.0,17.315083
