,FUN_COM,0
0,33.0,36.331783
1,43.25,40.328754
2,44.0,43.95154
3,42.0,38.774433
4,56.66666667,55.961376
5,54.30555556,55.40511
6,0.0,19.783514
7,54.0,50.46826
8,32.0,31.118336
9,60.0,39.78587
10,42.22222222,49.576206
11,51.25,37.230164
12,52.75,54.79862
13,52.75,45.78462
14,54.30555556,50.577618
15,52.0,46.572952
16,62.0,47.2495
17,40.0,44.264126
18,50.5,48.08647
19,39.75,37.647747
20,0.0,27.99095
21,46.0,40.74399
22,0.0,20.831844
23,38.0,52.926704
24,43.0,47.464405
25,54.30555556,43.98918
26,40.0,46.920208
27,50.0,44.754856
28,34.0,41.993294
29,61.0,47.08835
30,52.0,42.90183
31,43.0,43.244373
32,54.0,46.679092
33,0.0,40.359253
34,0.0,46.88373
35,58.0,57.445988
36,37.38888889,36.283012
37,42.08333333,41.68063
38,48.0,41.461784
39,51.0,57.423294
40,0.0,38.170864
41,37.0,25.255276
42,49.58333333,44.27339
43,59.0,43.87113
44,47.0,43.904396
45,41.0,51.229286
46,0.0,26.923925
47,46.0,42.9529
48,54.0,45.228134
49,48.0,26.405516
50,39.0,32.965496
51,44.0,51.200253
52,54.0,57.37077
53,61.0,42.206745
54,42.0,39.186123
55,34.88888889,52.774487
56,56.0,45.130543
57,36.0,50.006744
58,57.0,48.631603
59,50.0,47.31383
60,39.02777778,45.40409
61,52.0,65.4221
62,34.0,29.69409
63,52.0,45.59962
64,54.0,46.068233
65,40.08333333,39.08167
66,57.0,42.722996
67,43.0,47.526287
68,64.0,54.93434
69,51.25,33.497196
70,47.0,49.664738
71,60.0,48.43088
72,39.0,33.12196
73,52.77777778,48.151054
74,42.0,47.390156
75,37.0,37.66415
76,0.0,27.656637
77,0.0,32.257954
78,43.61111111,49.0685
79,52.0,54.008083
80,58.88888889,52.3302
81,51.0,35.904743
82,0.0,35.98807
83,41.0,39.282948
84,0.0,26.96718
85,62.25,49.42024
86,49.0,43.40347
87,43.0,45.366657
88,52.0,41.024147
89,50.5,53.05418
90,48.0,45.522717
91,33.0,33.38783
92,56.0,40.0649
93,66.0,46.110584
94,43.0,47.336166
95,59.0,33.87692
96,30.0,31.783869
97,57.0,52.3214
98,45.0,60.603283
99,44.0,39.902348
100,49.0,51.96947
101,47.0,29.88056
102,42.0,48.233524
103,56.5,46.276848
104,48.0,42.38235
105,47.0,46.88564
106,50.0,59.874477
107,0.0,25.359316
108,34.0,43.398434
109,46.0,30.637115
110,34.88888889,49.007504
111,61.0,53.93652
112,53.0,39.901684
113,52.0,35.160713
114,49.0,47.233387
115,56.0,48.694027
116,54.33333333,34.641956
117,56.5,44.17767
118,46.0,45.307785
119,39.0,25.583769
120,51.0,54.061916
121,0.0,29.00532
122,47.0,40.72041
123,52.75,62.84585
124,0.0,45.604748
125,53.0,47.827847
126,60.0,55.246807
127,54.30555556,36.324955
128,41.0,37.460632
129,36.0,51.214344
130,42.66666667,37.501396
131,64.0,50.14875
132,50.27777778,36.80741
133,35.0,50.312977
134,50.0,39.16009
135,43.61111111,29.217794
136,29.0,33.505615
137,55.0,43.57993
138,39.0,51.0628
139,46.0,51.34209
140,55.91666667,52.56216
