,ANXIE,0
0,51.0,49.04413
1,55.9047619,52.316017
2,49.0,50.560516
3,50.0,45.76583
4,45.0,48.822037
5,31.0,52.17798
6,50.0,51.066433
7,42.90909091,47.177917
8,62.0,47.012688
9,51.0,55.06043
10,40.0,43.916626
11,27.0,52.8854
12,74.0,55.648663
13,66.0,55.09632
14,36.45454545,45.811485
15,48.0,49.498516
16,46.0,48.113525
17,27.0,46.511055
18,43.54545455,48.45115
19,46.19047619,49.7356
20,64.0,54.516907
21,31.0,53.13195
22,37.57142857,45.199146
23,39.28571429,48.16524
24,48.0,50.046185
25,29.27272727,44.277447
26,65.0,55.852547
27,59.0,54.30866
28,39.0,49.081043
29,60.0,53.15094
30,53.0,51.038105
31,49.5952381,49.37311
32,59.0,48.985172
33,58.0,54.476044
34,33.0,47.08385
35,66.72727273,54.88513
36,32.0,46.11319
37,45.18181818,55.267838
38,49.0,52.1712
39,41.0,46.375153
40,53.0,47.662148
41,56.0,55.860737
42,27.0,49.49338
43,36.0,44.948956
44,41.0,48.485962
45,62.0,51.41344
46,37.75757576,47.870506
47,64.0,47.9836
48,43.0,49.952915
49,79.0,57.112404
50,37.75757576,45.92369
51,41.0,52.40805
52,55.0,54.79184
53,67.0,54.678535
54,50.0,53.933193
